project,country,site,latitude,longitude,sample_date,biomass_kgha_avg
ACEH (Aceh Besar & Weh) 2019,Indonesia,Lapeng,5.698566944,95.11094194,2019-07-07,334.88
ACEH (Aceh Besar & Weh) 2019,Indonesia,Leun Balee 1,5.7276,95.07301111,2019-07-08,760.64
ACEH (Aceh Besar & Weh) 2019,Indonesia,Leun Balee 2,5.742093889,95.06680306,2019-07-08,96.39
ACEH (Aceh Besar & Weh) 2019,Indonesia,Lhok Weng,5.863641111,95.26643611,2019-07-15,535.09
ACEH (Aceh Besar & Weh) 2019,Indonesia,Lhong Angin 1,5.832608056,95.25836611,2019-07-14,801.28
ACEH (Aceh Besar & Weh) 2019,Indonesia,Lhong Angin 2,5.821983889,95.25977111,2019-07-14,383.03
ACEH (Aceh Besar & Weh) 2019,Indonesia,Paloh,5.664196111,95.09257694,2019-07-10,141.88
ACEH (Aceh Besar & Weh) 2019,Indonesia,Pasi Janeng,5.600628056,95.124595,2019-07-05,161.37
ACEH (Aceh Besar & Weh) 2019,Indonesia,Pemanfaatan Anoi Itam,5.842690278,95.37351944,2019-07-17,1255.31
ACEH (Aceh Besar & Weh) 2019,Indonesia,Pemanfaatan Ie Meule,5.902357222,95.32695222,2019-07-16,729.24
ACEH (Aceh Besar & Weh) 2019,Indonesia,Pemanfaatan lam pageu,5.55488833333333,95.2126738888889,2019-07-04,179.31
ACEH (Aceh Besar & Weh) 2019,Indonesia,Pulau tengkorak,5.66090583333333,95.1438061111111,2019-07-05,80.84
ACEH (Aceh Besar & Weh) 2019,Indonesia,Reuteuk,5.857248889,95.36137889,2019-07-17,409.91
ACEH (Aceh Besar & Weh) 2019,Indonesia,Rubiah Channel,5.883753056,95.25491,2019-07-13,663.28
ACEH (Aceh Besar & Weh) 2019,Indonesia,Rubiah Sea Garden,5.881451944,95.260645,2019-07-13,783.96
ACEH (Aceh Besar & Weh) 2019,Indonesia,Selatan Teunom,5.63202777777778,95.07775,2019-07-11,256.38
ACEH (Aceh Besar & Weh) 2019,Indonesia,Sumur Tiga,5.888368056,95.34547111,2019-07-16,669.83
ACEH (Aceh Besar & Weh) 2019,Indonesia,Tuan Pulau,5.563429,95.242958,2019-07-22,183.88
ACEH (Aceh Besar & Weh) 2019,Indonesia,Ujung Kareung,5.876188889,95.35363575,2019-07-17,1440.43
ACEH (Aceh Besar & Weh) 2019,Indonesia,Ujung Seuke,5.808331944,95.37631,2019-07-20,759.12
ACEH (Aceh Besar & Weh) 2019,Indonesia,Ujung Seurawan,5.89558,95.237595,2019-07-13,268.98
Aceh 2006,Indonesia,Anoi Itam,5.842690278,95.37351944,2006-02-16,633.93
Aceh 2006,Indonesia,Ba Kopra,5.866863889,95.22823111,2006-02-09,488.93
Aceh 2006,Indonesia,Batee Meurenon,5.873513056,95.26466306,2006-02-22,1502.5
Aceh 2006,Indonesia,Benteng,5.845705,95.373215,2006-02-16,840.02
Aceh 2006,Indonesia,Beurawang,5.777511111,95.33685194,2006-02-23,331.61
Aceh 2006,Indonesia,Deudap,5.607141944,95.19258111,2006-02-15,641.47
Aceh 2006,Indonesia,Gapang,5.85416157,95.27371142,2006-02-11,275.59
Aceh 2006,Indonesia,Jaboi,5.799778889,95.34604611,2006-02-18,738.16
Aceh 2006,Indonesia,Lamteng,5.64733081,95.1629988,2006-02-15,134.5
Aceh 2006,Indonesia,Lapeng,5.698566944,95.11094194,2006-02-14,546.76
Aceh 2006,Indonesia,Leun Balee 1,5.7276,95.07301111,2006-02-14,765.91
Aceh 2006,Indonesia,Leun Balee 2,5.742093889,95.06680306,2006-02-14,230.24
Aceh 2006,Indonesia,Lhoh,5.6678498,95.12664691,2006-02-19,240.19
Aceh 2006,Indonesia,Lhok Weng,5.863641111,95.26643611,2006-02-22,464.07
Aceh 2006,Indonesia,Lhong Angin 1,5.832608056,95.25836611,2006-02-09,291.71
Aceh 2006,Indonesia,Lhong Angin 2,5.821983889,95.25977111,2006-02-10,231.9
Aceh 2006,Indonesia,Lhong Angin 3,5.80788936,95.26471613,2006-02-10,220.72
Aceh 2006,Indonesia,Paloh,5.664196111,95.09257694,2006-02-19,163.4
Aceh 2006,Indonesia,Pasi Janeng 1,5.6287846,95.131667,2006-02-20,164.09
Aceh 2006,Indonesia,Pasi Janeng 2,5.63200375,95.13802886,2006-02-20,102.64
Aceh 2006,Indonesia,Pulau Klah,5.87730995,95.31408085,2006-02-11,328.15
Aceh 2006,Indonesia,Rubiah Channel,5.883753056,95.25491,2006-02-12,887.59
Aceh 2006,Indonesia,Rubiah Sea Garden,5.881451944,95.260645,2006-02-22,834.42
Aceh 2006,Indonesia,Sumur Tiga,5.888368056,95.34547111,2006-02-18,1826.71
Aceh 2006,Indonesia,Ujung Kareung,5.876188889,95.35363575,2006-02-16,851.72
Aceh 2006,Indonesia,Ujung Seuke,5.808331944,95.37631,2006-02-18,843.86
Aceh 2006,Indonesia,Ujung Seurawan,5.89558,95.237595,2006-02-12,562.74
Madagascar Northwest Ankivonjy 2021,Madagascar,Ambatofisaka_19,-13.604278,47.811028,2021-12-08,162.77
Madagascar Northwest Ankivonjy 2021,Madagascar,Ambatomilay_18,-13.605056,47.804944,2021-12-08,1251.95
