project,country,site,latitude,longitude,sample_date,hard_coral_pit,soft_coral_pit
Gwa Sea,Myanmar,Be-in Island (East),17.760572,94.487881,2021-01-25,20.05,0
Gwa Sea,Myanmar,Be-in Island (North West),17.764286,94.469631,2021-01-26,10.4,0
Gwa Sea,Myanmar,Be-in Island (South),17.751119,94.479314,2021-01-26,13.37,0
Gwa Sea,Myanmar,Kunn Thee Pyet,17.550467,94.512672,2021-01-24,26.48,0
Gwa Sea,Myanmar,Kunn Thee Pyet 2,17.545539,94.527939,2021-01-27,10.89,0
Gwa Sea,Myanmar,Kyauk Chon River Mouth,17.483622,94.547561,2021-01-27,38.61,0.25
2016_Namena Marine Reserve,Fiji,C3,-17.063367,179.020033,2016-05-18,6.33,1
2016_Namena Marine Reserve,Fiji,C5,-17.060783,179.0013,2016-05-18,3.67,2.33
2016_Namena Marine Reserve,Fiji,KB04,-17.10321,179.1319,2016-05-18,11.33,1.67
2016_Namena Marine Reserve,Fiji,KB05,-17.10741,179.1381,2016-05-19,29.33,11.33
2016_Namena Marine Reserve,Fiji,KB07,-17.08317,179.04076,2016-05-17,10.33,5
2016_Namena Marine Reserve,Fiji,KBO6,-17.07122,179.03417,2016-05-19,16,3.67
2016_Namena Marine Reserve,Fiji,N19,-17.1457,179.098733,2016-05-17,28,10
2016_Namena Marine Reserve,Fiji,N20,-17.140016,179.09155,2016-05-17,11.33,3.33
WCS Solomon Islands 2016-2018,Solomon Islands,KOL01,-8.0274,156.94531,2016-03-14,29.67,8.67
WCS Solomon Islands 2016-2018,Solomon Islands,KOL02,-7.97268,156.93701,2016-03-15,3,4
WCS Solomon Islands 2016-2018,Solomon Islands,KOL03,-7.93487,156.94547,2016-03-15,16,6
WCS Solomon Islands 2016-2018,Solomon Islands,KOL04,-7.89869,156.9644,2016-03-15,41.67,1
WCS Solomon Islands 2016-2018,Solomon Islands,KOL05,-7.87425,156.99083,2016-03-16,27.67,0.67
WCS Solomon Islands 2016-2018,Solomon Islands,KOL06,-7.85451,157.02391,2016-03-16,44,1.33
WCS Solomon Islands 2016-2018,Solomon Islands,KOL07,-7.84697,157.05191,2016-03-16,40,7.67
WCS Solomon Islands 2016-2018,Solomon Islands,KOL08,-7.8414,157.07823,2016-03-17,30,4
WCS Solomon Islands 2016-2018,Solomon Islands,KOL09,-7.84359,157.09666000000001,2016-03-17,33.67,7.33
WCS Solomon Islands 2016-2018,Solomon Islands,KOL10,-7.86354,157.12758,2016-03-18,22.67,0.33
WCS Solomon Islands 2016-2018,Solomon Islands,KOL11,-7.88505,157.15083,2016-03-18,19,1.67
WCS Solomon Islands 2016-2018,Solomon Islands,KOL12,-7.91001,157.17221,2016-03-18,19.67,0.33
WCS Solomon Islands 2016-2018,Solomon Islands,KOL13,-7.94788,157.18622,2016-03-21,21,0.33
WCS Solomon Islands 2016-2018,Solomon Islands,KOL14,-7.98155,157.19156,2016-03-21,26.67,0.33
WCS Solomon Islands 2016-2018,Solomon Islands,KOL15,-8.01851,157.18784,2016-03-22,13.33,1.67
