worms_sciname,am_sciname,am_sid,iucn_sid
pisodonophis semicinctus,pisodonophis semicinctus,Fis-27298,199146
pseudomyrophis atlanticus,pseudomyrophis atlanticus,Fis-33175,199139
nessorhamphus ingolfianus,nessorhamphus ingolfianus,Fis-27299,199401
dysomma brevirostre,dysomma brevirostre,Fis-27300,194989
simenchelys parasitica,simenchelys parasitica,Fis-133336,155190
ilyophis brunneus,ilyophis brunneus,Fis-33178,199068
synaphobranchus kaupii,synaphobranchus kaupii,Fis-33179,155246
avocettina acuticeps,avocettina acuticeps,Fis-27301,NA
labichthys carinatus,labichthys carinatus,Fis-33180,NA
nemichthys curvirostris,nemichthys curvirostris,Fis-27302,199323
cyema atrum,cyema atrum,Fis-33181,18227109
saccopharynx ampullaceus,saccopharynx ampullaceus,Fis-27303,18227123
glossanodon polli,glossanodon polli,Fis-33186,15601916
nansenia atlantica,nansenia atlantica,Fis-33187,15601937
xenophthalmichthys danae,xenophthalmichthys danae,Fis-33188,190131
bathylagoides argyrogaster,bathylagoides argyrogaster,Fis-148361,190286
bathylagichthys greyae,bathylagichthys greyae,Fis-139718,18140358
bathylychnops exilis,bathylychnops exilis,Fis-33191,NA
dolichopteroides binocularis,dolichopteroides binocularis,Fis-164211,21101200
dolichopteryx longipes,dolichopteryx longipes,Fis-27304,58241062
monacoa grimaldii,monacoa grimaldii,Fis-15136,18140829
rhynchohyalus natalensis,rhynchohyalus natalensis,Fis-27305,60483211
winteria telescopa,winteria telescopa,Fis-33194,21101322
zenion longipinnis,zenion longipinnis,Fis-33196,NA
bathymicrops regis,bathymicrops regis,Fis-33198,13462745
bathypterois dubius,bathypterois dubius,Fis-33202,13462751
grammicolepis brachiusculus,grammicolepis brachiusculus,Fis-33203,18257696
bathypterois grallator,bathypterois grallator,Fis-27308,194992
bathypterois longipes,bathypterois longipes,Fis-33206,190243
allocyttus guineensis,allocyttus guineensis,Fis-33207,21133190
bathypterois phenax,bathypterois phenax,Fis-33210,13462757
allocyttus verrucosus,allocyttus verrucosus,Fis-27309,21133195
neocyttus rhomboidalis,neocyttus rhomboidalis,Fis-33212,NA
bathypterois quadrifilis,bathypterois quadrifilis,Fis-33213,13462760
bathypterois viridensis,bathypterois viridensis,Fis-27310,13462763
guentherus altivela,guentherus altivela,Fis-13152,13462250
bathytyphlops marionae,bathytyphlops marionae,Fis-33215,13462771
bathytyphlops sewelli,bathytyphlops sewelli,Fis-27311,190334
ipnops agassizii,ipnops agassizii,Fis-33216,13462777
ipnops agassizii,ipnops agassizii,Fis-33216,123323501
radiicephalus elongatus,radiicephalus elongatus,Fis-33217,21112632
ahliesaurus berryi,ahliesaurus berryi,Fis-33219,13485141
luciosudis normani,luciosudis normani,Fis-33221,13485161
scopelosaurus argenteus,scopelosaurus argenteus,Fis-27312,13485167
scopelosaurus lepidus,scopelosaurus lepidus,Fis-27313,190389
aulostomus strigosus,aulostomus strigosus,Fis-33222,21133172
scopelosaurus meadi,scopelosaurus meadi,Fis-33223,13485284
scopelosaurus smithii,scopelosaurus smithii,Fis-33224,67966271
leptochilichthys agassizii,leptochilichthys agassizii,Fis-33227,15601934
dolicholagus longirostris,dolicholagus longirostris,Fis-139727,18140736
leptochilichthys pinguis,leptochilichthys pinguis,Fis-27315,141362468
alepocephalus agassizii,alepocephalus agassizii,Fis-33231,15147715
alepocephalus australis,alepocephalus australis,Fis-33232,15147725
asquamiceps caeruleus,asquamiceps caeruleus,Fis-33234,190169
gigantura chuni,gigantura chuni,Fis-33241,13462737
chlopsis olokun,chlopsis olokun,Fis-27318,195647
dermatolepis dermatolepis,dermatolepis dermatolepis,Fis-27319,132767
symphodus bailloni,symphodus bailloni,Fis-27320,187522
pomatoschistus bathi,pomatoschistus bathi,Fis-33242,194882
pomatoschistus lozanoi,pomatoschistus lozanoi,Fis-27323,18160573
pomatoschistus marmoratus,pomatoschistus marmoratus,Fis-27324,198667
pomatoschistus quagga,pomatoschistus quagga,Fis-27325,194884
belone svetovidovi,belone svetovidovi,Fis-33244,NA
apletodon dentatus,apletodon dentatus,Fis-27327,NA
chelidonichthys obscurus,chelidonichthys obscurus,Fis-27328,198753
micrenophrys lilljeborgii,micrenophrys lilljeborgii,Fis-62885,18237151
cottunculus microps,cottunculus microps,Fis-33245,NA
lipophrys pholis,lipophrys pholis,Fis-27330,185180
gobius couchi,gobius couchi,Fis-33246,198659
cephalopholis nigri,cephalopholis nigri,Fis-27331,132742
encheliophis gracilis,encheliophis gracilis,Fis-27333,135444821
hyporthodus acanthistius,hyporthodus acanthistius,Fis-163774,132730
amphiprion latezonatus,amphiprion latezonatus,Fis-33247,NA
amphiprion percula,amphiprion percula,Fis-27335,188372
platyrhina sinensis,platyrhina sinensis,Fis-27336,169236406
amphiprion rubrocinctus,amphiprion rubrocinctus,Fis-33250,188348
acanthocepola limbata,acanthocepola limbata,Fis-27337,NA
acanthocepola krusensternii,acanthocepola krusensternii,Fis-62878,NA
epinephelus caninus,epinephelus caninus,Fis-27340,132796
chromis hypsilepis,chromis hypsilepis,Fis-27341,188369
epinephelus cifuentesi,epinephelus cifuentesi,Fis-33251,44680
epinephelus cifuentesi,epinephelus cifuentesi,Fis-33251,44686
centropyge acanthops,centropyge acanthops,Fis-27342,155083
epinephelus costae,epinephelus costae,Fis-27343,132762
chromis nitida,chromis nitida,Fis-27344,NA
belonepterygion fasciolatum,belonepterygion fasciolatum,Fis-27346,NA
prionurus scalprum,prionurus scalprum,Fis-121230,177952
acropoma hanedai,acropoma hanedai,Fis-33256,NA
malakichthys wakiyae,malakichthys wakiyae,Fis-33257,NA
ambassis miops,ambassis miops,Fis-33258,180926
ambassis urotaenia,ambassis urotaenia,Fis-33259,155201
bleekeria mitsukurii,bleekeria mitsukurii,Fis-48438,NA
aploactis aspera,aploactis aspera,Fis-33261,NA
erisphex pottii,erisphex pottii,Fis-33262,154937
jaydia carinatus,jaydia carinatus,Fis-170288,NA
ostorhinchus cookii,ostorhinchus cookii,Fis-165216,NA
ostorhinchus semilineatus,ostorhinchus semilineatus,Fis-170340,154688
cynoglossus maculipinnis,cynoglossus maculipinnis,Fis-33269,146946774
bathyraja richardsoni,bathyraja richardsoni,Fis-27351,63127
neoraja caerulea,neoraja caerulea,Fis-131718,161666
amblyraja hyperborea,amblyraja hyperborea,Fis-131852,63119
trachinus araneus,trachinus araneus,Fis-33274,198718
antennarius maculatus,antennarius maculatus,Fis-27352,NA
leucoraja melitensis,leucoraja melitensis,Fis-132549,61405
hyporthodus haifensis,hyporthodus haifensis,Fis-164463,132828
raja polystigma,raja polystigma,Fis-33294,161673
raja rondeleti,raja rondeleti,Fis-33311,NA
dasyatis tortonesei,dasyatis tortonesei,Fis-33336,18907453
mycteroperca acutirostris,mycteroperca acutirostris,Fis-27382,132830
mycteroperca fusca,mycteroperca fusca,Fis-27387,64409
mycteroperca prionura,mycteroperca prionura,Fis-33369,14052
mycteroperca rosacea,mycteroperca rosacea,Fis-27393,14053
leuroglossus schmidti,leuroglossus schmidti,Fis-33413,NA
hyporthodus niphobles,hyporthodus niphobles,Fis-163780,132734
abudefduf whitleyi,abudefduf whitleyi,Fis-33558,188523
zenarchopterus dispar,zenarchopterus dispar,Fis-27428,172497
amblypomacentrus breviceps,amblypomacentrus breviceps,Fis-27470,188450
chaunax penicillatus,chaunax penicillatus,Fis-33699,139928991
chaunacops melanostomus,chaunacops melanostomus,Fis-158250,139922437
cubiceps capensis,cubiceps capensis,Fis-27531,198675
microphis argulus,microphis argulus,Fis-27533,196441
pristigenys meyeri,pristigenys meyeri,Fis-27534,69545550
microphis aculeatus,microphis aculeatus,Fis-19194,NA
ambassis dussumieri,ambassis dussumieri,Fis-33712,NA
priacanthus alalaua,priacanthus alalaua,Fis-33714,178100
priacanthus fitchi,priacanthus fitchi,Fis-33716,NA
kuhlia caudavittata,kuhlia caudavittata,Fis-27539,NA
gerres nigri,gerres nigri,Fis-33717,21129279
plectorhinchus macrolepis,plectorhinchus macrolepis,Fis-27540,194432
pomadasys guoraca,pomadasys guoraca,Fis-27541,123439745
pomadasys perotaei,pomadasys perotaei,Fis-62927,194440
priacanthus prolixus,priacanthus prolixus,Fis-33719,123481902
priacanthus zaiserae,priacanthus zaiserae,Fis-33721,NA
monodactylus sebae,monodactylus sebae,Fis-27543,NA
parachelon grandisquamis,parachelon grandisquamis,Fis-172590,197044
alticus monochrus,alticus monochrus,Fis-33723,48321151
hypleurochilus langi,hypleurochilus langi,Fis-27546,NA
caffrogobius caffer,caffrogobius caffer,Fis-27550,117043760
caffrogobius gilchristi,caffrogobius gilchristi,Fis-61217,117043791
caffrogobius natalensis,caffrogobius natalensis,Fis-27552,117043805
caffrogobius nudiceps,caffrogobius nudiceps,Fis-27554,21129297
drombus triangularis,drombus triangularis,Fis-27565,57509279
favonigobius reichei,favonigobius reichei,Fis-17253,16012
psammogobius biocellatus,psammogobius biocellatus,Fis-152317,9266
gnatholepis cauerensis,gnatholepis cauerensis,Fis-27571,154848
gobiodon rivulatus,gobiodon rivulatus,Fis-19471,193171
gobiodon rivulatus,gobiodon rivulatus,Fis-19471,141483768
gobioides sagitta,gobioides sagitta,Fis-125127,182933
oligolepis keiensis,oligolepis keiensis,Fis-59241,NA
gobionellus occidentalis,gobionellus occidentalis,Fis-27575,NA
hemiramphus marginatus,hemiramphus marginatus,Fis-27577,NA
bonapartia pedaliota,bonapartia pedaliota,Fis-33734,190176
kraemeria samoensis,kraemeria samoensis,Fis-33735,57509336
cyclothone alba,cyclothone alba,Fis-52356,190300
coryogalops william,coryogalops william,Fis-27582,57509248
nematogobius maindroni,nematogobius maindroni,Fis-27584,183170
caffrogobius saldanha,caffrogobius saldanha,Fis-27585,21129628
oxyurichthys microlepis,oxyurichthys microlepis,Fis-27586,68332598
oxyurichthys tentacularis,oxyurichthys tentacularis,Fis-27587,167010
cyclothone livida,cyclothone livida,Fis-33739,18252616
dischistodus fasciatus,dischistodus fasciatus,Fis-27589,NA
cyclothone obscura,cyclothone obscura,Fis-33740,21132825
porogobius schlegelii,porogobius schlegelii,Fis-27590,183175
cyclothone pygmaea,cyclothone pygmaea,Fis-33742,194902
sicyopterus lagocephalus,sicyopterus lagocephalus,Fis-27595,196371
silhouettea insinuans,silhouettea insinuans,Fis-33744,118354732
stenogobius genivittatus,stenogobius genivittatus,Fis-19607,196382
alepocephalus productus,alepocephalus productus,Fis-33746,18139074
bajacalifornia megalops,bajacalifornia megalops,Fis-27598,15147816
dormitator lebretonis,dormitator lebretonis,Fis-27602,181797
bostrychus africanus,bostrychus africanus,Fis-27603,182363
eleotris melanosoma,eleotris melanosoma,Fis-33751,7135
hypseleotris cyprinoides,hypseleotris cyprinoides,Fis-27605,NA
paralepis elongata,paralepis elongata,Fis-27608,20885933
ophiocara porocephala,ophiocara porocephala,Fis-27612,188101
nemadactylus macropterus,nemadactylus macropterus,Fis-27674,NA
parabembras robinsoni,parabembras robinsoni,Fis-33773,114172380
myxine capensis,myxine capensis,Fis-33774,196051
aetomylaeus nichofii,aetomylaeus nichofii,Fis-27676,84784918
bathyraja smithii,bathyraja smithii,Fis-27677,161561
rajella caudaspinosa,rajella caudaspinosa,Fis-131805,44618
hydrolagus africanus,hydrolagus africanus,Fis-27681,NA
enchelycore lichenosa,enchelycore lichenosa,Fis-27684,195693
gymnothorax kidako,gymnothorax kidako,Fis-27688,195743
gymnothorax prasinus,gymnothorax prasinus,Fis-27689,195781
talismania homoptera,talismania homoptera,Fis-27691,15149175
maulisia mauli,maulisia mauli,Fis-33786,18155946
maulisia microlepis,maulisia microlepis,Fis-33787,21108245
astronesthes richardsoni,astronesthes richardsoni,Fis-33788,154815
neonesthes capensis,neonesthes capensis,Fis-27692,18257331
diplophos taenia,diplophos taenia,Fis-33789,18252702
diplophos taenia,diplophos taenia,Fis-33789,137516940
manducus maderensis,manducus maderensis,Fis-14391,190223
malacosteus niger,malacosteus niger,Fis-33790,190149
leptostomias gracilis,leptostomias gracilis,Fis-33791,60471973
gymnothorax reevesii,gymnothorax reevesii,Fis-27694,NA
gymnothorax reticularis,gymnothorax reticularis,Fis-33792,NA
melanostomias biseriatus,melanostomias biseriatus,Fis-33793,190103
melanostomias macrophotus,melanostomias macrophotus,Fis-33794,18257306
photonectes braueri,photonectes braueri,Fis-27695,21133091
phosichthys argenteus,phosichthys argenteus,Fis-27696,21132848
polyipnus polli,polyipnus polli,Fis-33795,21132879
sternoptyx pseudobscura,sternoptyx pseudobscura,Fis-33796,190145
stomias affinis,stomias affinis,Fis-33797,21133121
dolichosudis fuliginosa,dolichosudis fuliginosa,Fis-33798,13485395
lestrolepis intermedia,lestrolepis intermedia,Fis-27697,13485622
lestidium atlanticum,lestidium atlanticum,Fis-33799,190099
diaphus splendidus,diaphus splendidus,Fis-27700,15598791
diaphus taaningi,diaphus taaningi,Fis-33801,15598809
neoscopelus microchir,neoscopelus microchir,Fis-33802,18129312
odontomacrurus murrayi,odontomacrurus murrayi,Fis-33803,60482037
diceratias pileatus,diceratias pileatus,Fis-33804,190089
bufoceratias wedli,bufoceratias wedli,Fis-148858,18127809
ebinania costaecanariae,ebinania costaecanariae,Fis-62845,15622740
neomerinthe folgori,neomerinthe folgori,Fis-27703,15622764
scorpaena maderensis,scorpaena maderensis,Fis-33807,198745
lepidotrigla dieuzeidei,lepidotrigla dieuzeidei,Fis-33808,198755
foetorepus agassizii,foetorepus agassizii,Fis-148452,16506725
schedophilus huttoni,schedophilus huttoni,Fis-27707,21113133
schedophilus pemarco,schedophilus pemarco,Fis-27708,155289
chaetodon robustus,chaetodon robustus,Fis-33809,4364
chiasmodon niger,chiasmodon niger,Fis-33810,190310
centrarchops chapini,centrarchops chapini,Fis-33811,21115046
sufflogobius bibarbatus,sufflogobius bibarbatus,Fis-27710,21130871
cubiceps baxteri,cubiceps baxteri,Fis-33812,NA
bembrops greyae,bembrops greyi,Fis-33813,21132290
miracorvina angolensis,miracorvina angolensis,Fis-27712,49186649
pseudotolithus epipercus,pseudotolithus epipercus,Fis-27713,49217590
umbrina steindachneri,umbrina steindachneri,Fis-33814,49218712
sphyraena viridensis,sphyraena viridensis,Fis-33815,198714
cynoglossus acutirostris,cynoglossus acutirostris,Fis-33817,123497053
cynoglossus carpenteri,cynoglossus carpenteri,Fis-33818,46093165
chilomycterus reticulatus,chilomycterus reticulatus,Fis-27714,193752
masturus lanceolatus,masturus lanceolatus,Fis-27715,193634
astronesthes indicus,astronesthes indicus,Fis-33819,21132910
astronesthes martensii,astronesthes martensii,Fis-33820,137469775
echiostoma barbatum,echiostoma barbatum,Fis-33821,18256560
pseudechidna brummeri,pseudechidna brummeri,Fis-27717,195814
uropterygius micropterus,uropterygius micropterus,Fis-27718,195827
netuma thalassina,netuma thalassina,Fis-27719,NA
neopomacentrus anabatoides,neopomacentrus anabatoides,Fis-27720,NA
halicampus macrorhynchus,halicampus macrorhynchus,Fis-33825,65367594
encheliophis vermicularis,encheliophis vermicularis,Fis-33826,135444957
neopomacentrus azysron,neopomacentrus azysron,Fis-27721,NA
neopomacentrus metallicus,neopomacentrus metallicus,Fis-27722,NA
neoglyphidodon bonang,neoglyphidodon bonang,Fis-27723,NA
neoglyphidodon carlsoni,neoglyphidodon carlsoni,Fis-27724,NA
ablabys taenianotus,ablabys taenianotus,Fis-27725,NA
nettastoma parviceps,nettastoma parviceps,Fis-33828,NA
notacanthus sexspinis,notacanthus sexspinis,Fis-120669,NA
neoglyphidodon polyacanthus,neoglyphidodon polyacanthus,Fis-27726,NA
nansenia macrolepis,nansenia macrolepis,Fis-27727,NA
woodsia meyerwaardeni,woodsia meyerwaardeni,Fis-33830,135434080
benthosema pterotum,benthosema pterotum,Fis-27728,155260
parma oligolepis,parma oligolepis,Fis-33831,NA
kuronezumia leonis,kuronezumia leonis,Fis-27730,NA
plectroglyphidodon flaviventris,plectroglyphidodon flaviventris,Fis-33832,NA
lepidion natalensis,lepidion natalensis,Fis-33833,NA
physiculus capensis,physiculus capensis,Fis-33834,NA
physiculus natalensis,physiculus natalensis,Fis-33835,NA
cataetyx laticeps,cataetyx laticeps,Fis-33837,198623
haliichthys taeniophorus,haliichthys taeniophorus,Fis-33839,95882787
neobythites analis,neobythites analis,Fis-33840,137576396
pomacentrus australis,pomacentrus australis,Fis-33841,NA
chatrabus melanurus,chatrabus melanurus,Fis-27734,NA
lophius vomerinus,lophius vomerinus,Fis-33842,154748
halieutaea fitzsimonsi,halieutaea fitzsimonsi,Fis-27735,68284350
pollichthys mauli,pollichthys mauli,Fis-27737,190087
stomias nebulosus,stomias nebulosus,Fis-33843,141375291
diaphus effulgens,diaphus effulgens,Fis-27739,15598639
diaphus garmani,diaphus garmani,Fis-33845,190321
diaphus lucidus,diaphus lucidus,Fis-27740,15598672
diaphus signatus,diaphus signatus,Fis-33846,130285744
diaphus watasei,diaphus watasei,Fis-33847,130286787
nannobrachium lineatum,nannobrachium lineatum,Fis-139575,190311
stemonosudis elegans,stemonosudis elegans,Fis-27741,123325837
polymixia berndti,polymixia berndti,Fis-33850,135403488
antennarius pictus,antennarius pictus,Fis-27743,NA
pomacentrus opisthostigma,pomacentrus opisthostigma,Fis-33851,NA
pomacentrus smithi,pomacentrus smithi,Fis-33852,154878
pomacentrus taeniometopon,pomacentrus taeniometopon,Fis-33853,188502
pomacentrus wardi,pomacentrus wardi,Fis-33854,154888
pomachromis fuscidorsalis,pomachromis fuscidorsalis,Fis-33855,NA
velifer hypselopterus,velifer hypselopterus,Fis-33856,123376458
scopelogadus mizolepis,scopelogadus mizolepis,Fis-53495,60484333
ostichthys kaianus,ostichthys kaianus,Fis-27745,67899637
chelmonops truncatus,chelmonops truncatus,Fis-27746,165720
coradion melanopus,coradion melanopus,Fis-27747,155193
pterois mombasae,pterois mombasae,Fis-27748,69799689
ostorhinchus apogonoides,ostorhinchus apogonoides,Fis-165311,NA
champsodon capensis,champsodon capensis,Fis-33858,155084
oxyurichthys ophthalmonema,oxyurichthys ophthalmonema,Fis-27751,186088
psenes arafurensis,psenes arafurensis,Fis-33860,16545250
atrophacanthus japonicus,atrophacanthus japonicus,Fis-27752,NA
takifugu vermicularis,takifugu vermicularis,Fis-27753,193598
triacanthodes ethiops,triacanthodes ethiops,Fis-33861,NA
takifugu porphyreus,takifugu porphyreus,Fis-27754,193667
tydemania navigatoris,tydemania navigatoris,Fis-33862,NA
cyclichthys spilostylus,cyclichthys spilostylus,Fis-27755,NA
patagonotothen ramsayi,patagonotothen ramsayi,Fis-27758,195069
grammoplites scaber,grammoplites scaber,Fis-21571,NA
sorsogona tuberculata,sorsogona tuberculata,Fis-27759,46097741
minous pictus,minous pictus,Fis-33864,NA
apistops caloundra,apistops caloundra,Fis-27763,NA
astronesthes chrysophekadion,astronesthes chrysophekadion,Fis-27767,137468988
astronesthes cyaneus,astronesthes cyaneus,Fis-27768,137469030
eustomias bifilis,eustomias bifilis,Fis-33868,137546688
photonectes albipennis,photonectes albipennis,Fis-27769,141374447
synodus tectus,synodus tectus,Fis-33869,67855975
diaphus coeruleus,diaphus coeruleus,Fis-27770,129511555
lophiocharon trisignatus,lophiocharon trisignatus,Fis-27771,NA
halieutaea stellata,halieutaea stellata,Fis-27772,140331376
halieutaea indica,halieutaea indica,Fis-33870,140331165
manducus greyae,manducus greyae,Fis-144483,137568123
cyttopsis cypho,cyttopsis cypho,Fis-27773,NA
inegocia japonica,inegocia japonica,Fis-164002,79800251
suggrundus macracanthus,suggrundus macracanthus,Fis-27774,114175363
parascombrops philippinensis,parascombrops philippinensis,Fis-173091,NA
centrogenys vaigiensis,centrogenys vaigiensis,Fis-27777,NA
ostorhinchus septemstriatus,ostorhinchus septemstriatus,Fis-167079,NA
johnius macropterus,johnius macropterus,Fis-27779,49181447
pempheris vanicolensis,pempheris vanicolensis,Fis-33880,NA
chaetodon decussatus,chaetodon decussatus,Fis-33881,165648
gobiomorphus cotidianus,gobiomorphus cotidianus,Fis-33882,197319
acanthocepola abbreviata,acanthocepola abbreviata,Fis-27781,NA
polydactylus microstomus,polydactylus microstomus,Fis-60987,155164
opistognathus castelnaui,opistognathus castelnaui,Fis-33883,NA
champsodon nudivittis,champsodon nudivittis,Fis-115746,NA
champsodon guentheri,champsodon guentheri,Fis-33885,NA
scombrops boops,scombrops boops,Fis-33887,NA
callionymus japonicus,callionymus japonicus,Fis-33889,NA
lepidotrigla spiloptera,lepidotrigla spiloptera,Fis-33892,114192542
argyrosomus amoyensis,argyrosomus amoyensis,Fis-27784,NA
setarches longimanus,setarches longimanus,Fis-27791,NA
ebosia bleekeri,ebosia bleekeri,Fis-27792,NA
snyderina yamanokami,snyderina yamanokami,Fis-33900,NA
polyipnus triphanos,polyipnus triphanos,Fis-33901,141367864
pholis nebulosa,pholis nebulosa,Fis-150108,154991
parabathymyrus macrophthalmus,parabathymyrus macrophthalmus,Fis-33912,199239
ophichthus urolophus,ophichthus urolophus,Fis-27801,NA
astronesthes splendidus,astronesthes splendidus,Fis-33913,137469824
harpadon microchir,harpadon microchir,Fis-33914,123350095
saurida wanieso,saurida wanieso,Fis-33916,123354833
chlorophthalmus albatrossis,chlorophthalmus albatrossis,Fis-33920,123321954
diaphus suborbitalis,diaphus suborbitalis,Fis-33925,130286039
achirus mazatlanus,achirus mazatlanus,Fis-27804,183932
diapterus peruvianus,diapterus peruvianus,Fis-27805,183874
stemonosudis rothschildi,stemonosudis rothschildi,Fis-33933,123326101
chaunax fimbriatus,chaunax fimbriatus,Fis-33935,139928515
sebastiscus tertius,sebastiscus tertius,Fis-27807,NA
lepidotrigla japonica,lepidotrigla japonica,Fis-27808,NA
peristedion liorhynchus,peristedion liorhynchus,Fis-33939,NA
pterygotrigla ryukyuensis,pterygotrigla ryukyuensis,Fis-33940,NA
bembradium roseum,bembradium roseum,Fis-33941,NA
bembras japonica,bembras japonica,Fis-124920,NA
malakichthys elegans,malakichthys elegans,Fis-33943,NA
taractes rubescens,taractes rubescens,Fis-27813,16506080
symphysanodon maunaloae,symphysanodon maunaloae,Fis-33957,NA
parupeneus chrysopleuron,parupeneus chrysopleuron,Fis-27816,NA
upeneus quadrilineatus,upeneus quadrilineatus,Fis-33959,NA
chaetodontoplus melanosoma,chaetodontoplus melanosoma,Fis-27817,165850
cirrhitichthys aureus,cirrhitichthys aureus,Fis-27818,NA
cepola schlegelii,cepola schlegelii,Fis-33966,NA
iniistius dea,iniistius dea,Fis-155103,187623
champsodon longipinnis,champsodon longipinnis,Fis-33986,NA
bembrops curvatura,bembrops curvatura,Fis-33987,NA
chrionema chlorotaenia,chrionema chlorotaenia,Fis-33989,NA
xenocephalus elongatus,xenocephalus elongatus,Fis-145065,NA
ariomma brevimanus,ariomma brevimanum,Fis-27823,NA
pseudorhombus dupliciocellatus,pseudorhombus dupliciocellatus,Fis-33998,123499485
cynoglossus abbreviatus,cynoglossus abbreviatus,Fis-27827,146946640
lagocephalus gloveri,lagocephalus gloveri,Fis-34000,11150
ophidion muraenolepis,ophidion muraenolepis,Fis-27829,141359788
sirembo jerdoni,sirembo jerdoni,Fis-27830,141360252
cottapistus cottoides,cottapistus cottoides,Fis-27831,NA
inimicus sinensis,inimicus sinensis,Fis-27834,114179505
satyrichthys moluccensis,satyrichthys moluccensis,Fis-168292,NA
erisphex aniarus,erisphex aniarus,Fis-22374,NA
pseudochromis quinquedentatus,pseudochromis quinquedentatus,Fis-34010,NA
apogonichthyoides brevicaudatus,apogonichthyoides brevicaudatus,Fis-163610,NA
johnius coitor,johnius coitor,Fis-27837,169353
upeneus luzonius,upeneus luzonius,Fis-34013,NA
platax batavianus,platax batavianus,Fis-34014,NA
choerodon zamboangae,choerodon zamboangae,Fis-27838,187419
uranoscopus cognatus,uranoscopus cognatus,Fis-34015,NA
pseudomonacanthus peroni,pseudomonacanthus peroni,Fis-27840,79803143
torquigener hicksi,torquigener hicksi,Fis-34019,193735
torquigener parcuspinus,torquigener parcuspinus,Fis-34021,193672
bathycongrus guttulatus,bathycongrus guttulatus,Fis-27841,199234
macrocephenchelys brevirostris,macrocephenchelys brevirostris,Fis-143421,199116
polyipnus tridentifer,polyipnus tridentifer,Fis-34025,141367842
microphotolepis multipunctata,microphotolepis multipunctata,Fis-34026,NA
bathylaco nigricans,bathylaco nigricans,Fis-34027,15147860
bathyprion danae,bathyprion danae,Fis-34030,15147965
torquigener brevipinnis,torquigener brevipinnis,Fis-27843,21994
triacanthus nieuhofii,triacanthus nieuhofii,Fis-34031,NA
halimochirurgus centriscoides,halimochirurgus centriscoides,Fis-34032,NA
macrorhamphosodes platycheilus,macrorhamphosodes platycheilus,Fis-34033,NA
paralichthys adspersus,paralichthys adspersus,Fis-27844,183528
uranoscopus kaianus,uranoscopus kaianus,Fis-34035,NA
leptojulis cyanopleura,leptojulis cyanopleura,Fis-27845,187797
plectranthias japonicus,plectranthias japonicus,Fis-27846,NA
hoplichthys regani,hoplichthys regani,Fis-34036,NA
symphysanodon typus,symphysanodon typus,Fis-34038,NA
poecilopsetta colorata,poecilopsetta colorata,Fis-34039,123501294
poecilopsetta praelonga,poecilopsetta praelonga,Fis-34040,123501367
samariscus huysmani,samariscus huysmani,Fis-34041,155066
aseraggodes cyaneus,aseraggodes cyaneus,Fis-27847,158674774
arnoglossus debilis,arnoglossus debilis,Fis-27848,69741187
laeops guentheri,laeops guentheri,Fis-34043,154615
pseudorhombus neglectus,pseudorhombus neglectus,Fis-34044,158622617
tetrosomus reipublicae,tetrosomus reipublicae,Fis-159888,NA
thamnaconus striatus,thamnaconus striatus,Fis-27852,NA
pseudomonacanthus macrurus,pseudomonacanthus macrurus,Fis-27853,79803102
synchiropus altivelis,synchiropus altivelis,Fis-27858,NA
callionymus meridionalis,callionymus meridionalis,Fis-34056,NA
parapercis sexfasciata,parapercis sexfasciata,Fis-27860,NA
filimanus xanthonema,filimanus xanthonema,Fis-27862,NA
pennahia pawak,pennahia pawak,Fis-27864,49188621
ostorhinchus nigrocincta,ostorhinchus nigrocincta,Fis-167298,NA
odontanthias rhodopeplus,odontanthias rhodopeplus,Fis-51215,NA
pseudanthias fasciatus,pseudanthias fasciatus,Fis-53810,NA
erisphex philippinus,erisphex philippinus,Fis-27872,NA
neomerinthe procurva,neomerinthe procurva,Fis-34065,NA
neomerinthe megalepis,neomerinthe megalepis,Fis-27873,69794251
inimicus cuvieri,inimicus cuvieri,Fis-27874,NA
antigonia malayana,antigonia malayana,Fis-34066,NA
ostichthys acanthorhinus,ostichthys acanthorhinus,Fis-34068,NA
aulotrachichthys latus,aulotrachichthys latus,Fis-27875,123358174
halieutaea coccinea,halieutaea coccinea,Fis-34070,140331012
lophiodes gracilimanus,lophiodes gracilimanus,Fis-27876,135437860
hypopleuron caninum,hypopleuron caninum,Fis-34071,137552145
neobythites longipes,neobythites longipes,Fis-34072,141357925
neobythites macrops,neobythites macrops,Fis-34073,141357986
ateleopus natalensis,ateleopus natalensis,Fis-34084,NA
zu elongatus,zu elongatus,Fis-34086,21112742
metavelifer multiradiatus,metavelifer multiradiatus,Fis-27881,123376425
hoplostethus melanopus,hoplostethus melanopus,Fis-27883,21110190
zenion leptolepis,zenion leptolepis,Fis-27884,NA
oreosoma atlanticum,oreosoma atlanticum,Fis-34088,NA
cyttus traversi,cyttus traversi,Fis-34092,NA
notopogon macrosolen,notopogon macrosolen,Fis-34097,154924
neobythites malayanus,neobythites malayanus,Fis-34100,141357989
physiculus nigrescens,physiculus nigrescens,Fis-34101,NA
congiopodus spinifer,congiopodus spinifer,Fis-27888,15622711
congiopodus torvus,congiopodus torvus,Fis-27890,155111
paraliparis copei copei,paraliparis copei copei,Fis-146809,NA
hoplichthys acanthopleurus,hoplichthys acanthopleurus,Fis-34105,114167535
myctophum brachygnathum,myctophum brachygnathum,Fis-27893,NA
