worms_sciname,am_sciname,am_sid,iucn_sid
gennadas gilchristi,gennadas gilchristi,ITS-551543,NA
gennadas incertus,gennadas incertus,ITS-551544,NA
cochlis vittata,natica vittata,SLB-92331,NA
thetystrombus latus,strombus latus,SLB-92339,NA
gennadas propinquus,gennadas propinquus,ITS-96101,NA
gennadas scutatus,gennadas scutatus,ITS-96102,NA
solen lamarckii,solen lamarckii,W-Msc-413756,NA
solen roseomaculatus,solen roseomaculatus,W-Msc-216476,NA
tellinella cruciata,tellina staurella,SLB-92357,NA
gennadas sordidus,gennadas sordidus,ITS-551548,NA
tellinella virgata,tellina virgata,SLB-92362,NA
gennadas talismani,gennadas talismani,ITS-96103,NA
phylloda foliacea,tellina foliacea,SLB-92373,NA
scutarcopagia linguafelis,tellina linguafelis,SLB-92376,NA
gennadas tinayrei,gennadas tinayrei,ITS-551549,NA
loxosomella phascolosomata,loxosomella phascolosomata,ITS-708805,NA
gennadas valens,gennadas valens,ITS-96095,NA
cyclotellina remies,tellina remies,SLB-92392,NA
loxosomella varians,loxosomella varians,ITS-708717,NA
scutarcopagia scobinata,tellina scobinata,SLB-92396,NA
tellinides timorensis,tellina timorensis,SLB-92403,NA
donax cuneatus,donax cuneatus,W-Msc-216498,NA
acanthocarpus alexandri,acanthocarpus alexandri,W-Bch-158044,NA
donax faba,donax faba,W-Msc-216485,NA
plebidonax deltoides,donax deltoides,SLB-92432,NA
donax incarnatus,donax incarnatus,W-Msc-216497,NA
donax scortum,donax scortum,W-Msc-494725,NA
asaphis violascens,asaphis violascens,W-Msc-213508,NA
gari elongata,gari elongata,W-Msc-213519,NA
calappa calappa,calappa calappa,W-Bch-209498,NA
gari togata,gari togata,W-Msc-507153,NA
calappa flammea,calappa flammea,W-Bch-158052,NA
hiatula diphos,soletellina diphos,SLB-92464,NA
calappa galloides,calappa galloides,W-Bch-241042,NA
gari squamosa,gari squamosa,W-Msc-507164,NA
gari truncata,gari truncata,W-Msc-507166,NA
calappa gallus,calappa gallus,W-Bch-209502,NA
azorinus coarctatus,azorinus coarctatus,W-Msc-715239,NA
sphenopus marsupialis,sphenopus marsupialis,W-Zoa-291061,NA
calappa granulata,calappa granulata,SLB-9249,NA
corymorpha gracilis,corymorpha gracilis,W-Hyd-292179,NA
solecurtus divaricatus,solecurtus divaricatus,W-Msc-507346,NA
geloina expansa,polymesoda erosa,SLB-92494,NA
calappa hepatica,calappa hepatica,W-Bch-209501,NA
geloina expansa,polymesoda expansa,SLB-92508,NA
batissa violacea,batissa violacea,W-Msc-574116,NA
anomalodiscus squamosus,anomalocardia squamosa,SLB-92524,NA
circe scripta,circe scripta,W-Msc-216564,NA
gafrarium dispar,gafrarium dispar,W-Msc-208527,NA
gafrarium divaricatum,gafrarium divaricatum,W-Msc-362562,NA
gafrarium pectinatum,gafrarium pectinatum,W-Msc-141914,NA
calappula tortugae,calappa tortugae,SLB-9254,NA
gafrarium pectinatum,gafrarium tumidum,SLB-92541,NA
marcia hiantina,marcia hiantina,W-Msc-216583,NA
cryptosoma bairdii,cryptosoma bairdii,W-Bch-440316,NA
lioconcha castrensis,lioconcha castrensis,W-Msc-216577,NA
amphinema rugosum,amphinema rugosum,W-Hyd-117781,NA
cycloes marisrubri,cycloes marisrubri,W-Bch-440319,NA
aglaophenia dubia,aglaophenia dubia,W-Hyd-284022,NA
halopteris alternata,halopteris alternata,W-Hyd-117630,NA
hebella scandens,hebella scandens,W-Hyd-117699,NA
cyclozodion angustum,cyclozodion angustum,W-Bch-421921,NA
