species,gf_level,depth_pc1,depth_pc2,log_l,mob_score,repr_pc1,repr_pc2,troph,troph_se,k_group,p_group
plicopurpura patula,2.5833333333333335,0.43517877743030897,-0.432499454140824,0.9294189257142927,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
poirieria delli,2.9166666666666665,0.43517877743030897,-0.432499454140824,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
poirieria denticulifera,2.9166666666666665,0.43517877743030897,-0.432499454140824,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
poirieria kopua,2.9166666666666665,0.43517877743030897,-0.432499454140824,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
poirieria parva,2.9166666666666665,0.43517877743030897,-0.432499454140824,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
poirieria primigena,2.9166666666666665,0.43517877743030897,-0.432499454140824,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
poirieria syrinx,2.9166666666666665,0.43517877743030897,-0.432499454140824,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
poirieria zelandica,2.8333333333333335,0.43517877743030897,-0.432499454140824,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pomaulax gibberosus,2.8333333333333335,0.43517877743030897,-0.432499454140824,0.7524670919957888,1,0.7892597878516658,1.354225791266902,2.0875,0.0075,i,i
pomaulax japonicus,2.9166666666666665,0.43517877743030897,-0.432499454140824,0.7524670919957888,1,0.7892597878516658,1.354225791266902,2.0875,0.0075,i,i
pomaulax omorii,2.9166666666666665,0.43517877743030897,-0.432499454140824,0.7524670919957888,1,0.7892597878516658,1.354225791266902,2.0875,0.0075,i,i
pomaulax spiratus,2.8333333333333335,0.43517877743030897,-0.432499454140824,0.7524670919957888,1,0.7892597878516658,1.354225791266902,2.0875,0.0075,i,i
pomaulax tyosiensis,2.9166666666666665,0.43517877743030897,-0.432499454140824,0.7524670919957888,1,0.7892597878516658,1.354225791266902,2.0875,0.0075,i,i
ponderia abessensis,3,0.406403798405934,-0.42993060636098746,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
ponderia abies,3,0.406403798405934,-0.42993060636098746,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
ponderia caledonica,3,0.406403798405934,-0.42993060636098746,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
ponderia canalifera,3,0.406403798405934,-0.42993060636098746,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
ponderia elephantina,3,0.406403798405934,-0.42993060636098746,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
ponderia magna,3,0.406403798405934,-0.42993060636098746,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
ponderia magnei,3,0.406403798405934,-0.42993060636098746,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
ponderia zealandica,3,0.406403798405934,-0.42993060636098746,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
poropteron debruini,3,0.406403798405934,-0.42993060636098746,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
poropteron graagae,3,0.406403798405934,-0.42993060636098746,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
poropteron multicornis,3,0.406403798405934,-0.42993060636098746,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
poropteron quinquelobatus,3,0.406403798405934,-0.42993060636098746,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
poropteron transkeianus,3,0.406403798405934,-0.42993060636098746,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
poropteron uncinarius,3,0.406403798405934,-0.42993060636098746,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pradoxa confirmata,3,0.406403798405934,-0.42993060636098746,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pradoxa gorii,3,0.406403798405934,-0.42993060636098746,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pradoxa thomensis,3,0.406403798405934,-0.42993060636098746,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pradoxa urdambideli,3,0.406403798405934,-0.42993060636098746,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
prisogaster elevatus,2.9166666666666665,0.43517877743030897,-0.432499454140824,0.7524670919957888,1,0.7892597878516658,1.354225791266902,2.0875,0.0075,i,i
prisogaster niger,2.8333333333333335,0.43517877743030897,-0.432499454140824,0.7524670919957888,1,0.7892597878516658,1.354225791266902,2.0875,0.0075,i,i
