src,iucn_sid,sciname,range_tot_km2,range_cst_km2
am,NA,abudefduf bengalensis,2818521.0013527423,2818521.0013527423
am,NA,abudefduf concolor,184018.00006572157,184018.00006572157
am,NA,abudefduf conformis,2822.0000088214874,2822.0000088214874
am,NA,abudefduf declivifrons,135263.00007030368,135263.00007030368
am,NA,abudefduf lorenzi,1774193.0008778349,1774193.0008778349
am,NA,abudefduf margariteus,1881.9999981671572,1881.9999981671572
am,NA,abudefduf natalensis,5312.000010535121,5312.000010535121
am,NA,abudefduf notatus,3713549.001776986,3713549.001776986
am,NA,abudefduf saxatilis,1543546.0003346205,1543546.0003346205
am,NA,abudefduf septemfasciatus,3365781.00197576,3365781.00197576
am,NA,abudefduf sexfasciatus,4505525.002247468,4505525.002247468
am,NA,abudefduf sordidus,3746502.0021323115,3746502.0021323115
am,NA,abudefduf sparoides,277834.00013837963,277834.00013837963
am,NA,abudefduf taurus,949680.0001794472,949680.0001794472
am,NA,abudefduf troschelii,220458.00010934472,220458.00010934472
am,NA,abudefduf vaigiensis,4554625.002278574,4554625.002278574
am,NA,abudefduf whitleyi,335319.00010816753,335319.00010816753
am,NA,abyla haeckeli,16077967.002511956,10749738.002480008
am,NA,abylopsis eschscholtzii,13277181.002007239,8540233.001969568
am,NA,abylopsis tetragona,15421916.002247669,10106487.00221572
am,NA,abyssascidia millari,80348.99999666959,80348.99999666959
am,NA,abyssaster planus,0,0
am,NA,abyssianira bathyalis,8017.000008374453,8017.000008374453
am,NA,abyssobrotula galatheae,220824598.00060278,318536.0002923757
am,NA,abyssochrysos brasilianus,6800,6800
am,NA,abyssocladia bruuni,1576.9999980926514,1576.9999980926514
am,NA,abyssorchomene distinctus,1000,1000
am,NA,abyssorchomene nodimanus,216451.99999231845,216451.99999231845
am,NA,abyssothauma psilarosis,0,0
am,NA,abyssotherma pacifica,881.999996304512,881.999996304512
am,NA,abyssothyris wyvillei,15539.999988302588,15539.999988302588
am,NA,acaenosquilla brazieri,104784.00006331503,104784.00006331503
am,NA,acanella arbuscula,470363.000017032,470363.000017032
am,NA,acanthacaris caeca,187001.99999343604,187001.99999343604
iucn,170000,acanthacaris caeca,2839060.000002384,230060.0000023842
am,NA,acanthacaris tenuimana,896198.0005919933,896198.0005919933
iucn,169962,acanthacaris tenuimana,28132998.000001907,182998.00000190735
am,NA,acanthaluteres brownii,149812.00004331768,149812.00004331768
am,NA,acanthaluteres spilomelanurus,321396.00014165044,321396.00014165044
am,NA,acanthaluteres vittiger,318027.0001543686,318027.0001543686
am,NA,acanthanas pusillus,2707851.001004316,2707851.001004316
am,NA,acanthancora cyanocrypta,93323.00003413111,93323.00003413111
am,NA,acanthanectes hystrix,4766.99999384582,4766.99999384582
iucn,179021,acanthanectes hystrix,8781.999999284744,8781.999999284744
am,NA,acanthanectes rufus,1879.9999898299575,1879.9999898299575
iucn,178914,acanthanectes rufus,94902.99998205155,94902.99998205155
am,NA,acanthaphritis barbata,1680425.0007031485,1680425.0007031485
am,NA,acanthaphritis grandisquamis,893153.0002623796,893153.0002623796
iucn,185010,acantharctus delfini,86643.99999976158,1843.9999997615814
am,NA,acantharctus ornatus,1642303.0007459223,1642303.0007459223
iucn,185031,acantharctus ornatus,1427972.0002785325,1427972.0002785325
iucn,185059,acantharctus posteli,1161545.0000358745,663145.0000358745
am,NA,acanthaster planci,5672896.002326161,5672896.002326161
am,NA,acanthastrea brevis,3567411.001718417,3567411.001718417
iucn,133557,acanthastrea brevis,3473692.0015327632,3473692.0015327632
am,NA,acanthastrea echinata,4900311.002237536,4900311.002237536
iucn,133246,acanthastrea echinata,7445867.002626881,7445867.002626881
am,NA,acanthastrea hemprichii,4040957.0018060505,4040957.0018060505
iucn,133642,acanthastrea hemprichii,5037284.001909569,5037284.001909569
am,NA,acanthastrea minuta,1117413.0004702136,1117413.0004702136
iucn,133670,acanthastrea minuta,2647393.0010881275,2647393.0010881275
am,NA,acanthastrea pachysepta,3574524.0015529096,3574524.0015529096
iucn,133152,acanthastrea pachysepta,5543155.001687072,5543155.001687072
am,NA,acanthastrea rotundoflora,4267608.001905493,4267608.001905493
