parent,id,parent_level,name,rank
amphipoda,410439,order,behningiellidae,family
amphipoda,101381,order,gammaracanthidae,family
amphipoda,101382,order,gammarellidae,family
amphipoda,101383,order,gammaridae,family
amphipoda,491615,order,iphigenellidae,family
amphipoda,545455,order,mesogammaridae,family
amphipoda,545508,order,micruropodidae,family
amphipoda,547922,order,pallaseidae,family
amphipoda,549249,order,phreatogammaridae,family
amphipoda,234075,order,pontogammaridae,family
amphipoda,951927,order,zaramillidae,family
amphipoda,146744,order,calliopiidae,family
amphipoda,430450,order,cheirocratidae,family
amphipoda,720152,order,hornelliidae,family
amphipoda,101396,order,megaluropidae,family
amphipoda,176946,order,pontogeneiidae,family
amphipoda,719498,order,eriopisidae,family
amphipoda,490398,order,gammaroporeiidae,family
amphipoda,236741,order,hadziidae,family
amphipoda,475166,order,maeridae,family
amphipoda,101397,order,melitidae,family
amphipoda,545468,order,metacrangonyctidae,family
amphipoda,719504,order,nuuanuidae,family
amphipoda,430449,order,caspicolidae,family
amphipoda,196117,order,ceinidae,family
amphipoda,236753,order,dogielinotidae,family
amphipoda,176811,order,eophliantidae,family
amphipoda,101385,order,hyalidae,family
amphipoda,390790,order,najnidae,family
amphipoda,101402,order,phliantidae,family
amphipoda,549785,order,plioplateidae,family
amphipoda,196124,order,temnophliantidae,family
amphipoda,491975,order,kuriidae,family
amphipoda,557406,order,tulearidae,family
amphipoda,1453559,order,arcitalitridae,family
amphipoda,1453560,order,protorchestiidae,family
amphipoda,1453567,order,uhlorchestiidae,family
amphipoda,101411,order,talitridae,family
anaulales,160526,order,anaulaceae,family
anguilliformes,125425,order,anguillidae,family
anguilliformes,125426,order,chlopsidae,family
anguilliformes,151816,order,colocongridae,family
anguilliformes,125427,order,congridae,family
anguilliformes,125428,order,derichthyidae,family
anguilliformes,125429,order,heterenchelyidae,family
anguilliformes,151813,order,moringuidae,family
anguilliformes,125430,order,muraenesocidae,family
anguilliformes,125431,order,muraenidae,family
anguilliformes,151815,order,myrocongridae,family
anguilliformes,125432,order,nemichthyidae,family
anguilliformes,125433,order,nettastomatidae,family
anguilliformes,125434,order,ophichthidae,family
anguilliformes,588637,order,protanguillidae,family
anguilliformes,125435,order,serrivomeridae,family
anguilliformes,125436,order,synaphobranchidae,family
anoecida,593499,order,caecitellidae,family
anseriformes,136973,order,anatidae,family
