spp_gp,rank,name,parent,parent_level
duplicaria baileyi,genus,duplicaria,terebridae,family
duplicaria baileyi,species,duplicaria baileyi,duplicaria,genus
duplicaria raphanula,phylum,mollusca,animalia,kingdom
duplicaria raphanula,class,gastropoda,mollusca,phylum
duplicaria raphanula,order,neogastropoda,gastropoda,class
duplicaria raphanula,family,terebridae,neogastropoda,order
duplicaria raphanula,genus,duplicaria,terebridae,family
duplicaria raphanula,species,duplicaria raphanula,duplicaria,genus
duplicaria teramachii,phylum,mollusca,animalia,kingdom
duplicaria teramachii,class,gastropoda,mollusca,phylum
duplicaria teramachii,order,neogastropoda,gastropoda,class
duplicaria teramachii,family,terebridae,neogastropoda,order
duplicaria teramachii,genus,duplicaria,terebridae,family
duplicaria teramachii,species,duplicaria teramachii,duplicaria,genus
durvillaea antarctica,phylum,ochrophyta,chromista,kingdom
durvillaea antarctica,class,phaeophyceae,ochrophyta,phylum
durvillaea antarctica,order,fucales,phaeophyceae,class
durvillaea antarctica,family,durvillaeaceae,fucales,order
durvillaea antarctica,genus,durvillaea,durvillaeaceae,family
durvillaea antarctica,species,durvillaea antarctica,durvillaea,genus
durvillaea willana,phylum,ochrophyta,chromista,kingdom
durvillaea willana,class,phaeophyceae,ochrophyta,phylum
durvillaea willana,order,fucales,phaeophyceae,class
durvillaea willana,family,durvillaeaceae,fucales,order
durvillaea willana,genus,durvillaea,durvillaeaceae,family
durvillaea willana,species,durvillaea willana,durvillaea,genus
dynamena cornicina,phylum,cnidaria,animalia,kingdom
dynamena cornicina,class,hydrozoa,cnidaria,phylum
dynamena cornicina,order,leptothecata,hydrozoa,class
dynamena cornicina,family,sertulariidae,leptothecata,order
dynamena cornicina,genus,dynamena,sertulariidae,family
dynamena cornicina,species,dynamena cornicina,dynamena,genus
dynamene torelliae,phylum,arthropoda,animalia,kingdom
dynamene torelliae,class,malacostraca,arthropoda,phylum
dynamene torelliae,order,isopoda,malacostraca,class
dynamene torelliae,family,sphaeromatidae,isopoda,order
dynamene torelliae,genus,dynamene,sphaeromatidae,family
dynamene torelliae,species,dynamene torelliae,dynamene,genus
eccliseogyra nitida,phylum,mollusca,animalia,kingdom
eccliseogyra nitida,class,gastropoda,mollusca,phylum
eccliseogyra nitida,order,[unassigned] caenogastropoda,gastropoda,class
eccliseogyra nitida,family,epitoniidae,[unassigned] caenogastropoda,order
eccliseogyra nitida,genus,eccliseogyra,epitoniidae,family
eccliseogyra nitida,species,eccliseogyra nitida,eccliseogyra,genus
eccliseogyra performosa,phylum,mollusca,animalia,kingdom
eccliseogyra performosa,class,gastropoda,mollusca,phylum
eccliseogyra performosa,order,[unassigned] caenogastropoda,gastropoda,class
eccliseogyra performosa,family,epitoniidae,[unassigned] caenogastropoda,order
eccliseogyra performosa,genus,eccliseogyra,epitoniidae,family
eccliseogyra performosa,species,eccliseogyra performosa,eccliseogyra,genus
echinaster modestus,phylum,echinodermata,animalia,kingdom
echinaster modestus,class,asteroidea,echinodermata,phylum
echinaster modestus,order,spinulosida,asteroidea,class
echinaster modestus,family,echinasteridae,spinulosida,order
echinaster modestus,genus,echinaster,echinasteridae,family
echinaster modestus,species,echinaster modestus,echinaster,genus
echinaster sepositus,phylum,echinodermata,animalia,kingdom
echinaster sepositus,class,asteroidea,echinodermata,phylum
echinaster sepositus,order,spinulosida,asteroidea,class
echinaster sepositus,family,echinasteridae,spinulosida,order
echinaster sepositus,genus,echinaster,echinasteridae,family
echinaster sepositus,species,echinaster sepositus,echinaster,genus
echinochalina bargibanti,phylum,porifera,animalia,kingdom
echinochalina bargibanti,class,demospongiae,porifera,phylum
echinochalina bargibanti,order,poecilosclerida,demospongiae,class
echinochalina bargibanti,family,microcionidae,poecilosclerida,order
echinochalina bargibanti,genus,echinochalina,microcionidae,family
echinochalina bargibanti,species,echinochalina bargibanti,echinochalina,genus
echinochalina intermedia,phylum,porifera,animalia,kingdom
echinochalina intermedia,class,demospongiae,porifera,phylum
echinochalina intermedia,order,poecilosclerida,demospongiae,class
echinochalina intermedia,family,microcionidae,poecilosclerida,order
echinochalina intermedia,genus,echinochalina,microcionidae,family
echinochalina intermedia,species,echinochalina intermedia,echinochalina,genus
echinochalina laboutei,phylum,porifera,animalia,kingdom
echinochalina laboutei,class,demospongiae,porifera,phylum
echinochalina laboutei,order,poecilosclerida,demospongiae,class
echinochalina laboutei,family,microcionidae,poecilosclerida,order
echinochalina laboutei,genus,echinochalina,microcionidae,family
echinochalina laboutei,species,echinochalina laboutei,echinochalina,genus
echinodictyum cancellatum,phylum,porifera,animalia,kingdom
echinodictyum cancellatum,class,demospongiae,porifera,phylum
echinodictyum cancellatum,order,axinellida,demospongiae,class
echinodictyum cancellatum,family,raspailiidae,axinellida,order
echinodictyum cancellatum,genus,echinodictyum,raspailiidae,family
echinodictyum cancellatum,species,echinodictyum cancellatum,echinodictyum,genus
echinodiscus auritus,phylum,echinodermata,animalia,kingdom
