am_sid,species,trait,trait_value
Fis-26121,cephalopholis leopardus,thermal_tolerance_range,0-2.5C
Fis-26125,cephalopholis sexmaculata,thermal_tolerance_range,2.5-5C
Fis-26142,epinephelus polyphekadion,thermal_tolerance_range,2.5-5C
Fis-31850,echidna unicolor,thermal_tolerance_range,0-2.5C
Fis-26155,gymnothorax fimbriatus,thermal_tolerance_range,2.5-5C
Fis-26162,pomacanthus imperator,thermal_tolerance_range,2.5-5C
Fis-26177,canthigaster bennetti,thermal_tolerance_range,2.5-5C
Fis-26183,chromis analis,thermal_tolerance_range,2.5-5C
Fis-31876,ostracion cubicus,thermal_tolerance_range,2.5-5C
Fis-26187,paraluteres prionurus,thermal_tolerance_range,2.5-5C
Fis-26195,pygoplites diacanthus,thermal_tolerance_range,2.5-5C
Fis-134356,gymnothorax richardsonii,thermal_tolerance_range,2.5-5C
Fis-26212,choerodon jordani,thermal_tolerance_range,2.5-5C
Fis-31913,coris dorsomacula,thermal_tolerance_range,5-7.5C
Fis-26245,epinephelus macrospilos,thermal_tolerance_range,2.5-5C
Fis-26352,rouleina attrita,thermal_tolerance_range,7.5-10C
Fis-32198,pagetopsis maculatus,thermal_tolerance_range,0-2.5C
Fis-26420,amblyeleotris steinitzi,thermal_tolerance_range,2.5-5C
Fis-150578,asterropteryx semipunctata,thermal_tolerance_range,2.5-5C
Fis-32247,discordipinna griessingeri,thermal_tolerance_range,2.5-5C
Fis-26435,paragobiodon echinocephalus,thermal_tolerance_range,2.5-5C
Fis-57976,priolepis cincta,thermal_tolerance_range,2.5-5C
Fis-32252,cryptocentrus octofasciatus,thermal_tolerance_range,2.5-5C
Fis-32253,ctenogobiops feroculus,thermal_tolerance_range,2.5-5C
Fis-26453,vanderhorstia ambanoro,thermal_tolerance_range,0-2.5C
Fis-32257,bryaninops ridens,thermal_tolerance_range,2.5-5C
Fis-119716,bryaninops yongei,thermal_tolerance_range,2.5-5C
Fis-32264,eviota fasciola,thermal_tolerance_range,2.5-5C
Fis-32268,eviota melasma,thermal_tolerance_range,2.5-5C
Fis-32271,eviota prasites,thermal_tolerance_range,2.5-5C
Fis-146627,scolecenchelys macroptera,thermal_tolerance_range,2.5-5C
Fis-163998,antennarius commerson,thermal_tolerance_range,2.5-5C
Fis-32292,antennarius randalli,thermal_tolerance_range,2.5-5C
Fis-32295,dinematichthys iluocoeteoides,thermal_tolerance_range,2.5-5C
Fis-26473,stenatherina panatela,thermal_tolerance_range,2.5-5C
Fis-32301,myripristis violacea,thermal_tolerance_range,2.5-5C
Fis-26476,sargocentron tiereoides,thermal_tolerance_range,2.5-5C
Fis-26479,scorpaenodes scaber,thermal_tolerance_range,7.5-10C
Fis-26503,epinephelus flavocaeruleus,thermal_tolerance_range,5-7.5C
Fis-26504,epinephelus howlandi,thermal_tolerance_range,2.5-5C
Fis-26507,epinephelus longispinis,thermal_tolerance_range,5-7.5C
Fis-26511,epinephelus radiatus,thermal_tolerance_range,2.5-5C
Fis-32321,plectropomus punctatus,thermal_tolerance_range,2.5-5C
Fis-32332,argyropelecus sladeni,thermal_tolerance_range,10-15C
Fis-32348,protomyctophum beckeri,thermal_tolerance_range,0-2.5C
Fis-32352,plectropomus pessuliferus,thermal_tolerance_range,2.5-5C
Fis-32360,bathypterois atricolor,thermal_tolerance_range,10-15C
Fis-26544,chilorhinus platyrhynchus,thermal_tolerance_range,2.5-5C
Fis-13941,scuticaria tigrina,thermal_tolerance_range,2.5-5C
Fis-32374,phyllophichthus xenodontus,thermal_tolerance_range,2.5-5C
