.imp,.id,log_l,log_f,troph,age_mat,wcol,adult_mob,species
3,1093,3.80666,0.34657,4.3,3,bp,mob,sterna sandvicensis
3,1094,3.80666,0.34657,4.3,3,bp,mig,sterna sandvicensis
3,1095,3.80666,1.15129,4.3,3,bp,mob,sterna sandvicensis
3,1096,3.80666,1.15129,4.3,3,bp,mig,sterna sandvicensis
3,1097,4.27667,0.34657,4.28,3,bp,mob,phalacrocorax aristotelis
3,1098,4.27667,0.34657,4.28,3,bp,mig,phalacrocorax aristotelis
3,1099,4.27667,1.15129,4.28,3,bp,mob,phalacrocorax aristotelis
3,1100,4.27667,1.15129,4.28,3,bp,mig,phalacrocorax aristotelis
3,1101,4.14313,0.34657,4.18,3,bp,mob,phalacrocorax featherstoni
3,1102,4.14313,0.34657,4.18,3,bp,mig,phalacrocorax featherstoni
3,1103,4.14313,1.15129,4.18,3,bp,mob,phalacrocorax featherstoni
3,1104,4.14313,1.15129,4.18,3,bp,mig,phalacrocorax featherstoni
3,1105,4.33073,0.34657,4.16,3,bp,mob,phalacrocorax gaimardi
3,1106,4.33073,0.34657,4.16,3,bp,mig,phalacrocorax gaimardi
3,1107,4.33073,1.15129,4.16,3,bp,mob,phalacrocorax gaimardi
3,1108,4.33073,1.15129,4.16,3,bp,mig,phalacrocorax gaimardi
3,1109,4.18965,0.34657,4.34,3,bp,mob,phalacrocorax magellanicus
3,1110,4.18965,0.34657,4.34,3,bp,mig,phalacrocorax magellanicus
3,1111,4.18965,1.15129,4.34,3,bp,mob,phalacrocorax magellanicus
3,1112,4.18965,1.15129,4.34,3,bp,mig,phalacrocorax magellanicus
3,1113,4.21951,0.34657,4.2,3,bp,mob,phalacrocorax pelagicus
3,1114,4.21951,0.34657,4.2,3,bp,mig,phalacrocorax pelagicus
3,1115,4.21951,1.15129,4.2,3,bp,mob,phalacrocorax pelagicus
3,1116,4.21951,1.15129,4.2,3,bp,mig,phalacrocorax pelagicus
3,1117,4.23411,0.34657,4.15,3,bp,mob,phalacrocorax punctatus
3,1118,4.23411,0.34657,4.15,3,bp,mig,phalacrocorax punctatus
3,1119,4.23411,1.15129,4.15,3,bp,mob,phalacrocorax punctatus
3,1120,4.23411,1.15129,4.15,3,bp,mig,phalacrocorax punctatus
3,1121,4.43082,0.34657,4.25,3,pel,mob,phalacrocorax urile
3,1122,4.43082,0.34657,4.25,3,pel,mig,phalacrocorax urile
3,1123,4.43082,1.15129,4.25,3,pel,mob,phalacrocorax urile
3,1124,4.43082,1.15129,4.25,3,pel,mig,phalacrocorax urile
3,1125,4.49981,-1.15129,4.25,7.5,pel,mig,thalassarche salvini
3,1126,3.46574,NA,4.276666666666666,NA,NA,NA,anous tenuirostris
3,1127,3.61496,1.15129,3.5,3,pel,mig,phalaropus fulicarius
3,1128,3.21888,-1.15129,4.293333333333333,3,pel,mig,calonectris borealis
3,1129,3.21888,-1.15129,4.293333333333333,7.5,pel,mig,calonectris borealis
3,1130,2.99573,-1.15129,4.293333333333333,15,pel,mig,calonectris borealis
3,1131,3.21888,-1.15129,4.2,3,pel,mig,calonectris edwardsii
3,1132,2.99573,-1.15129,4.2,7.5,pel,mig,calonectris edwardsii
3,1133,2.99573,-1.15129,4.2,15,pel,mig,calonectris edwardsii
3,1134,3.2581,0.34657,4.18,3,bp,mob,chlidonias albostriatus
3,1135,3.63759,0.34657,4.18,3,bp,mig,chlidonias albostriatus
3,1136,3.29584,1.15129,4.18,3,bp,mob,chlidonias albostriatus
3,1137,3.63759,1.15129,4.18,3,bp,mig,chlidonias albostriatus
3,1138,3.13549,0.34657,3.37,3,bp,mob,larus atlanticus
3,1139,3.13549,0.34657,3.37,3,bp,mig,larus atlanticus
3,1140,3.58352,1.15129,3.37,3,bp,mob,larus atlanticus
3,1141,3.8712,1.15129,3.37,3,bp,mig,larus atlanticus
3,1142,3.68888,0.34657,4.11,3,bp,mob,larus cachinnans
3,1143,3.3322,0.34657,4.11,3,bp,mig,larus cachinnans
3,1144,3.13549,1.15129,4.11,3,bp,mob,larus cachinnans
3,1145,3.71357,1.15129,4.11,3,bp,mig,larus cachinnans
3,1146,3.13549,0.34657,3.1,3,bp,mob,larus hartlaubii
3,1147,3.8712,0.34657,3.1,3,bp,mig,larus hartlaubii
3,1148,3.21888,1.15129,3.1,3,bp,mob,larus hartlaubii
3,1149,3.58352,1.15129,3.1,3,bp,mig,larus hartlaubii
3,1150,3.61092,0.34657,4.28,3,bp,mob,larus livens
3,1151,4.59512,0.34657,4.28,3,bp,mig,larus livens
3,1152,3.82864,1.15129,4.28,3,bp,mob,larus livens
3,1153,3.58352,1.15129,4.28,3,bp,mig,larus livens
3,1154,3.63759,0.34657,4.0925,3,bp,mob,larus michahellis
3,1155,3.4012,0.34657,4.0925,3,bp,mig,larus michahellis
3,1156,3.4012,1.15129,4.0925,3,bp,mob,larus michahellis
3,1157,3.80666,1.15129,4.0925,3,bp,mig,larus michahellis
3,1158,3.63759,0.34657,4.0925,3,bp,mob,larus smithsonianus
3,1159,3.55535,0.34657,4.0925,3,bp,mig,larus smithsonianus
3,1160,3.4012,1.15129,4.0925,3,bp,mob,larus smithsonianus
3,1161,3.80666,1.15129,4.0925,3,bp,mig,larus smithsonianus
3,1162,3.21888,-1.15129,4.55,3,pel,mig,procellaria conspicillata
3,1163,2.99573,-1.15129,4.55,7.5,pel,mig,procellaria conspicillata
3,1164,3.21888,-1.15129,4.55,15,pel,mig,procellaria conspicillata
3,1165,2.99573,-1.15129,4,3,pel,mob,pterodroma atrata
3,1166,2.99573,-1.15129,4,3,pel,mig,pterodroma atrata
3,1167,3.21888,-1.15129,4,7.5,pel,mob,pterodroma atrata
3,1168,2.99573,-1.15129,4,7.5,pel,mig,pterodroma atrata
3,1169,2.99573,-1.15129,4.07,3,pel,mob,pterodroma caribbaea
3,1170,3.21888,-1.15129,4.07,3,pel,mig,pterodroma caribbaea
3,1171,2.99573,-1.15129,4.07,7.5,pel,mob,pterodroma caribbaea
3,1172,2.99573,-1.15129,4.07,7.5,pel,mig,pterodroma caribbaea
3,1173,2.99573,-1.15129,4.1234375,3,pel,mob,pterodroma deserta
3,1174,2.99573,-1.15129,4.1234375,3,pel,mig,pterodroma deserta
3,1175,3.21888,-1.15129,4.1234375,7.5,pel,mob,pterodroma deserta
3,1176,3.21888,-1.15129,4.1234375,7.5,pel,mig,pterodroma deserta
3,1177,2.99573,-1.15129,4.32,3,pel,mob,pterodroma heraldica
3,1178,3.21888,-1.15129,4.32,3,pel,mig,pterodroma heraldica
3,1179,2.99573,-1.15129,4.32,7.5,pel,mob,pterodroma heraldica
3,1180,2.99573,-1.15129,4.32,7.5,pel,mig,pterodroma heraldica
3,1181,3.21888,-1.15129,4.2231578947368424,3,pel,mig,puffinus elegans
3,1182,2.99573,-1.15129,4.2231578947368424,7.5,pel,mig,puffinus elegans
3,1183,2.99573,-1.15129,4.2231578947368424,15,pel,mig,puffinus elegans
3,1184,2.99573,-1.15129,4.2231578947368424,3,pel,mig,puffinus persicus
3,1185,3.21888,-1.15129,4.2231578947368424,7.5,pel,mig,puffinus persicus
3,1186,2.99573,-1.15129,4.2231578947368424,15,pel,mig,puffinus persicus
3,1187,3.46574,0.34657,4.12,3,bp,mob,rissa brevirostris
3,1188,3.7612,0.34657,4.12,3,bp,mig,rissa brevirostris
3,1189,3.71357,1.15129,4.12,3,bp,mob,rissa brevirostris
3,1190,3.82864,1.15129,4.12,3,bp,mig,rissa brevirostris
3,1191,3.63759,0.34657,3.98,3,bp,mob,rissa tridactyla
3,1192,3.55535,0.34657,3.98,3,bp,mig,rissa tridactyla
3,1193,3.29584,1.15129,3.98,3,bp,mob,rissa tridactyla
3,1194,3.46574,1.15129,3.98,3,bp,mig,rissa tridactyla
3,1195,3.80666,0.34657,4.22,3,bp,mob,sterna bengalensis
3,1196,3.61092,0.34657,4.22,3,bp,mig,sterna bengalensis
3,1197,3.7612,1.15129,4.22,3,bp,mob,sterna bengalensis
3,1198,3.2581,1.15129,4.22,3,bp,mig,sterna bengalensis
3,1199,3.68888,0.34657,4.22,3,bp,mob,sterna elegans
3,1200,3.93183,0.34657,4.22,3,bp,mig,sterna elegans
3,1201,3.4012,1.15129,4.22,3,bp,mob,sterna elegans
3,1202,3.7612,1.15129,4.22,3,bp,mig,sterna elegans
3,1203,3.63759,0.34657,4.22,3,bp,mob,sterna maxima
3,1204,3.93183,0.34657,4.22,3,bp,mig,sterna maxima
3,1205,3.7612,1.15129,4.22,3,bp,mob,sterna maxima
3,1206,3.91202,1.15129,4.22,3,bp,mig,sterna maxima
3,1207,3.4012,0.34657,4.17,3,bp,mob,sternula antillarum
3,1208,3.4012,0.34657,4.17,3,bp,mig,sternula antillarum
3,1209,3.4012,1.15129,4.17,3,bp,mob,sternula antillarum
3,1210,3.97029,1.15129,4.17,3,bp,mig,sternula antillarum
3,1211,3.63759,0.34657,4.19,3,bp,mob,sternula saundersi
3,1212,3.82864,0.34657,4.19,3,bp,mig,sternula saundersi
3,1213,2.94444,1.15129,4.19,3,bp,mob,sternula saundersi
3,1214,3.80666,1.15129,4.19,3,bp,mig,sternula saundersi
3,1215,3.2581,0.34657,4.08,3,bp,mob,xema sabini
3,1216,3.63759,0.34657,4.08,3,bp,mig,xema sabini
3,1217,3.3322,1.15129,4.08,3,bp,mob,xema sabini
3,1218,3.63759,1.15129,4.08,3,bp,mig,xema sabini
3,1219,4.35671,-1.15129,4.04,3,bp,mob,aethia psittacula
3,1220,4.35671,-1.15129,4.04,3,bp,mig,aethia psittacula
3,1221,4.35671,-1.15129,4.04,7.5,bp,mob,aethia psittacula
3,1222,4.34381,-1.15129,4.04,7.5,bp,mig,aethia psittacula
3,1223,4.34381,0.34657,4.04,3,bp,mob,aethia psittacula
3,1224,4.35671,0.34657,4.04,3,bp,mig,aethia psittacula
3,1225,4.34381,0.34657,4.04,7.5,bp,mob,aethia psittacula
3,1226,4.35671,0.34657,4.04,7.5,bp,mig,aethia psittacula
3,1227,4.35671,-1.15129,4.19,3,bp,mob,brachyramphus perdix
3,1228,4.35671,-1.15129,4.19,3,bp,mig,brachyramphus perdix
3,1229,4.35671,-1.15129,4.19,7.5,bp,mob,brachyramphus perdix
3,1230,4.35671,-1.15129,4.19,7.5,bp,mig,brachyramphus perdix
3,1231,4.35671,0.34657,4.19,3,bp,mob,brachyramphus perdix
3,1232,4.35671,0.34657,4.19,3,bp,mig,brachyramphus perdix
3,1233,4.35671,0.34657,4.19,7.5,bp,mob,brachyramphus perdix
3,1234,4.7362,0.34657,4.19,7.5,bp,mig,brachyramphus perdix
3,1235,4.34381,-1.15129,4.3,3,bp,mob,fratercula cirrhata
3,1236,4.35671,-1.15129,4.3,3,bp,mig,fratercula cirrhata
3,1237,4.35671,-1.15129,4.3,7.5,bp,mob,fratercula cirrhata
3,1238,4.7362,-1.15129,4.3,7.5,bp,mig,fratercula cirrhata
3,1239,4.34381,0.34657,4.3,3,bp,mob,fratercula cirrhata
3,1240,4.7362,0.34657,4.3,3,bp,mig,fratercula cirrhata
3,1241,4.35671,0.34657,4.3,7.5,bp,mob,fratercula cirrhata
3,1242,4.7362,0.34657,4.3,7.5,bp,mig,fratercula cirrhata
