.imp,.id,log_l,log_f,troph,age_mat,wcol,adult_mob,species
1,207,7.58579,-1.15129,4.23,8,pel,mob,balaenoptera acutorostrata
1,208,7.47307,-1.15129,3.89,8,pel,mob,balaenoptera bonaerensis
1,209,7.58579,-1.15129,3.86,9,pel,mob,balaenoptera borealis
1,210,6.43775,-1.15129,4.1,9,pel,mob,balaenoptera edeni
1,211,7.3994,-1.15129,3.47,11,pel,mob,balaenoptera musculus
1,212,7.12287,-1.15129,3.9042857142857144,9,pel,mob,balaenoptera omurai
1,213,7.12287,-1.15129,3.75,10,pel,mob,balaenoptera physalus
1,214,6.27288,-1.15129,4.49,14,pel,mig,berardius arnuxii
1,215,7.09008,-1.15129,4.49,12,pel,mob,berardius bairdii
1,216,7.09008,-1.15129,4.49,8,pel,mob,berardius bairdii
1,217,7.09008,-1.15129,4.49,14,pel,mob,berardius bairdii
1,218,6.17653,-1.15129,4.5,7,pel,mob,cephalorhynchus commersonii
1,219,6.17653,-1.15129,4.5,7,pel,mob,cephalorhynchus eutropia
1,220,6.17653,-1.15129,4.5,7,pel,mob,cephalorhynchus heavisidii
1,221,5.57973,-1.15129,4.5,7,pel,mob,cephalorhynchus hectori
1,222,6.12468,-1.15129,4.25,7,pel,mig,delphinapterus leucas
1,223,5.84932,-1.15129,4.25,7,pel,mob,delphinapterus leucas
1,224,6.12468,0.34657,4.25,5.17455,pel,mig,delphinapterus leucas
1,225,6.50728,-1.15129,4.25,5.17455,pel,mob,delphinapterus leucas
1,226,6.12468,-1.15129,4.25,7.76182,pel,mig,delphinapterus leucas
1,227,5.57595,-1.15129,4.25,7.76182,pel,mob,delphinapterus leucas
1,228,5.57595,-1.15129,4.5,9,pel,mob,delphinus capensis
1,229,6.17653,-1.15129,4.49,8.6826,pel,mob,delphinus delphis
1,230,5.57595,-1.15129,4.49,5.06485,pel,mob,delphinus delphis
1,231,5.40268,-1.15129,4.49,10.05735,pel,mob,delphinus delphis
1,232,6.50728,-1.15129,4.49,9,pel,mob,delphinus delphis
1,233,5.48064,-1.15129,2.03,7.2355,bp,mob,dugong dugon
1,234,5.24702,-1.15129,2.03,18.75774,bp,mob,dugong dugon
1,235,5.56068,-1.15129,2.03,11.21503,bp,mob,dugong dugon
1,236,7.98956,-1.15129,3.285,10,pel,mob,eschrichtius robustus
1,237,7.47307,-1.15129,3,8,pel,mob,eubalaena australis
1,238,6.79682,-1.15129,3,10,pel,mob,eubalaena glacialis
1,239,7.30653,-1.15129,3,9,pel,mob,eubalaena japonica
1,240,5.99146,-1.15129,4.5,8.6826,pel,mig,globicephala macrorhynchus
1,241,6.12468,-1.15129,4.5,13.74746,pel,mig,globicephala macrorhynchus
1,242,5.96615,-1.15129,4.5,14.6,pel,mig,globicephala macrorhynchus
1,243,6.21461,-1.15129,4.5,9,pel,mig,globicephala macrorhynchus
1,244,5.99146,-1.15129,4.5,11,pel,mig,globicephala macrorhynchus
1,245,6.12468,-1.15129,4.51,12,pel,mig,globicephala melas
1,246,5.57595,-1.15129,4.36,11,pel,mob,grampus griseus
