iucn_sid,sciname,worms_name,in_am,in_am_valid,in_vuln,mapped
7134,eleotris sandwicensis,eleotris sandwicensis,FALSE,FALSE,TRUE,FALSE
7135,eleotris melanosoma,eleotris melanosoma,TRUE,TRUE,TRUE,FALSE
7750,enhydra lutris,enhydra lutris,TRUE,TRUE,TRUE,TRUE
7778,entomacrodus cadenati,entomacrodus cadenati,FALSE,FALSE,TRUE,TRUE
7854,epinephelus drummondhayi,epinephelus drummondhayi,TRUE,TRUE,TRUE,TRUE
7855,hyporthodus exsul,hyporthodus exsul,FALSE,FALSE,TRUE,TRUE
7858,epinephelus lanceolatus,epinephelus lanceolatus,TRUE,TRUE,TRUE,TRUE
7859,epinephelus marginatus,epinephelus marginatus,TRUE,TRUE,TRUE,TRUE
7860,hyporthodus nigritus,hyporthodus nigritus,TRUE,TRUE,TRUE,TRUE
7861,hyporthodus niveatus,hyporthodus niveatus,TRUE,TRUE,TRUE,TRUE
7862,epinephelus striatus,epinephelus striatus,TRUE,TRUE,TRUE,TRUE
8005,eretmochelys imbricata,eretmochelys imbricata,TRUE,TRUE,TRUE,TRUE
8010,erignathus barbatus,erignathus barbatus,TRUE,TRUE,TRUE,TRUE
8012,erignathus barbatus,erignathus barbatus,TRUE,TRUE,TRUE,FALSE
8013,erignathus barbatus,erignathus barbatus,TRUE,TRUE,TRUE,FALSE
8097,eschrichtius robustus,eschrichtius robustus,TRUE,TRUE,TRUE,TRUE
8099,eschrichtius robustus,eschrichtius robustus,TRUE,TRUE,TRUE,TRUE
8153,eubalaena australis,eubalaena australis,TRUE,TRUE,TRUE,TRUE
8239,eumetopias jubatus,eumetopias jubatus,TRUE,TRUE,TRUE,TRUE
8261,eunice viridis,no match,FALSE,FALSE,FALSE,FALSE
8262,eunicella verrucosa,eunicella verrucosa,TRUE,TRUE,TRUE,FALSE
8407,eurypegasus draconis,eurypegasus draconis,TRUE,TRUE,TRUE,TRUE
8408,eurypegasus papilio,eurypegasus papilio,TRUE,TRUE,TRUE,TRUE
8409,eurypegasus draconis,eurypegasus draconis,TRUE,TRUE,TRUE,FALSE
8551,feresa attenuata,feresa attenuata,TRUE,TRUE,TRUE,TRUE
8784,gadus morhua,gadus morhua,TRUE,TRUE,TRUE,FALSE
8817,galaxias argenteus,galaxias argenteus,FALSE,FALSE,TRUE,FALSE
8951,gasterosteus aculeatus,gasterosteus aculeatus,TRUE,TRUE,TRUE,FALSE
9175,gibberula cucullata,gibberula cucullata,FALSE,FALSE,TRUE,FALSE
9176,gibberula modica,gibberula modica,FALSE,FALSE,TRUE,FALSE
9177,gibberula puntillum,gibberula punctillum,FALSE,FALSE,TRUE,FALSE
9249,globicephala macrorhynchus,globicephala macrorhynchus,TRUE,TRUE,TRUE,TRUE
9250,globicephala melas,globicephala melas,TRUE,TRUE,TRUE,TRUE
9266,psammogobius biocellatus,psammogobius biocellatus,TRUE,TRUE,TRUE,FALSE
9461,grampus griseus,grampus griseus,TRUE,TRUE,TRUE,TRUE
9463,granulina parilis,granulina parilis,FALSE,FALSE,TRUE,FALSE
9660,halichoerus grypus,halichoerus grypus,TRUE,TRUE,TRUE,TRUE
10016,heteropoma fulva,allepithema fulvum,FALSE,FALSE,FALSE,FALSE
10017,heteropoma glabratum,allepithema glabratum,FALSE,FALSE,FALSE,FALSE
10018,heteropoma pyramis,allepithema pyramis,FALSE,FALSE,FALSE,FALSE
10019,heteropoma quadrasi,allepithema quadrasi,FALSE,FALSE,FALSE,FALSE
10020,heteropoma tuberculatum,allepithema tuberculatum,FALSE,FALSE,FALSE,FALSE
10021,heteropoma turritum,allepithema turritum,FALSE,FALSE,FALSE,FALSE
10030,hexanchus griseus,hexanchus griseus,TRUE,TRUE,TRUE,TRUE
10056,hippocampus capensis,hippocampus capensis,FALSE,FALSE,TRUE,TRUE
10057,hippocampus abdominalis,hippocampus abdominalis,TRUE,TRUE,TRUE,TRUE
10060,hippocampus bargibanti,hippocampus bargibanti,TRUE,TRUE,TRUE,TRUE
10063,hippocampus breviceps,hippocampus breviceps,TRUE,TRUE,TRUE,TRUE
10064,hippocampus camelopardalis,hippocampus camelopardalis,TRUE,TRUE,TRUE,TRUE
10065,hippocampus coronatus,hippocampus coronatus,TRUE,TRUE,TRUE,TRUE
10066,hippocampus erectus,hippocampus erectus,TRUE,TRUE,TRUE,TRUE
10069,hippocampus hippocampus,hippocampus hippocampus,TRUE,TRUE,TRUE,TRUE
10070,hippocampus histrix,hippocampus histrix,TRUE,TRUE,TRUE,TRUE
10072,hippocampus ingens,hippocampus ingens,TRUE,TRUE,TRUE,TRUE
10074,hippocampus jayakari,hippocampus jayakari,TRUE,TRUE,TRUE,TRUE
10075,hippocampus kuda,hippocampus kuda,TRUE,TRUE,TRUE,FALSE
10077,hippocampus minotaur,hippocampus minotaur,TRUE,FALSE,TRUE,TRUE
10082,hippocampus reidi,hippocampus reidi,TRUE,TRUE,TRUE,TRUE
10083,hippocampus sindonis,hippocampus sindonis,TRUE,FALSE,TRUE,TRUE
10087,hippocampus trimaculatus,hippocampus trimaculatus,TRUE,TRUE,TRUE,TRUE
10088,hippocampus whitei,hippocampus whitei,TRUE,TRUE,TRUE,TRUE
10089,hippocampus zosterae,hippocampus zosterae,TRUE,TRUE,TRUE,TRUE
10097,hippoglossus hippoglossus,hippoglossus hippoglossus,TRUE,TRUE,TRUE,FALSE
10105,hippopus hippopus,hippopus hippopus,TRUE,TRUE,TRUE,FALSE
10106,hippopus porcellanus,hippopus porcellanus,TRUE,FALSE,TRUE,FALSE
10268,huso dauricus,huso dauricus,FALSE,FALSE,TRUE,FALSE
10269,huso huso,huso huso,TRUE,FALSE,TRUE,FALSE
10273,huso huso,huso huso,TRUE,FALSE,TRUE,FALSE
10303,hydrodamalis gigas,hydrodamalis gigas,TRUE,TRUE,TRUE,FALSE
10340,hydrurga leptonyx,hydrurga leptonyx,TRUE,TRUE,TRUE,TRUE
10707,hyperoodon ampullatus,hyperoodon ampullatus,TRUE,TRUE,TRUE,TRUE
10708,hyperoodon planifrons,hyperoodon planifrons,TRUE,TRUE,TRUE,TRUE
10724,hypoplectrus providencianus,hypoplectrus providencianus,FALSE,FALSE,TRUE,FALSE
10939,jenkinsia parvula,jenkinsia parvula,FALSE,FALSE,TRUE,TRUE
11030,knipowitschia caucasica,knipowitschia caucasica,TRUE,TRUE,TRUE,FALSE
11047,kogia breviceps,kogia breviceps,TRUE,TRUE,TRUE,TRUE
11048,kogia sima,kogia sima,TRUE,TRUE,TRUE,TRUE
11060,kuhlia marginata,kuhlia marginata,FALSE,FALSE,TRUE,FALSE
11130,lachnolaimus maximus,lachnolaimus maximus,TRUE,TRUE,TRUE,TRUE
11140,lagenodelphis hosei,lagenodelphis hosei,TRUE,TRUE,TRUE,TRUE
11141,lagenorhynchus acutus,lagenorhynchus acutus,TRUE,TRUE,TRUE,TRUE
11142,lagenorhynchus albirostris,lagenorhynchus albirostris,TRUE,TRUE,TRUE,TRUE
11143,lagenorhynchus australis,lagenorhynchus australis,TRUE,TRUE,TRUE,TRUE
11144,lagenorhynchus cruciger,lagenorhynchus cruciger,TRUE,TRUE,TRUE,TRUE
11145,lagenorhynchus obliquidens,lagenorhynchus obliquidens,TRUE,TRUE,TRUE,TRUE
11146,lagenorhynchus obscurus,lagenorhynchus obscurus,TRUE,TRUE,TRUE,TRUE
11150,lagocephalus gloveri,lagocephalus gloveri,TRUE,TRUE,TRUE,TRUE
11191,ophioglossolambis violacea,ophioglossolambis violacea,FALSE,FALSE,TRUE,FALSE
11200,lamna nasus,lamna nasus,TRUE,TRUE,TRUE,TRUE
11368,latiaxis babelis,babelomurex cariniferus,FALSE,FALSE,TRUE,FALSE
11375,latimeria chalumnae,latimeria chalumnae,TRUE,TRUE,FALSE,FALSE
11501,lentipes concolor,lentipes concolor,FALSE,FALSE,TRUE,FALSE
11502,lentipes whittenorum,lentipes whittenorum,FALSE,FALSE,TRUE,FALSE
11533,lepidochelys kempii,lepidochelys kempii,TRUE,TRUE,TRUE,TRUE
11534,lepidochelys olivacea,lepidochelys olivacea,TRUE,TRUE,TRUE,TRUE
11696,leptonychotes weddellii,leptonychotes weddellii,TRUE,TRUE,TRUE,TRUE
11987,limulus polyphemus,limulus polyphemus,TRUE,TRUE,FALSE,FALSE
12103,liosaccus pachygaster,sphoeroides pachygaster,TRUE,TRUE,TRUE,FALSE
12125,lissodelphis borealis,lissodelphis borealis,TRUE,TRUE,TRUE,TRUE
12126,lissodelphis peronii,lissodelphis peronii,TRUE,TRUE,TRUE,TRUE
12137,lithognathus lithognathus,lithognathus lithognathus,TRUE,TRUE,TRUE,TRUE
12242,littoraria flammea,littoraria flammea,FALSE,FALSE,TRUE,FALSE
12244,liza luciae,liza luciae,FALSE,FALSE,FALSE,FALSE
12246,lobodon carcinophaga,lobodon carcinophagus,TRUE,TRUE,TRUE,TRUE
12302,lontra canadensis,lontra canadensis,FALSE,FALSE,TRUE,FALSE
12303,lontra felina,lutra felina,FALSE,FALSE,TRUE,FALSE
12305,lontra provocax,lutra canadensis provocax,FALSE,FALSE,FALSE,FALSE
12382,lottia alveus,lottia alveus,FALSE,FALSE,TRUE,FALSE
12404,luciogobius pallidus,luciogobius pallidus,FALSE,FALSE,TRUE,FALSE
12416,lutjanus analis,lutjanus analis,TRUE,TRUE,TRUE,FALSE
12417,lutjanus cyanopterus,lutjanus cyanopterus,TRUE,TRUE,TRUE,FALSE
12419,lutra lutra,lutra lutra,TRUE,TRUE,TRUE,FALSE
12421,lutra sumatrana,lutra sumatrana,FALSE,FALSE,TRUE,FALSE
12427,lutrogale perspicillata,lutrogale perspicillata,FALSE,FALSE,FALSE,FALSE
12695,malaclemys terrapin,malaclemys terrapin,FALSE,FALSE,FALSE,TRUE
12807,marginella chalmersi,marginella chalmersi,FALSE,FALSE,TRUE,FALSE
12808,marginella gemma,marginella gemma,FALSE,FALSE,TRUE,FALSE
12809,marginella liparozona,marginella liparozona,FALSE,FALSE,TRUE,FALSE
12810,marginella melvilli,marginella melvilli,FALSE,FALSE,TRUE,FALSE
13006,megaptera novaeangliae,megaptera novaeangliae,TRUE,TRUE,TRUE,TRUE
13045,melanogrammus aeglefinus,melanogrammus aeglefinus,TRUE,TRUE,TRUE,FALSE
13145,menidia conchorum,menidia conchorum,FALSE,FALSE,TRUE,FALSE
13232,mesogobius batrachocephalus,mesogobius batrachocephalus,FALSE,FALSE,TRUE,FALSE
13238,mesonerilla prospera,leptonerilla prospera,FALSE,FALSE,FALSE,FALSE
13241,mesoplodon bidens,mesoplodon bidens,TRUE,TRUE,TRUE,TRUE
