cell_id,chi,n_strs,iucn_sid,rank
3516557,0.03061,2,133419,low
3664010,0.00328,2,133419,low
3671050,4.2e-4,2,133419,low
2421179,0.22541,5,133420,high
3119672,0.27205,2,133420,high
3375979,0.23304,2,133420,high
3425334,0.0285,2,133420,low
3460415,0.02331,2,133420,low
3516557,0.03026,2,133420,low
3664010,0.00324,2,133420,low
3671050,4.1e-4,2,133420,low
3119672,0.27205,2,133422,high
3375979,0.23304,2,133422,high
3425334,0.0285,2,133422,low
3460415,0.02331,2,133422,low
3516557,0.03026,2,133422,low
3664010,0.00324,2,133422,low
3671050,4.1e-4,2,133422,low
3119672,0.27205,2,133427,high
3375979,0.23304,2,133427,high
2421179,0.22801,5,133428,high
3119672,0.27519,2,133428,high
3375979,0.23574,2,133428,high
3425334,0.02883,2,133428,low
3460415,0.02359,2,133428,low
3516557,0.03061,2,133428,low
3664010,0.00328,2,133428,low
3671050,4.2e-4,2,133428,low
3119672,0.27519,2,133429,high
3375979,0.23574,2,133429,high
3425334,0.02883,2,133429,low
3460415,0.02359,2,133429,low
3516557,0.03061,2,133429,low
3664010,0.00328,2,133429,low
3671050,4.2e-4,2,133429,low
3425334,0.02929,2,133430,low
3460415,0.02396,2,133430,low
3516557,0.0311,2,133430,low
3664010,0.00333,2,133430,low
3671050,4.3e-4,2,133430,low
3119672,0.27519,2,133431,high
3375979,0.23574,2,133431,high
3119672,0.27205,2,133432,high
3375979,0.23304,2,133432,high
2421179,0.22541,5,133433,high
3119672,0.27205,2,133433,high
3375979,0.23304,2,133433,high
3425334,0.0285,2,133433,low
3460415,0.02331,2,133433,low
3516557,0.03026,2,133433,low
3664010,0.00324,2,133433,low
3671050,4.1e-4,2,133433,low
3119672,0.27205,2,133434,high
3375979,0.23304,2,133434,high
2421179,0.22541,5,133438,high
3119672,0.27205,2,133438,high
3375979,0.23304,2,133438,high
3425334,0.0285,2,133438,low
3460415,0.02331,2,133438,low
3516557,0.03026,2,133438,low
3664010,0.00324,2,133438,low
3671050,4.1e-4,2,133438,low
2421179,0.22801,5,133440,high
3119672,0.27519,2,133440,high
3375979,0.23574,2,133440,high
3425334,0.02883,2,133440,low
3460415,0.02359,2,133440,low
3516557,0.03061,2,133440,low
3664010,0.00328,2,133440,low
3671050,4.2e-4,2,133440,low
2421179,0.22801,5,133442,high
3119672,0.27519,2,133442,high
3375979,0.23574,2,133442,high
3425334,0.02883,2,133442,low
3460415,0.02359,2,133442,low
3516557,0.03061,2,133442,low
3664010,0.00328,2,133442,low
3671050,4.2e-4,2,133442,low
3119672,0.27205,2,133443,high
3375979,0.23304,2,133443,high
3425334,0.0285,2,133443,low
3460415,0.02331,2,133443,low
3516557,0.03026,2,133443,low
3664010,0.00324,2,133443,low
3671050,4.1e-4,2,133443,low
2644637,0.21076,2,133446,high
2813296,0.12745,5,133446,high
3119672,0.27519,2,133447,high
3375979,0.23574,2,133447,high
2421179,0.23159,5,133448,high
3119672,0.27949,2,133448,high
3375979,0.23942999999999998,2,133448,high
3425334,0.02929,2,133448,low
3460415,0.02396,2,133448,low
3516557,0.0311,2,133448,low
3664010,0.00333,2,133448,low
3671050,4.3e-4,2,133448,low
2421179,0.22541,5,133450,high
3119672,0.27205,2,133450,high
3375979,0.23304,2,133450,high
3425334,0.0285,2,133450,low
3460415,0.02331,2,133450,low
3516557,0.03026,2,133450,low
3664010,0.00324,2,133450,low
3671050,4.1e-4,2,133450,low
2421179,0.22541,5,133451,high
3119672,0.27205,2,133451,high
3375979,0.23304,2,133451,high
3425334,0.0285,2,133451,low
3460415,0.02331,2,133451,low
3516557,0.03026,2,133451,low
3664010,0.00324,2,133451,low
3671050,4.1e-4,2,133451,low
2421179,0.22801,5,133458,high
3119672,0.27519,2,133458,high
3375979,0.23574,2,133458,high
3425334,0.02883,2,133458,low
3460415,0.02359,2,133458,low
3516557,0.03061,2,133458,low
3664010,0.00328,2,133458,low
3671050,4.2e-4,2,133458,low
2421179,0.23159,5,133459,high
