cell_id,impact,iucn_sid,stressor
2813296,0.12775,104050689,biomass_removal
2813296,8.6e-4,104050689,eutrophication_nutrient_pollution
2644637,0.0067,104050689,oa
2813296,0.0057,104050689,oa
2813296,4e-5,104050689,organic_pollution
2644637,0.04505,104050689,water_temp
2813296,0.0195,104050689,water_temp
2421179,0.19789,104061138,biomass_removal
3119672,0.0117,104061138,biomass_removal
3375979,0.02283,104061138,biomass_removal
3425334,0.01748,104061138,biomass_removal
3460415,0.0132,104061138,biomass_removal
3516557,3.5e-4,104061138,biomass_removal
3664010,0.00128,104061138,biomass_removal
3671050,3e-4,104061138,biomass_removal
2421179,0.00238,104061138,eutrophication_nutrient_pollution
2421179,0.01162,104061138,oa
3119672,0.01404,104061138,oa
3375979,0.01073,104061138,oa
3425334,0,104061138,oa
3460415,0,104061138,oa
3516557,0,104061138,oa
3664010,0,104061138,oa
3671050,0,104061138,oa
2421179,1e-4,104061138,organic_pollution
2421179,0.03382,104061138,water_temp
3119672,0.04255,104061138,water_temp
3375979,0.04045,104061138,water_temp
3425334,0.00898,104061138,water_temp
3460415,0.00734,104061138,water_temp
3516557,0.00953,104061138,water_temp
3664010,0.00102,104061138,water_temp
3671050,1.3e-4,104061138,water_temp
4703132,1e-5,104062546,biomass_removal
4703132,0.03159,104062546,oa
4703132,0.00211,104062546,water_temp
4703132,0.00214,104062546,wildlife_strike
900247,0.07597683016813954,10707,biomass_removal
1068766,0.06210952679466448,10707,biomass_removal
1096847,0.031913991120891,10707,biomass_removal
4703132,9.575264013641077e-6,10708,biomass_removal
2421179,0.00167,107259870,eutrophication_nutrient_pollution
2421179,0.08959,107259870,oa
3119672,0.10825,107259870,oa
3375979,0.08269,107259870,oa
3425334,0,107259870,oa
3460415,0,107259870,oa
3516557,0,107259870,oa
3664010,0,107259870,oa
3671050,0,107259870,oa
2421179,9e-5,107259870,organic_pollution
3119672,0.07526,107259870,uv
3375979,0,107259870,uv
3425334,0,107259870,uv
3460415,0,107259870,uv
3516557,0,107259870,uv
3664010,0,107259870,uv
3671050,0,107259870,uv
2421179,0.07607,107259870,water_temp
3119672,0.09572,107259870,water_temp
3375979,0.091,107259870,water_temp
3425334,0.02019,107259870,water_temp
3460415,0.01652,107259870,water_temp
3516557,0.02144,107259870,water_temp
3664010,0.0023,107259870,water_temp
3671050,2.9e-4,107259870,water_temp
3516557,0,107261083,oa
3664010,0,107261083,oa
3671050,0,107261083,oa
3516557,0,107261083,uv
3664010,0,107261083,uv
3671050,0,107261083,uv
3516557,0.02144,107261083,water_temp
3664010,0.0023,107261083,water_temp
3671050,2.9e-4,107261083,water_temp
3375979,0.08269,107261198,oa
3425334,0,107261198,oa
3460415,0,107261198,oa
3375979,0,107261198,uv
3425334,0,107261198,uv
3460415,0,107261198,uv
3375979,0.091,107261198,water_temp
3425334,0.02019,107261198,water_temp
3460415,0.01652,107261198,water_temp
900247,0.07923770282369459,11047,biomass_removal
1068766,0.06477522444388169,11047,biomass_removal
1096847,0.03328371740119824,11047,biomass_removal
1273512,0.10597774934824343,11047,biomass_removal
1729761,0.22481407914814486,11047,biomass_removal
2421179,0.37363158985991635,11047,biomass_removal
2644637,0.13855228349707663,11047,biomass_removal
2813296,0.24119957820742838,11047,biomass_removal
2875691,0.001004081490118062,11047,biomass_removal
3033504,3.8601867161494786e-4,11047,biomass_removal
3119672,0.022095657386376512,11047,biomass_removal
3375979,0.0431134852829306,11047,biomass_removal
3380525,8.588263510605691e-10,11047,biomass_removal
3415625,0.001119100341515858,11047,biomass_removal
3425334,0.03300777905369442,11047,biomass_removal
3460415,0.024919039406632936,11047,biomass_removal
3516557,6.620265721085018e-4,11047,biomass_removal
3664010,0.0024242903719731597,11047,biomass_removal
3671050,5.617747130167956e-4,11047,biomass_removal
4703132,9.986227678783506e-6,11047,biomass_removal
2421179,5.678770720619265e-4,11047,eutrophication_nutrient_pollution
2813296,2.0547351657723633e-4,11047,eutrophication_nutrient_pollution
2421179,9.526692289529108e-5,11047,organic_pollution
2813296,3.9464718394824226e-5,11047,organic_pollution
900247,0.010966750502700887,11047,water_temp
1068766,0.002719367918254998,11047,water_temp
1096847,0.00479207203542954,11047,water_temp
1273512,0.013331418405247451,11047,water_temp
1729761,0.008515217093963794,11047,water_temp
2421179,0.01189923449261854,11047,water_temp
2644637,0.015850512994566166,11047,water_temp
2813296,0.006862362546324461,11047,water_temp
2875691,0.005030951470480355,11047,water_temp
3033504,0.001136488298871533,11047,water_temp
3119672,0.014972208032170472,11047,water_temp
3375979,0.01423385320907577,11047,water_temp
3380525,0.00104238416545886,11047,water_temp
3415625,4.82585251967438e-5,11047,water_temp
3425334,0.003158520682242098,11047,water_temp
3460415,0.002584244143145489,11047,water_temp
3516557,0.003353967646986903,11047,water_temp
3664010,3.595260264133458e-4,11047,water_temp
3671050,4.584559937876482e-5,11047,water_temp
4703132,0.0015949442573105243,11047,water_temp
1729761,0.24246160071950093,11048,biomass_removal
2421179,0.40296103206735,11048,biomass_removal
2644637,0.14942840131425328,11048,biomass_removal
2813296,0.26013333349333573,11048,biomass_removal
2875691,0.001082900173642688,11048,biomass_removal
3033504,4.1632047860178675e-4,11048,biomass_removal
3119672,0.02383012878530709,11048,biomass_removal
3375979,0.04649782030514017,11048,biomass_removal
3380525,9.262427540448458e-10,11048,biomass_removal
