taxon,species,category,trait,trait_spp_gp,trait_value
fish,anguilla dieffenbachii,movement,planktonic_larval_duration_pld_exposure,acromycter perturbator;anguilla australis;apterichtus kendalli;ariosoma selenops;asarcenchelys longimanus;bathycongrus retrotinctus;bathycongrus vicinalis;bathyuroconger vicinus;brachysomophis longipinnis;callechelys bitaeniata;chlopsis kazuko;coloconger japonicus;conger verreauxi;congriscus maldivensis;derichthys serpentinus;enchelycore schismatorhynchus;ethadophis akkistikos;ethadophis merenda;facciolella karreri;gorgasia maculata;gymnothorax javanicus;heteroconger klausewitzi;heteroconger taylori;hoplunnis schmidti;kaupichthys brachychirus;monopenchelys acuta;moringua edwardsi;nessorhamphus danae;ophichthus altipennis;ophichthus melanoporus;rhinomuraena quaesita;saurenchelys fierasfer;saurenchelys meteori;serrivomer lanceolatoides;simenchelys parasitica;skythrenchelys zabra;synaphobranchus affinis;synaphobranchus kaupii;synaphobranchus oregoni;uropterygius fuscoguttatus;uropterygius wheeleri;venefica tentaculata;xenomystax trucidans;xestochilus nebulosus,>1yr;<4months
fish,anguilla dieffenbachii,physiological_tolerance_breadths,dissolved_oxygen,acromycter perturbator;anguilla australis;apterichtus kendalli;ariosoma selenops;asarcenchelys longimanus;bathycongrus retrotinctus;bathycongrus vicinalis;bathyuroconger vicinus;brachysomophis longipinnis;callechelys bitaeniata;chlopsis kazuko;coloconger japonicus;conger verreauxi;congriscus maldivensis;derichthys serpentinus;enchelycore schismatorhynchus;ethadophis akkistikos;ethadophis merenda;facciolella karreri;gorgasia maculata;gymnothorax javanicus;heteroconger klausewitzi;heteroconger taylori;hoplunnis schmidti;kaupichthys brachychirus;monopenchelys acuta;moringua edwardsi;nessorhamphus danae;ophichthus altipennis;ophichthus melanoporus;rhinomuraena quaesita;saurenchelys fierasfer;saurenchelys meteori;serrivomer lanceolatoides;simenchelys parasitica;skythrenchelys zabra;synaphobranchus affinis;synaphobranchus kaupii;synaphobranchus oregoni;uropterygius fuscoguttatus;uropterygius wheeleri;venefica tentaculata;xenomystax trucidans;xestochilus nebulosus,medium tolerance;high tolerance;unknown
fish,anguilla dieffenbachii,physiological_tolerance_breadths,ph,acromycter perturbator;anguilla australis;apterichtus kendalli;ariosoma selenops;asarcenchelys longimanus;bathycongrus retrotinctus;bathycongrus vicinalis;bathyuroconger vicinus;brachysomophis longipinnis;callechelys bitaeniata;chlopsis kazuko;coloconger japonicus;conger verreauxi;congriscus maldivensis;derichthys serpentinus;enchelycore schismatorhynchus;ethadophis akkistikos;ethadophis merenda;facciolella karreri;gorgasia maculata;gymnothorax javanicus;heteroconger klausewitzi;heteroconger taylori;hoplunnis schmidti;kaupichthys brachychirus;monopenchelys acuta;moringua edwardsi;nessorhamphus danae;ophichthus altipennis;ophichthus melanoporus;rhinomuraena quaesita;saurenchelys fierasfer;saurenchelys meteori;serrivomer lanceolatoides;simenchelys parasitica;skythrenchelys zabra;synaphobranchus affinis;synaphobranchus kaupii;synaphobranchus oregoni;uropterygius fuscoguttatus;uropterygius wheeleri;venefica tentaculata;xenomystax trucidans;xestochilus nebulosus,<7.4
fish,anguilla dieffenbachii,physiological_tolerance_breadths,salinity,acromycter perturbator;apterichtus kendalli;ariosoma selenops;asarcenchelys longimanus;bathycongrus retrotinctus;bathycongrus vicinalis;bathyuroconger vicinus;brachysomophis longipinnis;callechelys bitaeniata;chlopsis kazuko;coloconger japonicus;conger verreauxi;congriscus maldivensis;derichthys serpentinus;enchelycore schismatorhynchus;ethadophis akkistikos;ethadophis merenda;facciolella karreri;gorgasia maculata;gymnothorax javanicus;heteroconger klausewitzi;heteroconger taylori;hoplunnis schmidti;kaupichthys brachychirus;monopenchelys acuta;moringua edwardsi;nessorhamphus danae;ophichthus altipennis;ophichthus melanoporus;rhinomuraena quaesita;saurenchelys fierasfer;saurenchelys meteori;serrivomer lanceolatoides;simenchelys parasitica;skythrenchelys zabra;synaphobranchus affinis;synaphobranchus kaupii;synaphobranchus oregoni;uropterygius fuscoguttatus;uropterygius wheeleri;venefica tentaculata;xenomystax trucidans;xestochilus nebulosus,stenohaline
fish,anguilla dieffenbachii,physiological_tolerance_breadths,sensitivity_to_wave_energy_physical_forcing,acromycter perturbator;apterichtus kendalli;ariosoma selenops;asarcenchelys longimanus;bathycongrus retrotinctus;bathycongrus vicinalis;bathyuroconger vicinus;brachysomophis longipinnis;callechelys bitaeniata;chlopsis kazuko;coloconger japonicus;conger verreauxi;congriscus maldivensis;derichthys serpentinus;enchelycore schismatorhynchus;ethadophis akkistikos;ethadophis merenda;facciolella karreri;gorgasia maculata;gymnothorax javanicus;heteroconger klausewitzi;heteroconger taylori;hoplunnis schmidti;kaupichthys brachychirus;monopenchelys acuta;moringua edwardsi;nessorhamphus danae;ophichthus altipennis;ophichthus melanoporus;rhinomuraena quaesita;saurenchelys fierasfer;saurenchelys meteori;serrivomer lanceolatoides;simenchelys parasitica;skythrenchelys zabra;synaphobranchus affinis;synaphobranchus kaupii;synaphobranchus oregoni;uropterygius fuscoguttatus;uropterygius wheeleri;venefica tentaculata;xenomystax trucidans;xestochilus nebulosus,na;not sensitive
fish,anguilla dieffenbachii,physiological_tolerance_breadths,thermal_sensitivity_to_heat_spikes_heat_waves,acromycter perturbator;anguilla australis;apterichtus kendalli;ariosoma selenops;asarcenchelys longimanus;bathycongrus retrotinctus;bathycongrus vicinalis;bathyuroconger vicinus;brachysomophis longipinnis;callechelys bitaeniata;chlopsis kazuko;coloconger japonicus;conger verreauxi;congriscus maldivensis;derichthys serpentinus;enchelycore schismatorhynchus;ethadophis akkistikos;ethadophis merenda;facciolella karreri;gorgasia maculata;gymnothorax javanicus;heteroconger klausewitzi;heteroconger taylori;hoplunnis schmidti;kaupichthys brachychirus;monopenchelys acuta;moringua edwardsi;nessorhamphus danae;ophichthus altipennis;ophichthus melanoporus;rhinomuraena quaesita;saurenchelys fierasfer;saurenchelys meteori;serrivomer lanceolatoides;simenchelys parasitica;skythrenchelys zabra;synaphobranchus affinis;synaphobranchus kaupii;synaphobranchus oregoni;uropterygius fuscoguttatus;uropterygius wheeleri;venefica tentaculata;xenomystax trucidans;xestochilus nebulosus,unknown;no
fish,anguilla dieffenbachii,physiological_tolerance_breadths,thermal_sensitivity_to_ocean_warming_max_temps_tolerated,acromycter perturbator;anguilla australis;apterichtus kendalli;ariosoma selenops;asarcenchelys longimanus;bathycongrus retrotinctus;bathycongrus vicinalis;bathyuroconger vicinus;brachysomophis longipinnis;callechelys bitaeniata;chlopsis kazuko;coloconger japonicus;conger verreauxi;congriscus maldivensis;derichthys serpentinus;enchelycore schismatorhynchus;ethadophis akkistikos;ethadophis merenda;facciolella karreri;gorgasia maculata;gymnothorax javanicus;heteroconger klausewitzi;heteroconger taylori;hoplunnis schmidti;kaupichthys brachychirus;monopenchelys acuta;moringua edwardsi;nessorhamphus danae;ophichthus altipennis;ophichthus melanoporus;rhinomuraena quaesita;saurenchelys fierasfer;saurenchelys meteori;serrivomer lanceolatoides;simenchelys parasitica;skythrenchelys zabra;synaphobranchus affinis;synaphobranchus kaupii;synaphobranchus oregoni;uropterygius fuscoguttatus;uropterygius wheeleri;venefica tentaculata;xenomystax trucidans;xestochilus nebulosus,15c;30c;25c;20c;10c
fish,anguilla dieffenbachii,physiological_tolerance_breadths,thermal_tolerance_range,anguilla australis;apterichtus kendalli;ariosoma selenops;bathycongrus retrotinctus;bathycongrus vicinalis;bathyuroconger vicinus;chlopsis kazuko;conger verreauxi;congriscus maldivensis;derichthys serpentinus;enchelycore schismatorhynchus;ethadophis akkistikos;facciolella karreri;gorgasia maculata;gymnothorax javanicus;heteroconger klausewitzi;heteroconger taylori;hoplunnis schmidti;kaupichthys brachychirus;monopenchelys acuta;moringua edwardsi;ophichthus altipennis;rhinomuraena quaesita;saurenchelys fierasfer;serrivomer lanceolatoides;simenchelys parasitica;skythrenchelys zabra;synaphobranchus affinis;synaphobranchus kaupii;synaphobranchus oregoni;uropterygius fuscoguttatus;venefica tentaculata;xenomystax trucidans;xestochilus nebulosus,7.5-10c;2.5-5c;>15c;10-15c;5-7.5c;0-2.5c
fish,anguilla dieffenbachii,r_reproductive_traits,age_to_1st_reproduction_generation_time,acromycter perturbator;anguilla australis;apterichtus kendalli;ariosoma selenops;asarcenchelys longimanus;bathycongrus retrotinctus;bathycongrus vicinalis;bathyuroconger vicinus;brachysomophis longipinnis;callechelys bitaeniata;chlopsis kazuko;conger verreauxi;congriscus maldivensis;derichthys serpentinus;enchelycore schismatorhynchus;ethadophis akkistikos;ethadophis merenda;facciolella karreri;gorgasia maculata;gymnothorax javanicus;heteroconger klausewitzi;heteroconger taylori;hoplunnis schmidti;kaupichthys brachychirus;monopenchelys acuta;moringua edwardsi;nessorhamphus danae;ophichthus altipennis;ophichthus melanoporus;rhinomuraena quaesita;saurenchelys fierasfer;saurenchelys meteori;serrivomer lanceolatoides;simenchelys parasitica;skythrenchelys zabra;synaphobranchus affinis;synaphobranchus kaupii;synaphobranchus oregoni;uropterygius fuscoguttatus;uropterygius wheeleri;venefica tentaculata;xenomystax trucidans;xestochilus nebulosus,<1yr;10-20yrs;1-5yrs
fish,anguilla dieffenbachii,r_reproductive_traits,are_there_sub_populations,acromycter perturbator;anguilla australis;apterichtus kendalli;ariosoma selenops;asarcenchelys longimanus;bathycongrus retrotinctus;bathycongrus vicinalis;bathyuroconger vicinus;brachysomophis longipinnis;callechelys bitaeniata;chlopsis kazuko;coloconger japonicus;conger verreauxi;congriscus maldivensis;derichthys serpentinus;enchelycore schismatorhynchus;ethadophis akkistikos;ethadophis merenda;facciolella karreri;gorgasia maculata;gymnothorax javanicus;heteroconger klausewitzi;heteroconger taylori;hoplunnis schmidti;kaupichthys brachychirus;monopenchelys acuta;moringua edwardsi;nessorhamphus danae;ophichthus altipennis;ophichthus melanoporus;rhinomuraena quaesita;saurenchelys fierasfer;saurenchelys meteori;serrivomer lanceolatoides;simenchelys parasitica;skythrenchelys zabra;synaphobranchus affinis;synaphobranchus kaupii;synaphobranchus oregoni;uropterygius fuscoguttatus;uropterygius wheeleri;venefica tentaculata;xenomystax trucidans;xestochilus nebulosus,unknown;yes
fish,anguilla dieffenbachii,r_reproductive_traits,can_the_sex_ratio_be_altered_by_temperature,acromycter perturbator;anguilla australis;apterichtus kendalli;ariosoma selenops;asarcenchelys longimanus;bathycongrus retrotinctus;bathycongrus vicinalis;bathyuroconger vicinus;brachysomophis longipinnis;callechelys bitaeniata;chlopsis kazuko;coloconger japonicus;conger verreauxi;congriscus maldivensis;derichthys serpentinus;enchelycore schismatorhynchus;ethadophis akkistikos;ethadophis merenda;facciolella karreri;gorgasia maculata;gymnothorax javanicus;heteroconger klausewitzi;heteroconger taylori;hoplunnis schmidti;kaupichthys brachychirus;monopenchelys acuta;moringua edwardsi;nessorhamphus danae;ophichthus altipennis;ophichthus melanoporus;rhinomuraena quaesita;saurenchelys fierasfer;saurenchelys meteori;serrivomer lanceolatoides;simenchelys parasitica;skythrenchelys zabra;synaphobranchus affinis;synaphobranchus kaupii;synaphobranchus oregoni;uropterygius fuscoguttatus;uropterygius wheeleri;venefica tentaculata;xenomystax trucidans;xestochilus nebulosus,no;unknown
fish,anguilla dieffenbachii,r_reproductive_traits,fecundity,acromycter perturbator;anguilla australis;apterichtus kendalli;ariosoma selenops;asarcenchelys longimanus;bathycongrus retrotinctus;bathycongrus vicinalis;bathyuroconger vicinus;brachysomophis longipinnis;callechelys bitaeniata;chlopsis kazuko;coloconger japonicus;conger verreauxi;congriscus maldivensis;derichthys serpentinus;enchelycore schismatorhynchus;ethadophis akkistikos;ethadophis merenda;facciolella karreri;gorgasia maculata;gymnothorax javanicus;heteroconger klausewitzi;heteroconger taylori;hoplunnis schmidti;kaupichthys brachychirus;monopenchelys acuta;moringua edwardsi;nessorhamphus danae;ophichthus altipennis;ophichthus melanoporus;rhinomuraena quaesita;saurenchelys fierasfer;saurenchelys meteori;serrivomer lanceolatoides;simenchelys parasitica;skythrenchelys zabra;synaphobranchus affinis;synaphobranchus kaupii;synaphobranchus oregoni;uropterygius fuscoguttatus;uropterygius wheeleri;venefica tentaculata;xenomystax trucidans;xestochilus nebulosus,>10000;1000-10000
