chi_tot,chi_cst,range_tot_km2,range_cst_km2,species,chi_tot_rel,chi_cst_rel
55980.80303304403,55980.80303304403,235673.26,235673.26,acanthemblemaria hastingsi,0.23753565861924272,0.23753565861924272
59138.826799294824,59138.826799294824,240895.1,240895.1,acanthemblemaria macrospilus,0.2454961798695566,0.2454961798695566
103228.86995564419,103228.86995564419,426897.34,426897.34,acanthemblemaria maria,0.24181193060524617,0.24181193060524617
180300.59756723166,180300.59756723166,744920.94,744920.94,acanthemblemaria spinosa,0.24203991039268097,0.24203991039268097
0,0,59353050.120000005,5928961.22,acanthephyra acutifrons,0,0
0,0,35493242.58,8136177.78,acanthephyra armata,0,0
0,0,69348408.63,1712895.31,acanthephyra brevirostris,0,0
0,0,14266838.28,5250378.22,acanthephyra carinata,0,0
0,0,24909726.49,5855023.49,acanthephyra cucullata,0,0
0,0,201666317.38,11915840.44,acanthephyra curtirostris,0,0
0,0,178605457.22,23598833.75,acanthephyra eximia,0,0
0,0,127056809.84,8077158.39,acanthephyra pelagica,0,0
0,0,14008658.59,3291680.89,acanthephyra purpurea,0,0
0,0,18731589.73,6685766.26,acanthephyra quadrispinosa,0,0
0,0,752986.07,349360.22,acanthephyra sica,0,0
0,0,81658702.46000001,6707058.97,acanthephyra smithi,0,0
0,0,148031602.31,2612747.1,acanthephyra stylorostratis,0,0
0,0,3160631.58,2959746.92,acanthilia intermedia,0,0
26279.001411923095,26279.001411923095,74475.95,74475.95,acanthina monodon,0.35285218130044793,0.35285218130044793
260633.053350214,260633.053350214,1128083.94,1128083.94,acanthistius brasilianus,0.23104047855713114,0.23104047855713114
23705.335117231054,23705.335117231054,89159.32,89159.32,acanthistius ocellatus,0.26587613181920916,0.26587613181920916
29120.243531975313,29120.243531975313,174041.63,174041.63,acanthistius sebastoides,0.1673176902099533,0.1673176902099533
79800.72380642193,79800.72380642193,330538.67,330538.67,acanthistius serratus,0.24142628699517044,0.24142628699517044
762725.3393493096,762725.3393493096,1589532.8,1589532.8,acanthocardia aculeata,0.4798424665092218,0.4798424665092218
433888.6212267754,400341.887854579,975994.68,886255.22,acanthocardia deshayesii,0.44456043677079815,0.45172302381990936
1810666.5645324863,1515194.0073148215,4226952.33,3425655.29,acanthocardia echinata,0.4283621917573142,0.4423077861155205
578626.4745502791,578626.4745502791,1222314.76,1222314.76,acanthocardia paucicostata,0.4733858196642239,0.4733858196642239
495955.622915772,495955.622915772,1076336.14,1076336.14,acanthocardia spinosa,0.46078135304067,0.46078135304067
951894.2386106295,951894.2386106295,2137171.04,2137171.04,acanthocardia tuberculata,0.44539918462053907,0.44539918462053907
0,0,4765757.8,3587925.05,acanthocarpus alexandri,0,0
1689361.6489084642,1689361.6489084642,7092983.94,7092983.94,acanthocepola abbreviata,0.238173618211867,0.238173618211867
327984.26751175534,327984.26751175534,931082.78,931082.78,acanthocepola krusensternii,0.3522611249579284,0.3522611249579284
915738.0991214331,915738.0991214331,3925375.37,3925375.37,acanthocepola limbata,0.23328675930460965,0.23328675930460965
371268.7364898961,371268.7364898961,2872374.63,2872374.63,acanthochaetetes wellsi,0.12925498387718878,0.12925498387718878
925582.893991972,925582.893991972,5175212.51,5175212.51,acanthochromis polyacanthus,0.17884925347577119,0.17884925347577119
24991.15824121398,24991.15824121398,79407.41,79407.41,acanthoclinus fuscus,0.31472073250108495,0.31472073250108495
66246886.59199114,8634560.106249932,261901159.53999996,25307137.71,acanthocybium solandri,0.2529461370401963,0.34119070300226106
0,0,378236.87,378236.87,acanthocyclus albatrossis,0,0
2663949.5651113386,2663949.5651113386,7968893.59,7968893.59,acanthodoris pilosa,0.3342935295878808,0.3342935295878808
135945.0641046341,135945.0641046341,414545.36,414545.36,acanthogobius flavimanus,0.32793772943118726,0.32793772943118726
1091463.136457515,888278.2691898157,3100787.11,2489024.53,acanthogorgia aspera,0.35199550879760816,0.3568780694940824
1091859.2534787266,1091859.2534787266,3093989.95,3093989.95,acanthohaustorius intermedius,0.3528968326088863,0.3528968326088863
74912.11665488745,74912.11665488745,229172.47,229172.47,acanthohaustorius millsi,0.32688095849770893,0.32688095849770893
501866.622263811,501866.622263811,1791331.66,1791331.66,acanthohaustorius pansus,0.28016398831683187,0.28016398831683187
1635200.7074712357,1635200.7074712357,5391598.4,5391598.4,acanthohaustorius shoemakeri,0.3032868151810483,0.3032868151810483
611610.6754021951,611610.6754021951,2308451.81,2308451.81,acanthohaustorius uncinus,0.26494409489197657,0.26494409489197657
1088842.968364416,953162.5488194274,2415407.31,2037236.29,acantholabrus palloni,0.45079062394839564,0.46787039554426324
0,0,1613316.13,1613316.13,acantholithodes hispidus,0,0
0,0,2354117.19,2354117.19,acantholobulus bermudensis,0,0
0,0,2937434.64,2937434.64,acantholobulus caribbaeus,0,0
1053647.0450683124,1053647.0450683124,2836394.62,2836394.62,acantholumpenus mackayi,0.3714740669858951,0.3714740669858951
936449.5048884586,936449.5048884586,2452474.2,2452474.2,acanthomysis longicornis,0.3818386774011562,0.3818386774011562
558771.8346743389,302052.8520594192,3197413.6,1704238.14,acanthonotozomoides oatesi,0.17475744604149396,0.17723629401899152
11818612.02699591,663675.0550396118,70804427.09,3700923.46,acanthonus armatus,0.1669191110320431,0.17932687941609357
