orig_sciname,valid_name,aphia_id
gammarus bousfieldi,gammarus bousfieldi,490172
gammarus desperatus,gammarus desperatus,490198
gammarus finmarchicus,echinogammarus finmarchicus,490103
gammarus hyalelloides,gammarus hyalelloides,490222
gammarus pecos,gammarus pecos,490292
garra barreimiae,garra barreimiae,1013974
garra dunsirei,garra dunsirei,1011683
garra ghorensis,garra ghorensis,1524184
garra kemali,garra kemali,1525643
garra longipinnis,garra longipinnis,1012671
garra mullya,garra mullya,1026398
garra phillipsi,garra phillipsi,1460159
garra rufa,garra rufa,1312572
garra typhlops,garra typhlops,1014566
garra widdowsoni,garra widdowsoni,1014056
garthambrus mironovi,hispidolambrus mironovi,442286
gasterosteus crenobiontus,gasterosteus crenobiontus,1013999
gasterosteus islandicus,gasterosteus islandicus,301142
gasterosteus microcephalus,gasterosteus microcephalus,1021572
gastroptychus cavimurus,sternostylus cavimurus,1310471
gastroptychus defensus,sternostylus defensus,1310473
gastroptychus formosus,sternostylus formosus,1310474
gastroptychus hawaiiensis,sternostylus hawaiiensis,1310475
gastroptychus hendersoni,sternostylus hendersoni,1310476
gastroptychus iaspis,sternostylus iaspis,1310477
gastroptychus investigatoris,sternostylus investigatoris,1310478
gastroptychus meridionalis,sternostylus meridionalis,1310479
gastroptychus milneedwardsi,sternostylus milneedwardsi,1310481
gastroptychus perarmatus,sternostylus perarmatus,1310482
gastroptychus rogeri,sternostylus rogeri,1310483
gastroptychus salvadori,sternostylus salvadori,1310484
gastrosaccus formosensis,iiella formosensis,226464
gastrosaccus hibii,iiella hibii,226507
gastrosaccus pelagicus,iiella pelagica,226820
gelastocaris paronae,gelastocaris paronai,1509502
gennadas pectinatus,benthesicymus laciniatus,107090
geophagus argyrostictus,geophagus argyrostictus,1011259
geophagus brachybranchus,geophagus brachybranchus,1011520
geophagus pellegrini,geophagus pellegrini,1017544
geophagus proximus,geophagus proximus,1021549
geophagus steindachneri,geophagus steindachneri,1014603
geophagus surinamensis,geophagus surinamensis,935001
geophagus taeniopareius,geophagus taeniopareius,1011144
gitanopsis longus,no match,NA
glabropilumnus laevimanus,glabropilumnus levimanus,217284
glossobius arimae,ceratothoa arimae,874095
glossogobius bulmeri,glossogobius bulmeri,1013836
glossogobius coatesi,glossogobius coatesi,1011417
glossogobius concavifrons,glossogobius concavifrons,991219
glossogobius flavipinnis,glossogobius flavipinnis,1525276
glossogobius hoesei,glossogobius hoesei,1012224
glossogobius intermedius,glossogobius intermedius,1014981
glossogobius koragensis,glossogobius koragensis,1015263
glossogobius matanensis,glossogobius matanensis,1017385
glossogobius torrentis,glossogobius torrentis,1008388
glyphocrangon demani,glyphocrangon rudis,515714
gnathia antarctica,NA,NA
gnathia arctica,caecognathia arctica,856684
gnathia barnardi,gnathia pantherina,257202
gnathia cerina,caecognathia cerina,856685
gnathia cryptopais,caecognathia cryptopais,856686
gnathia elongata,caecognathia elongata,118982
gnathia hirayamai,NA,NA
gnathia stygia,caecognathia stygia,118986
gnorimosphaeroma chinense,gnorimosphaeroma chinense,260454
gnorimosphaeroma hoestandtli,gnorimosphaeroma hoestlandti,260456
glaucostegus spinosus,no match,NA
gnathia australis,no match,NA
gnathia nigrograndilaris,no match,NA
gnorimosphaeroma insulare,gnorimosphaeroma insulare,260458
gnorimosphaeroma oregonensis,gnorimosphaeroma oregonense,1264222
gobio hettitorum,gobio hettitorum,1013770
gobio soldatovi,gobio soldatovi,1016070
gobiomorphus basalis,gobiomorphus basalis,1022193
gomophia gomophia,nardoa gomophia,368969
gomophia mamillifera,nardoa mamillifera,368971
goneplax renoculis,neogoneplax renoculis,440973
goniastrea aspera,coelastrea aspera,762427
goniastrea australensis,paragoniastrea australensis,817177
goniastrea palauensis,coelastrea palauensis,762428
goniopora minor,goniopora pedunculata,759975
guernea coalita,guernea (guernea) coalita,102137
guernea longidactyla,guernea (prinassus) longidactyla,489503
guernea mackiei,guernea (prinassus) mackiei,489504
guernea nordenskioldi,guernea (prinassus) nordenskioldi,158095
guernea reduncans,guernea (prinassus) reduncans,489512
gulaphallus bikolanus,gulaphallus bikolanus,1525543
gulaphallus eximius,gulaphallus eximius,1016321
gulaphallus falcifer,gulaphallus falcifer,1015128
gulaphallus mirabilis,gulaphallus mirabilis,1016320
gygis microrhyncha,gygis alba microrhyncha,567428
gymnocephalus acerina,gymnocephalus acerina,723433
gymnocephalus baloni,gymnocephalus baloni,1012846
goniosupradens paucidentata,no match,NA
gymnocephalus schraetser,gymnocephalus schraetser,367606
gymnogobius isaza,gymnogobius isaza,1375214
gynandrocarpa solitaris,dextrocarpa solitaris,215981
