spec_code,species,db,length_max,in_spp_table,table
5269,citharinus citharus,fb,37.79999923706055,TRUE,popchar
8827,citharoides macrolepidotus,fb,19.649999618530273,TRUE,popchar
4943,citharus linguatula,fb,30,TRUE,popchar
52282,claea dabryi,fb,10.399999618530273,TRUE,popchar
2098,clarias agboyiensis,fb,29,TRUE,popchar
3054,clarias batrachus,fb,17.5,TRUE,popchar
3054,clarias batrachus,fb,30,TRUE,popchar
3054,clarias batrachus,fb,40,TRUE,popchar
24958,clarias dayi,fb,17.5,TRUE,popchar
13396,clarias dussumieri,fb,50,TRUE,popchar
293,clarias fuscus,fb,22.100000381469727,TRUE,popchar
1934,clarias gariepinus,fb,82,TRUE,popchar
1934,clarias gariepinus,fb,104,TRUE,popchar
1934,clarias gariepinus,fb,109,TRUE,popchar
1934,clarias gariepinus,fb,150,TRUE,popchar
1934,clarias gariepinus,fb,102,TRUE,popchar
1934,clarias gariepinus,fb,88.5,TRUE,popchar
1934,clarias gariepinus,fb,107,TRUE,popchar
1934,clarias gariepinus,fb,115,TRUE,popchar
1934,clarias gariepinus,fb,52,TRUE,popchar
2313,clarias liocephalus,fb,35,TRUE,popchar
23377,clarias teijsmanni,fb,20,TRUE,popchar
8560,cleisthenes herzensteini,fb,23.5,TRUE,popchar
8560,cleisthenes herzensteini,fb,46,TRUE,popchar
8560,cleisthenes herzensteini,fb,41,TRUE,popchar
8838,clidoderma asperrimum,fb,36.400001525878906,TRUE,popchar
8838,clidoderma asperrimum,fb,62,TRUE,popchar
4059,clinocottus globiceps,fb,12,TRUE,popchar
1608,clupanodon thrissa,fb,14.399999618530273,TRUE,popchar
24,clupea harengus,fb,32,TRUE,popchar
24,clupea harengus,fb,25.600000381469727,TRUE,popchar
24,clupea harengus,fb,51,TRUE,popchar
24,clupea harengus,fb,34,TRUE,popchar
1520,clupea pallasii pallasii,fb,45,TRUE,popchar
1520,clupea pallasii pallasii,fb,29.5,TRUE,popchar
1520,clupea pallasii pallasii,fb,33.599998474121094,TRUE,popchar
1520,clupea pallasii pallasii,fb,19.600000381469727,TRUE,popchar
1520,clupea pallasii pallasii,fb,39,TRUE,popchar
1520,clupea pallasii pallasii,fb,30,TRUE,popchar
1520,clupea pallasii pallasii,fb,33.5,TRUE,popchar
1520,clupea pallasii pallasii,fb,35,TRUE,popchar
1469,clupeonella abrau,fb,8,TRUE,popchar
1470,clupeonella cultriventris,fb,14,TRUE,popchar
1470,clupeonella cultriventris,fb,12,TRUE,popchar
1470,clupeonella cultriventris,fb,8,TRUE,popchar
1471,clupeonella engrauliformis,fb,14,TRUE,popchar
1471,clupeonella engrauliformis,fb,17,TRUE,popchar
1472,clupeonella grimmi,fb,15.199999809265137,TRUE,popchar
1472,clupeonella grimmi,fb,14.199999809265137,TRUE,popchar
1472,clupeonella grimmi,fb,13.199999809265137,TRUE,popchar
1472,clupeonella grimmi,fb,15,TRUE,popchar
10148,clupisoma garua,fb,60.900001525878906,TRUE,popchar
24756,clupisoma prateri,fb,25,TRUE,popchar
11309,clypeobarbus bellcrossi,fb,8.899999618530273,TRUE,popchar
4753,cnesterodon decemmaculatus,fb,4.099999904632568,TRUE,popchar
12092,cnidoglanis macrocephalus,fb,76,TRUE,popchar
52517,cobitis arachthosensis,fb,8,TRUE,popchar
49105,cobitis bilineata,fb,10,TRUE,popchar
49105,cobitis bilineata,fb,6.5,TRUE,popchar
49105,cobitis bilineata,fb,7.5,TRUE,popchar
49105,cobitis bilineata,fb,6,TRUE,popchar
9957,cobitis calderoni,fb,10,TRUE,popchar
9957,cobitis calderoni,fb,6.5,TRUE,popchar
9957,cobitis calderoni,fb,4.800000190734863,TRUE,popchar
9957,cobitis calderoni,fb,6.800000190734863,TRUE,popchar
65310,cobitis dalmatina,fb,6,TRUE,popchar
65310,cobitis dalmatina,fb,5,TRUE,popchar
26618,cobitis elongata,fb,16,TRUE,popchar
26618,cobitis elongata,fb,9,TRUE,popchar
58790,cobitis elongatoides,fb,7.5,TRUE,popchar
58790,cobitis elongatoides,fb,13,TRUE,popchar
46521,cobitis hellenica,fb,9,TRUE,popchar
