orig_sciname,valid_name,aphia_id
emmelichthys nitidus nitidus,emmelichthys nitidus nitidus,293589
endeis laevis,endeis spinosa,134674
enhydrina schistosa,hydrophis schistosus,1377440
enteromius ablabes,enteromius ablabes,1420090
enteromius afrohamiltoni,enteromius afrohamiltoni,1423446
enteromius afrovernayi,enteromius afrovernayi,1525517
enteromius apleurogramma,enteromius pleurogramma,1470215
enteromius argenteus,enteromius argenteus,1421104
enteromius barnardi,enteromius barnardi,1524565
enteromius bifrenatus,enteromius bifrenatus,1525400
enteromius brevipinnis,enteromius brevipinnis,1524559
enteromius cercops,enteromius cercops,1524785
enteromius eutaenia,enteromius eutaenia,1470714
enteromius fasciolatus,enteromius fasciolatus,1421200
enteromius gurneyi,enteromius gurneyi,1421106
enteromius holotaenia,enteromius holotaenia,1470717
enteromius innocens,enteromius innocens,1468411
enteromius kerstenii,enteromius kerstenii,1421101
apionsoma trichocephalus,apionsoma (apionsoma) trichocephalus,266495
apistogramma amoena,apistogramma amoena,1020492
apistogramma borellii,apistogramma borellii,1014998
apistogramma gossei,apistogramma gossei,1383790
aplocheilus werneri,aplocheilus werneri,1013419
arctocephalus forsteri,arctocephalus australis forsteri,477318
arctocephalus townsendi,arctocephalus philippii townsendi,477319
argobuccinum ranelliforme,argobuccinum pustulosum,225658
aricidea longobranchiata,aricidea longobranchiata,146504
aricidea minuta,aricidea (aricidea) minuta,730747
ariomma melanum,ariomma melana,403239
ariopsis seemanni,ariopsis seemanni,293653
arripis georgiana,arripis georgianus,279692
artemia franciscana,artemia franciscana,717572
astroscopus y-graecum,astroscopus ygraecum,159252
atherinella hubbsi,atherinella hubbsi,1012510
atherinella sardina,atherinella sardina,1018301
atys debilis,aliculastrum debile,761489
australoheros facetus,australoheros facetus,1020668
awaous acritosus,awaous acritosus,1010924
bagarius suchus,bagarius suchus,1012152
bagarius yarrelli,bagarius yarrelli,1018581
balitora annamitica,balitora annamitica,1011773
balitora burmanica,balitora burmanica,1525438
balitora meridionalis,balitora meridionalis,1011774
enteromius liberiensis,enteromius liberiensis,1467898
enteromius litamba,enteromius litamba,1526060
enteromius macrops,enteromius macrops,1389454
enteromius mattozi,enteromius mattozi,1042349
enteromius neumayeri,enteromius neumayeri,1165239
enteromius paludinosus,enteromius paludinosus,1214761
enteromius parablabes,enteromius parablabes,1524887
enteromius poechii,enteromius poechii,1526008
enteromius profundus,enteromius profundus,1524470
enteromius radiatus,enteromius radiatus,1419118
enteromius sublineatus,enteromius sublineatus,1524910
enteromius sylvaticus,enteromius sylvaticus,1524440
enteromius thamalakanensis,enteromius thamalakanensis,1525398
enteromius toppini,enteromius toppini,1525781
enteromius treurensis,enteromius treurensis,1524871
enteromius trimaculatus,enteromius trimaculatus,1416216
enteromius unitaeniatus,enteromius unitaeniatus,1423448
enteromius viviparus,enteromius viviparus,1468429
enteromius yongei,enteromius yongei,1524788
entosphenus similis,entosphenus similis,1012492
epimeria similis,epimeria (drakepimeria) similis,1053394
ercolania boodleae,ercolania boodleae,494662
esomus longimanus,esomus longimanus,1015088
esomus thermoicos,esomus thermoicos,1022213
eucalanus subcrassus,subeucalanus subcrassus,104548
