spec_code,species,db,length_max,in_spp_table,table
83941,hydrophis elegans,slb,141,TRUE,poplw
106377,hydrophis macdowelli,slb,82,TRUE,poplw
106377,hydrophis macdowelli,slb,91.2,TRUE,poplw
83954,hydrophis ornatus,slb,127.6,TRUE,poplw
83954,hydrophis ornatus,slb,199.10001,TRUE,poplw
83954,hydrophis ornatus,slb,94,TRUE,poplw
83954,hydrophis ornatus,slb,124,TRUE,poplw
83954,hydrophis ornatus,slb,157.39999,TRUE,poplw
83954,hydrophis ornatus,slb,163,TRUE,poplw
83954,hydrophis ornatus,slb,125,TRUE,poplw
83954,hydrophis ornatus,slb,120,TRUE,poplw
83954,hydrophis ornatus,slb,126,TRUE,poplw
83955,hydrophis pacificus,slb,165,TRUE,poplw
83955,hydrophis pacificus,slb,185,TRUE,poplw
83955,hydrophis pacificus,slb,156,TRUE,poplw
15059,ibacus alticrenatus,slb,5.7,TRUE,poplw
15059,ibacus alticrenatus,slb,5.65,TRUE,poplw
15061,ibacus brucei,slb,6.57,TRUE,poplw
15061,ibacus brucei,slb,7.44,TRUE,poplw
2381278,ibacus chacei,slb,7.29,TRUE,poplw
2381278,ibacus chacei,slb,8.1,TRUE,poplw
15063,ibacus novemdentatus,slb,7.17,TRUE,poplw
15063,ibacus novemdentatus,slb,16.4,TRUE,poplw
15063,ibacus novemdentatus,slb,8.21,TRUE,poplw
15063,ibacus novemdentatus,slb,18.5,TRUE,poplw
57854,idiosepius pygmaeus,slb,1.517,TRUE,poplw
57854,idiosepius pygmaeus,slb,1.817,TRUE,poplw
58130,illex coindetii,slb,19.6,TRUE,poplw
58130,illex coindetii,slb,25,TRUE,poplw
58129,illex illecebrosus,slb,21.1,TRUE,poplw
58129,illex illecebrosus,slb,25,TRUE,poplw
58129,illex illecebrosus,slb,45,TRUE,poplw
58129,illex illecebrosus,slb,34.3,TRUE,poplw
58129,illex illecebrosus,slb,31.6,TRUE,poplw
58129,illex illecebrosus,slb,28.5,TRUE,poplw
58129,illex illecebrosus,slb,26.5,TRUE,poplw
58129,illex illecebrosus,slb,30.3,TRUE,poplw
58129,illex illecebrosus,slb,26.6,TRUE,poplw
58129,illex illecebrosus,slb,24.1,TRUE,poplw
58129,illex illecebrosus,slb,29,TRUE,poplw
58129,illex illecebrosus,slb,26.9,TRUE,poplw
58129,illex illecebrosus,slb,25.4,TRUE,poplw
58129,illex illecebrosus,slb,31.1,TRUE,poplw
58129,illex illecebrosus,slb,30.1,TRUE,poplw
5522,ilyanassa obsoleta,slb,2.9,TRUE,poplw
27051,inachus dorsettensis,slb,2.5,FALSE,poplw
27053,inachus leptochirus,slb,1.973,FALSE,poplw
22810,iphimedia obesa,slb,0.912,FALSE,poplw
49462,isostichopus fuscus,slb,40,FALSE,poplw
23668,janira maculosa,slb,0.65,FALSE,poplw
38690,laetmonice filicornis,slb,4.23,FALSE,poplw
48258,laevicardium crassum,slb,6.339,TRUE,poplw
83966,lapemis curtus,slb,87,TRUE,poplw
83966,lapemis curtus,slb,88,TRUE,poplw
83966,lapemis curtus,slb,125.6,TRUE,poplw
83966,lapemis curtus,slb,120.1,TRUE,poplw
83966,lapemis curtus,slb,118,TRUE,poplw
83966,lapemis curtus,slb,103,TRUE,poplw
83966,lapemis curtus,slb,1094,TRUE,poplw
83966,lapemis curtus,slb,123,TRUE,poplw
83966,lapemis curtus,slb,113,TRUE,poplw
67099,laticauda colubrina,slb,1325,TRUE,poplw
67099,laticauda colubrina,slb,92.8,TRUE,poplw
67099,laticauda colubrina,slb,145,TRUE,poplw
67099,laticauda colubrina,slb,89.3,TRUE,poplw
106376,laticauda frontalis,slb,78.3,TRUE,poplw
106376,laticauda frontalis,slb,65.4,TRUE,poplw
106375,laticauda saintgironsi,slb,109,TRUE,poplw
106375,laticauda saintgironsi,slb,81.7,TRUE,poplw
67114,lepidochelys kempii,slb,65,TRUE,poplw
67114,lepidochelys kempii,slb,67,TRUE,poplw
67020,lepidochelys olivacea,slb,75.2,TRUE,poplw
67020,lepidochelys olivacea,slb,74,TRUE,poplw
38490,lepidonotus squamatus,slb,0.754,FALSE,poplw
49527,leptasterias muelleri,slb,9.7,FALSE,poplw
58230,leptochiton asellus,slb,0.992,TRUE,poplw
58236,leptochiton scabridus,slb,0.845,FALSE,poplw
155810,ligur ensiferus,slb,2.63,FALSE,poplw
155810,ligur ensiferus,slb,2.239,FALSE,poplw
7271,limacina helicina,slb,0.4,TRUE,poplw
15018,linuparus somniosus,slb,13.34,TRUE,poplw
15018,linuparus somniosus,slb,34.5,TRUE,poplw
15018,linuparus somniosus,slb,11.83,TRUE,poplw
15018,linuparus somniosus,slb,28.5,TRUE,poplw
83758,liocarcinus depurator,slb,5.2,TRUE,poplw
83758,liocarcinus depurator,slb,4.22,TRUE,poplw
83758,liocarcinus depurator,slb,3.95,TRUE,poplw
83758,liocarcinus depurator,slb,3.6,TRUE,poplw
26404,liocarcinus marmoreus,slb,3,FALSE,poplw
90252,liocarcinus navigator,slb,2.22,FALSE,poplw
90252,liocarcinus navigator,slb,2.15,FALSE,poplw
90253,liocarcinus pusillus,slb,2.1,FALSE,poplw
89768,liocarcinus vernalis,slb,12.9,FALSE,poplw
57479,loligo forbesii,slb,68.5,TRUE,poplw
57479,loligo forbesii,slb,38,TRUE,poplw
57479,loligo forbesii,slb,29.4,TRUE,poplw
21045,lithodes aequispinus,slb,16,TRUE,poplw
14913,litopenaeus occidentalis,slb,10.9,TRUE,poplw
14914,litopenaeus schmitti,slb,3.516,TRUE,poplw
14914,litopenaeus schmitti,slb,5.25,TRUE,poplw
14915,litopenaeus setiferus,slb,10.8,TRUE,poplw
14915,litopenaeus setiferus,slb,5.8,TRUE,poplw
14915,litopenaeus setiferus,slb,10.3,TRUE,poplw
14915,litopenaeus setiferus,slb,10,TRUE,poplw
14915,litopenaeus setiferus,slb,10.1,TRUE,poplw
14915,litopenaeus setiferus,slb,10.4,TRUE,poplw
14915,litopenaeus setiferus,slb,19.9,TRUE,poplw
14916,litopenaeus stylirostris,slb,7.5,TRUE,poplw
14916,litopenaeus stylirostris,slb,9.4,TRUE,poplw
14916,litopenaeus stylirostris,slb,8.6,TRUE,poplw
14916,litopenaeus stylirostris,slb,10,TRUE,poplw
14916,litopenaeus stylirostris,slb,12.8,TRUE,poplw
14916,litopenaeus stylirostris,slb,10.8,TRUE,poplw
14916,litopenaeus stylirostris,slb,12.3,TRUE,poplw
14916,litopenaeus stylirostris,slb,11,TRUE,poplw
14916,litopenaeus stylirostris,slb,16.2,TRUE,poplw
14916,litopenaeus stylirostris,slb,10.7,TRUE,poplw
14916,litopenaeus stylirostris,slb,16.1,TRUE,poplw
14917,litopenaeus vannamei,slb,13.8,TRUE,poplw
14917,litopenaeus vannamei,slb,16,TRUE,poplw
14917,litopenaeus vannamei,slb,7.8,TRUE,poplw
14917,litopenaeus vannamei,slb,8.6,TRUE,poplw
14917,litopenaeus vannamei,slb,9.3,TRUE,poplw
14917,litopenaeus vannamei,slb,7.9,TRUE,poplw
14917,litopenaeus vannamei,slb,9.1,TRUE,poplw
14917,litopenaeus vannamei,slb,9.2,TRUE,poplw
14917,litopenaeus vannamei,slb,8,TRUE,poplw
14917,litopenaeus vannamei,slb,10.8,TRUE,poplw
14917,litopenaeus vannamei,slb,8.1,TRUE,poplw
14917,litopenaeus vannamei,slb,16.1,TRUE,poplw
14917,litopenaeus vannamei,slb,15.7,TRUE,poplw
14917,litopenaeus vannamei,slb,9.6,TRUE,poplw
14917,litopenaeus vannamei,slb,8.8,TRUE,poplw
14917,litopenaeus vannamei,slb,13.5,TRUE,poplw
14917,litopenaeus vannamei,slb,12.9,TRUE,poplw
14917,litopenaeus vannamei,slb,12,TRUE,poplw
14917,litopenaeus vannamei,slb,13.1,TRUE,poplw
14917,litopenaeus vannamei,slb,14.4,TRUE,poplw
14917,litopenaeus vannamei,slb,12.4,TRUE,poplw
14917,litopenaeus vannamei,slb,12.2,TRUE,poplw
14917,litopenaeus vannamei,slb,13,TRUE,poplw
14917,litopenaeus vannamei,slb,12.3,TRUE,poplw
3442,littorina littorea,slb,1.9,TRUE,poplw
2799,lobatus gigas,slb,19.6,TRUE,poplw
57480,loligo vulgaris,slb,47.5,TRUE,poplw
57480,loligo vulgaris,slb,38.5,TRUE,poplw
57480,loligo vulgaris,slb,36,TRUE,poplw
57994,lolliguncula argus,slb,4.57,TRUE,poplw
57412,lolliguncula brevis,slb,7.1,TRUE,poplw
57130,lolliguncula diomedeae,slb,9.84,TRUE,poplw
57413,lolliguncula panamensis,slb,11.2,TRUE,poplw
139974,loxopagurus loxochelis,slb,0.82,FALSE,poplw
139974,loxopagurus loxochelis,slb,0.91,FALSE,poplw
58209,macrotritopus defilippi,slb,9.9,TRUE,poplw
48007,lucina pectinata,slb,6.46,FALSE,poplw
48002,lucinoma borealis,slb,1.825,FALSE,poplw
48683,luidia sarsi,slb,9.87,FALSE,poplw
47266,lutraria angustior,slb,5.115,TRUE,poplw
44762,lychnorhiza lucerna,slb,28.5,TRUE,poplw
60533,macandrevia cranium,slb,2.39,FALSE,poplw
25310,macrobrachium americanum,slb,9.66,FALSE,poplw
19392,macrobrachium hancocki,slb,3.78,FALSE,poplw
18921,macrobrachium panamense,slb,7.95,FALSE,poplw
24935,macrobrachium tenellum,slb,7.96,FALSE,poplw
24938,macrobrachium vollenhovenii,slb,6.3,TRUE,poplw
24938,macrobrachium vollenhovenii,slb,5.36,TRUE,poplw
26402,macropipus tuberculatus,slb,4.095,TRUE,poplw
26402,macropipus tuberculatus,slb,3.49,TRUE,poplw
26402,macropipus tuberculatus,slb,3.62,TRUE,poplw
165431,macropodia longipes,slb,2.62,FALSE,poplw
165431,macropodia longipes,slb,1.715,FALSE,poplw
165431,macropodia longipes,slb,2.835,FALSE,poplw
165431,macropodia longipes,slb,3.68,FALSE,poplw
27065,macropodia rostrata,slb,1.46,FALSE,poplw
27066,macropodia tenuirostris,slb,1.607,FALSE,poplw
80747,mactra chinensis,slb,3.55,FALSE,poplw
47265,mactra glauca,slb,10.99,TRUE,poplw
14613,marsupenaeus japonicus,slb,14.5,TRUE,poplw
14613,marsupenaeus japonicus,slb,13.8,TRUE,poplw
14613,marsupenaeus japonicus,slb,2,TRUE,poplw
14613,marsupenaeus japonicus,slb,1.74,TRUE,poplw
98910,mangelia costata,slb,2.346,FALSE,poplw
86651,marcia hiantina,slb,5.13,TRUE,poplw
86651,marcia hiantina,slb,5.33,TRUE,poplw
