orig_sciname,valid_name,aphia_id
chicoreus consuela,siratus consuela,405270
chicoreus dilectus,chicoreus florifer,558810
chicoreus formosus,siratus formosus,405271
chicoreus laciniatus,chicomurex laciniatus,405849
chicoreus ordidilorus,chicoreus orchidiflorus,558781
chicoreus pomum,phyllonotus pomum,419944
chicoreus rubiginosus,chicoreus torrefactus,208137
chicoreus saltatrix,chicoreus rossiteri,558816
chicoreus superbus,chicomurex superbus,405857
chicoreus trigonulus,naquetia triqueter,217178
chicoreus venustulus,chicomurex venustulus,405854
chicoreus vokesae,chicoreus brevifrons,558803
chiloglanis angolensis,chiloglanis angolensis,1013354
chiloglanis anoterus,chiloglanis anoterus,1013772
chiloglanis asymetricaudalis,chiloglanis asymetricaudalis,1011027
chiloglanis benuensis,chiloglanis benuensis,1013615
chiloglanis bifurcus,chiloglanis bifurcus,1013241
chiloglanis brevibarbis,chiloglanis brevibarbis,1014810
chiloglanis camarabounyi,chiloglanis camarabounyi,1524354
chicoreus beauii,no match,NA
chicoreus cailleti,no match,NA
chicoreus celinamarumai,no match,NA
chicoreus penchinati,no match,NA
chicoreus rosarius,no match,NA
chicoreus triquetra,no match,NA
chiloglanis carnosus,chiloglanis carnosus,1009283
chiloglanis congicus,chiloglanis congicus,1016866
chiloglanis deckenii,chiloglanis deckenii,1019724
chiloglanis devosi,chiloglanis devosi,1524711
chiloglanis dialloi,chiloglanis dialloi,1524358
chiloglanis disneyi,chiloglanis disneyi,1012890
chiloglanis elisabethianus,chiloglanis elisabethianus,1017159
chiloglanis emarginatus,chiloglanis emarginatus,1013224
chiloglanis fasciatus,chiloglanis fasciatus,1015140
chiloglanis harbinger,chiloglanis harbinger,1011527
chiloglanis igamba,chiloglanis igamba,1007788
chiloglanis kabaensis,chiloglanis kabaensis,1524357
chiloglanis kalambo,chiloglanis kalambo,1010715
chiloglanis kazumbei,chiloglanis kazumbei,1007789
chiloglanis kerioensis,chiloglanis kerioensis,1524709
chiloglanis kolente,chiloglanis kolente,1524356
chiloglanis lamottei,chiloglanis lamottei,1014303
chiloglanis loffabrevum,chiloglanis loffabrevum,1524359
chiloglanis longibarbis,chiloglanis longibarbis,1524361
chiloglanis lufirae,chiloglanis lufirae,1383667
chiloglanis lukugae,chiloglanis lukugae,1383534
chiloglanis macropterus,chiloglanis macropterus,1012845
chiloglanis marlieri,chiloglanis marlieri,1383554
chiloglanis mbozi,chiloglanis mbozi,1010719
chiloglanis micropogon,chiloglanis micropogon,314072
chiloglanis microps,chiloglanis microps,1013465
chiloglanis modjensis,chiloglanis modjensis,1018570
chiloglanis mongoensis,chiloglanis mongoensis,1527176
chiloglanis neumanni,chiloglanis neumanni,1383143
chiloglanis niger,chiloglanis niger,1011550
chiloglanis niloticus,chiloglanis niloticus,1018953
chiloglanis normani,chiloglanis normani,1015615
chiloglanis nzerekore,chiloglanis nzerekore,1524363
chiloglanis occidentalis,chiloglanis occidentalis,1015616
chiloglanis orthodontus,chiloglanis orthodontus,1007790
chiloglanis paratus,chiloglanis paratus,1013771
chiloglanis pezoldi,chiloglanis pezoldi,1524362
chiloglanis pojeri,chiloglanis pojeri,1014526
chiloglanis polyodon,chiloglanis polyodon,1015700
chiloglanis polypogon,chiloglanis polypogon,1383966
chiloglanis pretoriae,chiloglanis pretoriae,1015765
chiloglanis productus,chiloglanis productus,1008992
chiloglanis reticulatus,chiloglanis reticulatus,1011526
chiloglanis rukwaensis,chiloglanis rukwaensis,1384090
chiloglanis ruziziensis,chiloglanis ruziziensis,1006866
chiloglanis sanagaensis,chiloglanis sanagaensis,1383949
chiloglanis sardinhai,chiloglanis sardinhai,1013724
chiloglanis somereni,chiloglanis somereni,1013903
chiloglanis swierstrai,chiloglanis swierstrai,1013809
chiloglanis trilobatus,chiloglanis trilobatus,1010717
adalaria jannae,knoutsodonta jannae,845526
admete microscopica,microcancilla microscopica,494248
admete nodosa,brocchinia nodosa,138974
adrana scaphoides,adrana lancea,868004
aega alazon,aegapheles alazon,256386
aega antillensis,aegapheles antillensis,256389
aega banda,aegapheles banda,256392
aega birubi,aegapheles birubi,256395
aega excisa,aegapheles excisa,322535
aega hamiota,aegapheles hamiota,724047
aega japonica,aegapheles japonica,256414
aega kwazulu,aegapheles kwazulu,256417
aega musorstom,aegapheles musorstom,256425
aega rickbruscai,aegapheles rickbruscai,256434
aeolidia serotina,aeolidia campbellii,880370
aeolidiella chromosoma,anteaeolidiella chromosoma,730438
aeolidiella occidentalis,baeolidia occidentalis,763790
aeolidiella olivae,anteaeolidiella oliviae,730417
aeolidiella stephanieae,berghia stephanieae,730410
aequorea aequorea,aequorea forskalea,117270
aglaja felis,nakamigawaia felis,746954
aglaja regiscorona,niparaya regiscorona,1055258
aglantha ignea,colobonema igneum,1039378
aega deshaysiana,no match,NA
aglaja diomedea,no match,NA
chiloglanis tweddlei,chiloglanis tweddlei,1524364
chiloglanis voltae,chiloglanis voltae,1383584
chiloglanis waterloti,chiloglanis waterloti,1524931
chilomycterus spinosus mauretanicus,chilomycterus mauretanicus,1524912
chilomycterus spinosus spinosus,chilomycterus spinosus spinosus,275242
chiropsalmus buitendijki,chiropsoides buitendijki,289596
chiropsalmus zygonema,chiropsalmus zygonema,287434
chirostoma attenuatum,chirostoma attenuatum,1015786
chirostoma bartoni,chirostoma bartoni,1019260
chirostoma chapalae,chirostoma chapalae,1018998
chirostoma estor,chirostoma estor,1014846
chirostoma estor,chirostoma,268753
chirostoma grandocule,chirostoma grandocule,1019386
chirostoma humboldtianum,chirostoma humboldtianum,1013635
chirostoma patzcuaro,chirostoma patzcuaro,1018773
chlamydogobius eremius,chlamydogobius eremius,1019285
chlamydogobius gloveri,chlamydogobius gloveri,1010862
chlamydogobius japalpa,chlamydogobius japalpa,1010794
chlamydogobius micropterus,chlamydogobius micropterus,991196
chlamydogobius squamigenus,chlamydogobius squamigenus,991198
chlamys lentiginosa,mimachlamys punctata,1255194
chlamys squamata,scaeochlamys squamata,393331
chlidonias hybrida,chlidonias hybrida,137135
chlidonias leucopterus,chlidonias leucopterus,137136
chione inflata,no match,NA
chione pinchoti,no match,NA
chondrocladia lampadiglobus,chondrocladia (chondrocladia) lampadiglobus,235778
chondrostoma beysehirense,chondrostoma beysehirense,1010621
chondrostoma ceyhanensis,chondrostoma ceyhanense,1385221
chondrostoma colchicum,chondrostoma colchicum,1018908
chondrostoma cyri,chondrostoma cyri,1383092
chondrostoma esmaeilii,chondrostoma esmaeilii,1385216
chondrostoma fahirae,chondrostoma fahirae,1013795
chondrostoma holmwoodii,chondrostoma holmwoodii,1019278
chondrostoma knerii,chondrostoma knerii,1418517
chondrostoma kubanicum,chondrostoma kubanicum,1525860
chondrostoma nasus,chondrostoma nasus,154585
chondrostoma orientale,chondrostoma orientale,1524187
