orig_sciname,valid_name,aphia_id,taxonkey,taxon_name,common_name,descript,tax_level,worms_name,comments
marsupenaeus japonicus,no match,-9999,690219,Marsupenaeus japonicus,Kuruma prawn,shrimp,6,no match,
mytilus coruscus,no match,-9999,690218,Mytilus coruscus,Korean mussel,demersal mollusc,6,no match,
ruditapes philippinarum,no match,-9999,690196,Ruditapes philippinarum,Japanese carpet shell,demersal mollusc,6,no match,
fenneropenaeus indicus,no match,-9999,690189,Fenneropenaeus indicus,Indian white prawn,shrimp,6,no match,
mactra sachalinensis,no match,-9999,690176,Mactra sachalinensis,Hen clam,demersal mollusc,6,no match,
scapharca cornea,no match,-9999,690169,Scapharca cornea,Half-crenated ark,demersal mollusc,6,no match,
parapenaeopsis atlantica,no match,-9999,690168,Parapenaeopsis atlantica,Guinea shrimp,shrimp,6,no match,
microcosmus sulcatus,no match,-9999,690167,Microcosmus sulcatus,Grooved sea squirt,demersal mollusc,6,no match,
jasus verreauxi,no match,-9999,690161,Jasus verreauxi,Green rock lobster,lobsters crab,6,no match,
fenneropenaeus chinensis,no match,-9999,690133,Fenneropenaeus chinensis,Fleshy prawn,shrimp,6,no match,
cancer magister,no match,-9999,690115,Cancer magister,Dungeness crab,lobsters crab,6,no match,
farfantepenaeus brevirostris,no match,-9999,690100,Farfantepenaeus brevirostris,Crystal shrimp,shrimp,6,no match,
cardium edule,no match,-9999,690087,Cardium edule,Common edible cockle,demersal mollusc,6,no match,
aulacomya ater,no match,-9999,690081,Aulacomya ater,Cholga mussel,demersal mollusc,6,no match,
melicertus kerathurus,no match,-9999,690070,Melicertus kerathurus,Caramote prawn,shrimp,6,no match,
litopenaeus stylirostris,no match,-9999,690054,Litopenaeus stylirostris,Blue shrimp,shrimp,6,no match,
anadara granosa,no match,-9999,690050,Anadara granosa,Blood cockle,demersal mollusc,6,no match,
fenneropenaeus merguiensis,no match,-9999,690042,Fenneropenaeus merguiensis,Banana prawn,shrimp,6,no match,
chelon haematocheilus,no match,-9999,657506,Chelon haematocheilus,So-iny (redlip) mullet,demersal 30 - 90 cm,6,no match,
liza klunzingeri,no match,-9999,646376,Liza klunzingeri,Klunzingers mullet,demersal <30 cm,6,no match,
himantura gerrardi,no match,-9999,615483,Himantura gerrardi,Sharpnose stingray,rays >=90 cm,6,no match,
abudefduf luridus,no match,-9999,611820,Abudefduf luridus,Canary damsel,reef-associated <30 cm,6,no match,
arius thalassinus,no match,-9999,610220,Arius thalassinus,Giant seacatfish,demersal >=90 cm,6,no match,
lepidonotothen larseni,no match,-9999,607048,Lepidonotothen larseni,Lepidonotothen larseni,benthopelagic <30 cm,6,no match,
lepidonotothen nudifrons,no match,-9999,607047,Lepidonotothen nudifrons,Gaudy notothen,demersal <30 cm,6,no match,
lepidonotothen mizops,no match,-9999,607046,Lepidonotothen mizops,Toad notothen,benthopelagic <30 cm,6,no match,
dipturus linteus,no match,-9999,606422,Dipturus linteus,Sailray,rays >=90 cm,6,no match,
scolopsis taeniatus,no match,-9999,605889,Scolopsis taeniatus,Black-streaked monocle bream,reef-associated <30 cm,6,no match,
valamugil seheli,no match,-9999,605659,Valamugil seheli,Bluespot mullet,reef-associated 30 - 90 cm,6,no match,
trigloporus lastoviza,no match,-9999,605081,Trigloporus lastoviza,Streaked gurnard,demersal 30 - 90 cm,6,no match,
mugil soiuy,no match,-9999,604791,Mugil soiuy,So-iuy mullet,demersal 30 - 90 cm,6,no match,
triglopsis quadricornis,no match,-9999,604122,Triglopsis quadricornis,Fourhorn sculpin,demersal 30 - 90 cm,6,no match,
pseudopentaceros richardsoni,no match,-9999,603611,Pseudopentaceros richardsoni,Pelagic armorhead,pelagic 30 - 90 cm,6,no match,
dasyatis centroura,no match,-9999,602572,Dasyatis centroura,Roughtail stingray,rays >=90 cm,6,no match,
alectis alexandrinus,no match,-9999,601888,Alectis alexandrinus,African threadfish,pelagic 30 - 90 cm,6,no match,
liza saliens,no match,-9999,601736,Liza saliens,Leaping mullet,demersal 30 - 90 cm,6,no match,
liza aurata,no match,-9999,601735,Liza aurata,Golden grey mullet,pelagic 30 - 90 cm,6,no match,
psetta maxima,no match,-9999,601348,Psetta maxima,Turbot,flatfish >=90 cm,6,no match,
epinephelus niveatus,no match,-9999,601208,Epinephelus niveatus,Snowy grouper,demersal >=90 cm,6,no match,
epinephelus nigritus,no match,-9999,601207,Epinephelus nigritus,Warsaw grouper,demersal >=90 cm,6,no match,
epinephelus mystacinus,no match,-9999,601206,Epinephelus mystacinus,Misty grouper,bathydemersal >=90 cm,6,no match,
epinephelus flavolimbatus,no match,-9999,601205,Epinephelus flavolimbatus,Yellowedge grouper,demersal >=90 cm,6,no match,
dasyatis akajei,no match,-9999,600940,Dasyatis akajei,Red stingray,rays >=90 cm,6,no match,
centroselachus crepidater,no match,-9999,600663,Centroselachus crepidater,Longnose velvet dogfish,shark >=90 cm,6,no match,
sebastes marinus,no match,-9999,600501,Sebastes marinus,Ocean perch,benthopelagic >=90 cm,6,no match,
pleuragramma antarcticum,no match,-9999,600472,Pleuragramma antarcticum,Antarctic silverfish,pelagic <30 cm,6,no match,
theragra chalcogramma,no match,-9999,600318,Theragra chalcogramma,Alaska pollack,benthopelagic >=90 cm,6,no match,
gadus ogac,no match,-9999,600309,Gadus ogac,Greenland cod,demersal 30 - 90 cm,6,no match,
pterothrissus belloci,no match,-9999,600229,Pterothrissus belloci,Longfin bonefish,bathydemersal 30 - 90 cm,6,no match,
tetrapturus audax,no match,-9999,600223,Tetrapturus audax,Striped marlin,pelagic >=90 cm,6,no match,
tetrapturus albidus,no match,-9999,600219,Tetrapturus albidus,Atlantic white marlin,pelagic >=90 cm,6,no match,
makaira indica,no match,-9999,600217,Makaira indica,Black marlin,pelagic >=90 cm,6,no match,
rhinobatos planiceps,no match,-9999,600149,Rhinobatos planiceps,Pacific guitarfish,rays <90 cm,6,no match,
rhinobatos percellens,no match,-9999,600140,Rhinobatos percellens,Chola guitarfish,rays >=90 cm,6,no match,
spisula ovalis,no match,-9999,690631,Spisula ovalis,Venus clam,demersal mollusc,6,no match,
pandalus kessleri,no match,-9999,690618,Pandalus kessleri,Grass shrimp,shrimp,6,no match,
pandalopsis japonica,no match,-9999,690615,Pandalopsis japonica,Sidestripe shrimp,shrimp,6,no match,
megabalanus psittacus,no match,-9999,690613,Megabalanus psittacus,Giant barnacle,demersal mollusc,6,no match,
pecten yessoensis,no match,-9999,690445,Pecten yessoensis,Yesso scallop,demersal mollusc,6,no match,
farfantepenaeus californiensis,no match,-9999,690444,Farfantepenaeus californiensis,Yellowleg shrimp,shrimp,6,no match,
litopenaeus vannamei,no match,-9999,690440,Litopenaeus vannamei,Whiteleg shrimp,shrimp,6,no match,
litopenaeus occidentalis,no match,-9999,690433,Litopenaeus occidentalis,Western white shrimp,shrimp,6,no match,
melicertus latisulcatus,no match,-9999,690432,Melicertus latisulcatus,Western king prawn,shrimp,6,no match,
chlamys varia,no match,-9999,690423,Chlamys varia,Variegated scallop,demersal mollusc,6,no match,
protothaca thaca,no match,-9999,690411,Protothaca thaca,Taca clam,demersal mollusc,6,no match,
venus gallina,no match,-9999,690404,Venus (=Chamelea) gallina,Striped venus,demersal mollusc,6,no match,
lithodes maia,no match,-9999,690399,Lithodes maia,Stone king crab,lobsters crab,6,no match,
farfantepenaeus notialis,no match,-9999,690378,Farfantepenaeus notialis,Southern pink shrimp,shrimp,6,no match,
lithodes antarcticus,no match,-9999,690377,Lithodes antarcticus,Southern king crab,lobsters crab,6,no match,
crassostrea iredalei,no match,-9999,690364,Crassostrea iredalei,Slipper cupped oyster,demersal mollusc,6,no match,
plesiopenaeus edwardsianus,no match,-9999,690343,Plesiopenaeus edwardsianus,Scarlet shrimp,shrimp,6,no match,
