taxonkey,taxon_name,common_name,descript,tax_level,worms_name
490040,Scyllaridae,Slipper lobsters,lobsters crab,4,scyllaridae
490041,Sergestidae,Sergestid shrimp,shrimp,4,sergestidae
490042,Aristeidae,Aristeid shrimps,shrimp,4,aristeidae
490043,Penaeidae,Penaeid shrimps,shrimp,4,penaeidae
490044,Crangonidae,Crongonid shrimp,shrimp,4,crangonidae
490046,Pandalidae,Norther shrimps,shrimp,4,pandalidae
490052,Squillidae,Mantis shrimps,shrimp,4,squillidae
490054,Mytilidae,Sea mussels,demersal mollusc,4,mytilidae
490055,Pectinidae,Scallops,demersal mollusc,4,pectinidae
490058,Cardiidae,Cockles,demersal mollusc,4,cardiidae
490060,Veneridae,Venus clams,demersal mollusc,4,veneridae
490061,Solenidae,Razor clams knife clams,demersal mollusc,4,solenidae
490063,Mactridae,Mactra surf clams,demersal mollusc,4,mactridae
490097,Brachyura,Marine crabs,lobsters crab,4,decapoda
490124,Galatheidae,Squat lobsters,lobsters crab,4,galatheidae
500048,Paralichthys,American flounders,flatfish <90 cm,5,paralichthys
500107,Squalus,Dogfishes,shark >=90 cm,5,squalus
500108,Raja,Skates,rays <90 cm,5,raja
500112,Lophius,Monkfishes,bathydemersal >=90 cm,5,lophius
500116,Coryphaena,Coryphaena,pelagic >=90 cm,5,coryphaena
500122,Trachinus,Weevers,demersal <30 cm,5,trachinus
500124,Ammodytes,Sandlances,demersal <30 cm,5,ammodytes
500134,Scorpaena,Scorpionfish,demersal 30 - 90 cm,5,scorpaena
500136,Salmo,Salmon and trout,pelagic 30 - 90 cm,5,salmo
500142,Scomber,Mackerels,pelagic 30 - 90 cm,5,scomber
500143,Mullus,Western goatfishes,demersal 30 - 90 cm,5,mullus
500144,Trigla,Gurnards,bathydemersal 30 - 90 cm,5,trigla
500147,Argentina,Argentines,pelagic <30 cm,5,argentina
500152,Mugil,Grey mullets,demersal 30 - 90 cm,5,mugil
500211,Trachipterus,Deaf fishes,benthopelagic >=90 cm,5,trachipterus
500240,Siganus,Rabbitfishes,reef-associated 30 - 90 cm,5,siganus
500327,Macrourus,Grenadiers,benthopelagic >=90 cm,5,macrourus
500348,Mustelus,Smooth-hounds,shark >=90 cm,5,mustelus
500351,Rhinobatos,Guitarfish,rays >=90 cm,5,rhinobatos
500352,Alosa,Shads,pelagic 30 - 90 cm,5,alosa
500357,Lutjanus,Snappers,reef-associated 30 - 90 cm,5,lutjanus
500366,Epinephelus,Groupers,reef-associated 30 - 90 cm,5,epinephelus
500372,Sphyraena,Barracudas,pelagic 30 - 90 cm,5,sphyraena
500384,Gymnothorax,Gymnothorax,demersal 30 - 90 cm,5,gymnothorax
500467,Caranx,Jacks,reef-associated 30 - 90 cm,5,caranx
500468,Scomberoides,Queenfishes,pelagic 30 - 90 cm,5,scomberoides
500477,Kyphosus,Sea chubs,reef-associated 30 - 90 cm,5,kyphosus
500487,Scomberomorus,Seerfishes,pelagic >=90 cm,5,scomberomorus
500495,Prionotus,Sea robins,demersal <30 cm,5,prionotus
500504,Centropomus,Snooks,demersal 30 - 90 cm,5,centropomus
500515,Leiognathus,Slipmouths,demersal <30 cm,5,leiognathus
500551,Plotosus,Eel catfishes,demersal 30 - 90 cm,5,plotosus
500598,Trachinotus,Pompanos,pelagic 30 - 90 cm,5,trachinotus
500618,Solea,Soles,flatfish <90 cm,5,solea
500638,Isurus,Mako sharks,shark >=90 cm,5,isurus
500639,Alopias,Thresher sharks,shark >=90 cm,5,alopias
