iucn_sid,T_min_a,T_min_p,T_max_p,T_max_a,n_cells,warning
194910,27.6867733001709,27.7408571243286,27.937266349792502,32.137266349792505,6,preference temp range too small!
194911,27.9575309753418,28.03425674438474,28.33551921844483,32.53551921844483,18,preference temp range too small!
194912,26.0798244476318,27.49124755859378,28.29593009948732,32.495930099487325,267,preference temp range too small!
194913,27.7276229858398,27.81800880432126,28.16680450439452,32.36680450439452,13,preference temp range too small!
194914,27.9575309753418,28.029631233215348,28.280386924743663,32.48038692474366,52,preference temp range too small!
195021,5.80588817596436,6.80518651008606,10.752131938934351,12.3782415390015,486,no worries
195022,11.2489318847656,14.444168281555179,23.463570022583,24.4790706634521,237,no worries
195023,9.11167621612549,10.40084791183475,23.35672760009765,25.6867198944092,486,no worries
195080,14.8877935409546,16.82314720153813,23.50302047729496,24.4790706634521,192,no worries
195100,9.21997737884521,12.42276563644408,26.056548309326164,30.256548309326163,450,no worries
195291,18.9710807800293,23.073138427734342,28.496428680419918,32.69642868041992,278,no worries
195292,16.8867473602295,18.56864604949952,28.83218269348145,33.03218269348145,420,no worries
195319,27.5900344848633,27.660956764221147,28.05110111236568,32.25110111236568,20,preference temp range too small!
195320,26.8195953369141,27.54027328491215,29.27499408721927,33.47499408721927,154,no worries
195345,15.7818031311035,25.2527437210083,29.308783531189,33.508783531189,4846,no worries
195409,21.0934162139893,24.251674270629877,28.23600120544436,32.43600120544436,1595,no worries
195421,1.5717910528183,1.62642204761505,5.24716806411743,7.50536394119263,21,no worries
195422,0.642525017261505,1.695819449424744,21.28855972290038,25.6955337524414,109,no worries
195425,1.45167601108551,1.5172023415565512,7.374242115020754,24.3404331207275,40,no worries
195426,23.0629634857178,23.7960319519043,26.03383255004885,30.23383255004885,106,no worries
195427,0.80902898311615,2.12637574672699,22.08972358703609,25.6955337524414,122,no worries
195428,17.6069488525391,17.6069488525391,17.6069488525391,17.6069488525391,1,preference temp range too small!
195429,0.457587003707886,0.5464200079441071,15.5181303024292,22.096508026123,376,no worries
195430,0.649681985378265,0.8794357895851135,20.889641952514687,25.6766452789307,345,no worries
195431,2.07596802711487,2.962832307815551,12.383622074127231,14.2366409301758,44,no worries
195432,0.846000015735626,0.875959992408752,6.71623611450195,18.8203449249268,21,no worries
195433,0.796954989433289,1.0182664155960102,11.453182029724122,18.6355323791504,395,no worries
195434,0.772634029388428,0.8427402257919312,19.88072433471676,24.5708808898926,119,no worries
195435,6.68230199813843,10.6473398208618,28.5860157012939,32.7860157012939,751,no worries
195436,29.0449867248535,29.325725173950158,29.472020339965862,33.67202033996586,10,preference temp range too small!
195437,27.8375778198242,27.913484764099163,28.67495555877688,32.87495555877688,10,preference temp range too small!
195438,27.4768886566162,27.6688543319702,28.762464714050303,32.962464714050306,14,no worries
195439,27.6136493682861,27.875965309143034,28.597193717956543,32.797193717956546,40,preference temp range too small!
195440,17.400899887085,17.62318725585937,19.74336700439454,20.0367889404297,28,no worries
195442,26.790018081665,26.84818840026858,27.92068328857422,32.12068328857422,23,no worries
195443,16.5671997070313,16.79447154998779,17.50928897857665,17.6762466430664,18,preference temp range too small!
195444,0.457587003707886,0.7997612059116359,15.179710960388173,17.2316284179688,254,no worries
195445,2.60491108894348,3.903889536857605,25.472096443176298,29.672096443176297,76,no worries
195446,21.0859203338623,21.8828563690186,24.2812042236328,24.6455192565918,21,no worries
195447,0.80902898311615,2.5536708831787123,24.352437591552782,27.103328704834,162,no worries
195448,18.4787502288818,19.71939620971682,23.990050888061557,24.6455192565918,103,no worries
195449,0.799426972866058,0.8094055831432343,12.036106014251741,27.103328704834,82,no worries
195450,0.839182019233704,0.8510448813438414,22.065018272399882,25.6766452789307,134,no worries
195451,0.649681985378265,0.9127712130546568,21.18923721313478,22.2500629425049,55,no worries
195452,1.06731998920441,1.5182101845741252,24.819394683837913,25.4802513122559,32,no worries
195453,0.539025008678436,0.8332496166229253,16.995444869995143,25.6766452789307,295,no worries
195455,22.6429748535156,25.0509452819824,28.6329002380371,32.8329002380371,911,no worries
195456,20.8390636444092,27.1768407821655,29.29542694091797,33.49542694091797,2242,no worries
195457,22.6429748535156,23.10871028900145,27.25043067932132,31.450430679321318,88,no worries
195458,0.80902898311615,2.12637574672699,22.653706932067898,27.103328704834,152,no worries
195459,15.0875415802002,24.965076828002942,29.25490608215336,33.454906082153364,34307,no worries
195460,24.7576675415039,25.17978115081786,26.69632034301759,30.89632034301759,142,no worries
195462,26.2245597839355,27.332128906249984,28.70722579956054,32.90722579956054,373,no worries
195463,24.5424938201904,24.66940650939939,25.18940887451171,29.38940887451171,4,preference temp range too small!
195464,23.1938819885254,24.735257530212373,27.98987979888913,32.18987979888913,350,no worries
195465,0.457587003707886,0.5393643856048582,15.44782199859622,22.7473316192627,369,no worries
195466,0.511861979961395,0.5233483135700228,2.967313694953921,10.099666595459,68,no worries
195467,1.60177898406982,1.8872254848480239,4.619256067275999,13.9358711242676,50,no worries
195468,0.466150999069214,1.118655252456664,15.89086790084841,16.3505153656006,42,no worries
195469,1.09880304336548,2.56728231906891,25.543637275695822,29.74363727569582,154,no worries
195470,0.649681985378265,1.83073585033417,21.502454376220705,27.103328704834,159,no worries
195471,0.457587003707886,0.4844219028949741,15.569654273986842,19.0022888183594,194,no worries
