phylum,class,order,family,genus,species
mollusca,gastropoda,sacoglossa,oxynoidae,oxynoe,oxynoe azuropunctata
mollusca,gastropoda,sacoglossa,volvatellidae,ascobulla,ascobulla ulla
mollusca,polyplacophora,lepidopleurida,leptochitonidae,lepidopleurus,no match
platyhelminthes,turbellaria,nemertodermatida,nemertodermatidae,nemertoderma,nemertoderma bathycola
porifera,calcarea,murrayonida,murrayonidae,murrayona,murrayona phanolepis
arthropoda,malacostraca,decapoda,penaeidae,metapenaeopsis,no match
mollusca,bivalvia,ostreoida,ostreidae,crassostrea,magallana rivularis
kamptozoa,not assigned,loxosomatida,loxosomatidae,loxomitra,loxomitra tetraorganon
mollusca,bivalvia,veneroida,veneridae,venerupis,polititapes durus
kamptozoa,not assigned,loxosomatida,loxosomatidae,loxosoma,loxosoma pectinaricola
kamptozoa,not assigned,loxosomatida,loxosomatidae,loxosoma,loxosoma rhodinicola
kamptozoa,not assigned,loxosomatida,loxosomatidae,loxosomella,loxosomella elegans
kamptozoa,not assigned,loxosomatida,loxosomatidae,loxosomella,loxosomella polita
kamptozoa,not assigned,loxosomatida,loxosomatidae,loxosomella,loxosomella marsypos
kamptozoa,not assigned,loxosomatida,loxosomatidae,loxosomella,loxosomella harmeri
kamptozoa,not assigned,loxosomatida,loxosomatidae,loxosomella,loxosomella nitschei
kamptozoa,not assigned,loxosomatida,loxosomatidae,loxosomella,loxosomella compressa
kamptozoa,not assigned,loxosomatida,loxosomatidae,loxosomella,loxosomella nordgaardi
kamptozoa,not assigned,loxosomatida,loxosomatidae,loxosomella,loxosomella discopoda
kamptozoa,not assigned,loxosomatida,loxosomatidae,loxosomella,loxosomella obesa
mollusca,cephalopoda,octopoda,octopodidae,octopus,octopus variabilis
kamptozoa,not assigned,loxosomatida,loxosomatidae,loxosoma,loxosoma significans
mollusca,aplacophora,cavibelonia,proneomeniidae,dorymenia,dorymenia sarsii
mollusca,aplacophora,pholidoskepia,macellomeniidae,macellomenia,macellomenia aciculata
mollusca,aplacophora,cavibelonia,simrothiellidae,plawenia,plawenia argentinensis
platyhelminthes,turbellaria,acoela,otocelididae,notocelis,notocelis gullmarensis
platyhelminthes,turbellaria,acoela,haploposthiidae,haploposthia,haploposthia lactomaculata
platyhelminthes,turbellaria,acoela,paratomellidae,paratomella,paratomella unichaeta
platyhelminthes,turbellaria,acoela,otocelididae,otocelis,otocelis sandara
platyhelminthes,turbellaria,acoela,otocelididae,philocelis,philocelis brueggemanni
mollusca,scaphopoda,gadilida,pulsellidae,pulsellum,no match
mollusca,gastropoda,sacoglossa,juliidae,julia,julia zebra
mollusca,gastropoda,sacoglossa,elysiidae,elysia,elysia rufescens
mollusca,gastropoda,notaspidea,pleurobranchidae,berthella,berthella tupala
arthropoda,maxillopoda,sessilia,balanidae,megabalanus,megabalanus tulipiformis
mollusca,gastropoda,heterostropha,architectonicidae,architectonica,architectonica grandiosa
echinodermata,holothuroidea,elasipodida,deimatidae,deima,deima validum
arthropoda,malacostraca,isopoda,aegidae,aega,aega novizealandiae
annelida,polychaeta,aciculata,polynoidae,harmothoe,harmothoe minuta
gastrotricha,not assigned,macrodasyoidea,thaumastodermatidae,tetranchyroderma,tetranchyroderma swedmarki
arthropoda,maxillopoda,pedunculata,calanticidae,calantica,calantica kampeni
arthropoda,maxillopoda,sessilia,pyrgomatidae,cantellius,cantellius gregarius
mollusca,bivalvia,mytiloida,mytilidae,musculus,no match
mollusca,bivalvia,ostreoida,ostreidae,striostrea,ostrea parasitica
arthropoda,maxillopoda,pedunculata,calanticidae,euscalpellum,euscalpellum rostratum
arthropoda,maxillopoda,sessilia,archaeobalanidae,euacasta,euacasta porata
arthropoda,malacostraca,decapoda,alpheidae,alpheus,alpheus ochrostriatus
annelida,polychaeta,aciculata,myzostomidae,notopharyngoides,no match
mollusca,bivalvia,veneroida,psammobiidae,psammotellina,no match
mollusca,bivalvia,myoida,teredinidae,lyrodus,no match
arthropoda,maxillopoda,sessilia,verrucidae,altiverruca,altiverruca quadrangularis
arthropoda,maxillopoda,pedunculata,scalpellidae,arcoscalpellum,arcoscalpellum sociabile
mollusca,gastropoda,neotaenioglossa,pickworthiidae,mareleptopoma,mareleptopoma vaubani
arthropoda,maxillopoda,pedunculata,scalpellidae,smilium,smilium vaubanianum
mollusca,bivalvia,arcoida,glycymerididae,melaxinaea,no match
mollusca,bivalvia,ostreoida,pectinidae,annachlamys,no match
mollusca,bivalvia,ostreoida,pectinidae,cryptopectan,no match
mollusca,bivalvia,veneroida,cardiidae,vepricardium,no match
mollusca,bivalvia,veneroida,cardiidae,ctenocardia,no match
mollusca,bivalvia,veneroida,cardiidae,afrocardium,no match
porifera,demospongiae,hadromerida,tethyidae,melibe,melibe capucina
arthropoda,maxillopoda,pedunculata,heteralepadidae,paralepas,paralepas nodulosa
arthropoda,maxillopoda,pedunculata,poecilasmatidae,glyptelasma,glyptelasma gracile
arthropoda,maxillopoda,pedunculata,calanticidae,calantica,calantica graphica
arthropoda,maxillopoda,pedunculata,calanticidae,calantica,calantica trispinosa
arthropoda,maxillopoda,pedunculata,calanticidae,paracalantica,paracalantica rossi
arthropoda,maxillopoda,pedunculata,scalpellidae,trianguloscalpellum,trianguloscalpellum balanoides
arthropoda,maxillopoda,pedunculata,scalpellidae,trianguloscalpellum,trianguloscalpellum hamulus
arthropoda,maxillopoda,pedunculata,scalpellidae,trianguloscalpellum,diotascalpellum rubrum
arthropoda,maxillopoda,sessilia,archaeobalanidae,conopea,conopea granulata
mollusca,gastropoda,neotaenioglossa,siliquariidae,tenagodus,tenagodus cumingii
mollusca,gastropoda,neotaenioglossa,epitoniidae,epitonium,epitonium aculeatum
mollusca,gastropoda,neotaenioglossa,epitoniidae,epitonium,epitonium muricatum
arthropoda,maxillopoda,pedunculata,scalpellidae,annandaleum,annandaleum lambda
arthropoda,maxillopoda,sessilia,archaeobalanidae,solidobalanus,solidobalanus hawaiensis
arthropoda,maxillopoda,pedunculata,poecilasmatidae,glyptelasma,glyptelasma gigas
arthropoda,maxillopoda,sessilia,pyrgomatidae,pyrgopsella,pyrgospongia stellula
mollusca,gastropoda,neotaenioglossa,pickworthiidae,sansonia,sansonia kirkpatricki
mollusca,gastropoda,neotaenioglossa,pickworthiidae,microliotia,microliotia koizumii
mollusca,gastropoda,neotaenioglossa,pickworthiidae,microliotia,microliotia ohashii
mollusca,gastropoda,neotaenioglossa,pickworthiidae,sansonia,sansonia shigemitsui
arthropoda,malacostraca,decapoda,epialtidae,naxioides,no match
arthropoda,maxillopoda,sessilia,pyrgomatidae,savignium,neotrevathana elongata
annelida,polychaeta,not assigned,paraonidae,allia,allia quadrilobata
arthropoda,maxillopoda,sessilia,verrucidae,rostratoverruca,rostratoverruca koehleri
arthropoda,maxillopoda,pedunculata,calanticidae,euscalpellum,euscalpellum squamuliferum
arthropoda,maxillopoda,pedunculata,heteralepadidae,heteralepas,heteralepas smilius
arthropoda,maxillopoda,apygophora,trypetesidae,tomlinsonia,tomlinsonia mclaughlinae
arthropoda,maxillopoda,sessilia,archaeobalanidae,conopea,acasta squamosa
arthropoda,malacostraca,stomatopoda,squillidae,squilla,no match
mollusca,bivalvia,pterioida,pinnidae,atrina,no match
mollusca,bivalvia,veneroida,veneridae,phacosoma,no match
mollusca,bivalvia,veneroida,tellinidae,merisca,no match
mollusca,bivalvia,myoida,xylophagidae,neoxylophaga,no match
mollusca,bivalvia,myoida,teredinidae,austroteredo,no match
mollusca,bivalvia,veneroida,montacutidae,mysella,rochefortia triangularis
arthropoda,maxillopoda,pedunculata,calanticidae,calantica,calantica pollicipedoides
arthropoda,maxillopoda,sessilia,archaeobalanidae,acasta,acasta conica
mollusca,gastropoda,neotaenioglossa,cerithiidae,bittium,cacozeliana variegata
mollusca,gastropoda,neotaenioglossa,cerithiidae,bittium,cerithium variegatum
mollusca,gastropoda,neotaenioglossa,epitoniidae,cycloscala,cycloscala sardellae
mollusca,gastropoda,caenogastropoda,provannidae,provanna,provanna nassariaeformis
arthropoda,malacostraca,decapoda,dromiidae,cryptodromiopsis,no match
gastrotricha,not assigned,macrodasyoidea,thaumastodermatidae,thaumastoderma,thaumastoderma ramuliferum
hemichordata,enteropneusta,not assigned,harrimaniidae,harrimania,harrimania planktophilus
annelida,polychaeta,not assigned,capitellidae,scyphoproctus,scyphoproctus aciculatus
arthropoda,maxillopoda,sessilia,chthamalidae,chthamalus,chthamalus barnesi
nematoda,secernentea,ascaridida,cucullanidae,cucullanus,cucullanus cyprini
mollusca,bivalvia,pterioida,isognomonidae,parviperna,no match
cnidaria,anthozoa,scleractinia,faviidae,echinopora,echinopora grandicula
mollusca,bivalvia,veneroida,galeommatidae,scintilla,scintilla opalina
mollusca,bivalvia,veneroida,kelliidae,pseudopythina,no match
mollusca,bivalvia,veneroida,montacutidae,mysella,no match
mollusca,bivalvia,arcoida,glycymerididae,barbatia,no match
mollusca,bivalvia,ostreoida,pectinidae,bractechlamys,no match
mollusca,bivalvia,veneroida,cardiidae,fragum,no match
mollusca,bivalvia,veneroida,cardiidae,trigoniocardia,no match
mollusca,bivalvia,veneroida,cardiidae,clinocardium,no match
arthropoda,maxillopoda,pedunculata,scalpellidae,arcoscalpellum,arcoscalpellum pertosum
