am_sciname,valid_name,aphia_id
clathria toxifera,clathria (microciona) antarctica,167613
clathria tuberosa,clathria (wilsonella) tuberosa,167805
clathria venosa,clathria (thalysias) venosa,196879
clathria virgultosa,clathria (thalysias) virgultosa,1424390
clathria vulpina,clathria (thalysias) vulpina,167787
clathrodrillia albicoma,neodrillia albicoma,872143
clausinella fasciata,clausinella fasciata,141909
clausinella gayi,tawera elliptica,507917
clausocalanus arcuicornis,clausocalanus arcuicornis arcuicornis,1461626
clavulina angularis,clavulina angularis,489123
clavus lacertosus,bathytoma lacertosus,432609
cleidochasma porcellanum,plesiocleidochasma porcellanum,596744
clementia papyracea,clementia papyracea,141910
cleotrivia antillarum,pseudopusula antillarum,1026128
cleotrivia candidula,trivia candidula,478487
clianella brucei,dynoides amblysinus,258200
clibanarius padaverensis,clibanarius padavensis,208687
clinocardium blandum,keenocardium blandum,381984
clinocardium californiense,keenocardium californiense,381989
clinocardium ciliatum,ciliatocardium ciliatum,139000
clio sulcata,clio pyramidata,139033
clavus laeta,no match,NA
clinocardium buellowi,no match,NA
cliona arenosa,cliona arenosa,170426
cliona delitrix,cliothosa delitrix,1479479
cliona dichotoma,cliothosa dichotoma,170492
cliona langae,cliona caribbaea,170432
cliona schmidti,cliona schmidtii,134139
clithon chlorostomus,clithon chlorostoma,1039071
clithon oualaniensis,clithon oualaniense,737519
clivipollia pulcher,clivipollia pulchra,490913
cloridina microphthalma,parisia microphthalma,586691
clupea pallasii pallasii,clupea pallasii pallasii,293568
clymenella mucosa,clymenella mucosa,332712
clymenella torquata,clymenella torquata,130279
clypeomorus batillariaeformis,clypeomorus batillariaeformis,216711
clypeomorus bifasciata,clypeomorus bifasciata,139067
clypeomorus bifasciatus,clypeomorus bifasciata,139067
clypeomorus brevis,clypeomorus brevis,216714
clypeomorus moniliferus,clypeomorus batillariaeformis,216711
clypeomorus pellucida,clypeomorus pellucida,473125
clypeomorus purpurastoma,clypeomorus purpurastoma,473127
clytemnestra rostrata,goniopsyllus rostratus,346510
clytia latitheca,clytia thornelyi,1341810
cnemidocarpa nordenskjoldi,cnemidocarpa nordenskjöldi,250353
cnemidocarpa robinsoni,asterocarpa humilis,250047
codakia orbiculata,ctena orbiculata,420788
codium arabicum,codium arabicum,211739
codium bartlettii,codium bartlettii,211730
codium bursa,codium bursa,145079
codium decorticatum,codium decorticatum,145083
codium edule,codium edule,374214
codium geppiorum,codium geppiorum,211735
codium intertextum,codium intertextum,145088
codium isthmocladum,codium isthmocladum,373715
codium spongiosum,codium spongiosum,211729
codium taylorii,codium taylorii,145091
coecella horsfieldi,coecella horsfieldii,505800
coelosphaera dichela,coelosphaera (coelosphaera) dichela,168825
coelosphaera fistula,coelosphaera (coelosphaera) fistula,168827
coelosphaera navicelligera,coelosphaera (coelosphaera) navicelligera,168834
coelothrix irregularis,coelothrix irregularis,145846
coenobita clypeatus,coenobita clypeatus,368191
colina macrostoma,colina macrostoma,473130
colistium guntheri,colistium guentheri,280358
collisella digitalis,lottia digitalis,456588
cololabis adocetus,cololabis adoceta,280365
colossendeis japonica,colossendeis minuta,134668
colossendeis japonica,colossendeis macerrima,134666
colpomenia sinuosa,colpomenia sinuosa,145857
colpospirella algida,turritella algida,472990
colubraria castanea,colubraria tenera,527520
columbellopsis nycteis,mitrella nycteis,878481
colus martensi,anomalisipho martensi,821662
comanthina nobilis,comaster nobilis,246755
comanthina schlegeli,comaster schlegelii,246756
comanthoides gillstromi,comatulidae incertae sedis gillstromi,393883
comaster distinctus,phanogenia distincta,246802
comaster multibrachiatus,phanogenia multibrachiata,246805
comatella maculata,comatella stelligera,246758
comatula pectinata,comatula (comatula) pectinata,246762
comatula purpurea,comatula (comatula) purpurea,246763
comatula solaris,comatula (comatula) solaris,246765
compressidens pressum,compressidens pressus,421014
conchoecia oblonga,paraconchoecia oblonga,127845
conchoecia spinifera,paraconchoecia spinifera,127846
conocarpus erectus,conocarpus erectus,418734
conopea calceolus,conopea calceola,106206
conopea cymbiformis,conopea cymbiformis,535135
conopea dentifer,acasta dentifer,1425637
conopea granulata,conopea granulata,535136
conopea merrilli,solidobalanus merrilli,1425645
conopea navicula,acasta navicula,1425642
conopea squamosa,acasta squamosa,1425644
conopora anthohelia,paraconopora anthohelia,856351
conus aculeiformis,conasprella aculeiformis,835351
conus alisi,conasprella alisi,834380
conus aphrodite,conasprella aphrodite,580165
conus armiger,conasprella armiger,835306
conus articulatus,conasprella articulata,580166
conus baileyi,conasprella baileyi,580167
conus boholensis,conasprella boholensis,834365
conus boucheti,conasprella boucheti,834367
conus centurio,conasprella centurio,835892
conus circumactis,conus circumactus,426454
conus delessertii,conasprella delessertii,835976
conus dictator,conasprella dictator,835361
conus eugrammatus,conasprella eugrammata,580170
conus howelli,conasprella howelli,835333
conus kimioi,conasprella kimioi,834382
conus mazei,conasprella mazei,835315
conus mcgintyi,conasprella mcgintyi,835304
conus mindanus,conasprella mindana,836701
conus orbignyi,conasprella orbignyi,835413
conus puncticulatus,conasprella puncticulata,836771
conus pusio,conus melvilli,428205
conus pusio,conasprella pusio,836775
conus saecularis,conasprella saecularis,835418
conus sanderi,conus villepinii,420226
conus sazanka,conus martensi,428203
conus stearnsii,conasprella stearnsii,836785
conus teramachii,profundiconus teramachii,581028
conus tirardi,conasprella tirardi,1291291
conus vimineus,conasprella viminea,835425
corallina officinalis,corallina officinalis,145108
coralliophila neritoidea,coralliophila violacea,208125
corallium elatius,pleurocorallium elatius,1311278
corallium secundum,pleurocorallium secundum,1311288
corbula gibba,varicorbula gibba,378492
corbula lyoni,tenuicorbula lyoni,1458825
corculum cardissum,corculum cardissa,216387
cornuspira foliacea,cornuspira foliacea,112487
cornuspira involvens,cornuspira involvens,112488
corycaeus amazonicus,ditrichocorycaeus amazonicus,358326
corycaeus catus,onychocorycaeus catus,128816
corycaeus flaccus,agetus flaccus,128795
corycaeus furcifer,urocorycaeus furcifer,128821
corycaeus giesbrechti,onychocorycaeus giesbrechti,128817
corycaeus latus,onychocorycaeus latus,128818
corycaeus lautus,urocorycaeus lautus,128822
corycaeus limbatus,agetus limbatus,128796
corycaeus longistylis,urocorycaeus longistylis,765217
corycaeus ovalis,onychocorycaeus ovalis,128819
corycaeus subulatus,corycaeus (ditrichocorycaeus) subulatus,1467647
corycaeus typicus,agetus typicus,128797
corymorpha forbesi,corymorpha forbesii,117459
coscinaraea columna,psammocora columna,766867
coscinaraea exaesa,psammocora exesa,766865
coscinaraea exesa,psammocora exesa,766865
corculum dionaeum,no match,NA
adipicola arcuatilis,terua arcuatilis,888570
admete microscopica,microcancilla microscopica,494248
adrana scaphoides,adrana lancea,868004
aega alazon,aegapheles alazon,256386
aega antarctica,aegiochus antarctica,174456
aega antillensis,aegapheles antillensis,256389
aega birubi,aegapheles birubi,256395
aega coroo,aegiochus coroo,256398
aega excisa,aegapheles excisa,322535
aega gracilipes,aegiochus gracilipes,118819
aega leptonica,aegiochus leptonica,256420
aega novizealandiae,aega novizealandiae,256427
aega plebeia,aegiochus plebeia,256430
aega symmetrica,aegiochus symmetrica,256439
aega umpara,aegapheles umpara,256445
aequorea aequorea,aequorea forskalea,117270
aestuariolus noctiluca,uroteuthis (aestuariolus) noctiluca,878153
aethotaxis mitopteryx mitopteryx,aethotaxis mitopteryx mitopteryx,234661
affinetrina planciana,affinetrina planciana,112495
afrocardium infantile,afrocardium exochum,381384
agalma okeni,agalma okenii,135485
aega deshaysiana,no match,NA
aega vigilans,no match,NA
aequipecten acanthodes,no match,NA
afrocardium carditaeforme,no match,NA
coscinaraea wellsi,cycloseris wellsi,716291
coscinoderma matthewsi,coscinoderma mathewsi,165090
coscinodiscus wailesii,coscinodiscus wailesii,156632
coscinospira arietina,peneroplis arietinus,1255426
cosmocalanus darwinii,cosmocalanus darwinii darwinii,1384339
cosmognathia aquila,cosmognathia aquila,265883
cosmognathia arcus,cosmognathia arcus,265884
cosmognathia manubrium,cosmognathia manubrium,265886
cosmotriphora arnoldoi,cosmotriphora arnoldoi,419892
cosmotriphora melanura,cosmotriphora melanura,141714
cossura delta,cossura delta,326851
cossura laeviseta,cossura laeviseta,326853
cossura soyeri,cossura soyeri,129986
costasiella nonatoi,costasiella nonatoi,420580
costasiella ocellifera,costasiella ocellifera,420581
costatoverruca floridana,costatoverruca floridana,421124
coullana canadensis,canuella canadensis,349947
couthouyella striatula,couthouyella striatula,160227
cranopsis asturiana,puncturella asturiana,867411
cranopsis billsae,puncturella billsae,761644
cranopsis erecta,puncturella erecta,766623
cranopsis granulata,puncturella granulata,437216
crassispira tampaensis,pyrgospira tampaensis,420266
crassostrea angulata,magallana angulata,1039387
crassostrea ariakensis,magallana ariakensis,836034
crassostrea belcheri,magallana belcheri,836035
crassostrea gigas,magallana gigas,836033
crassostrea guyanensis,NA,NA
crassostrea hongkongensis,magallana hongkongensis,836038
crassostrea lugubris,magallana bilineata,836036
crassostrea madrasensis,magallana bilineata,836036
crassostrea nippona,magallana nippona,836039
crassostrea paulucciae,planostrea pestigris,397173
crassostrea rivularis,magallana rivularis,836040
