species,trait,value,source,val_num
hoplunnis schmidti,fec,>10000,vuln,NA
hygophum proximum,fec,100-1000,vuln,NA
hypleurochilus bananensis,fec,100-1000,vuln,NA
hypsoblennius striatus,fec,100-1000,vuln,NA
icelinus filamentosus,fec,>10000,vuln,NA
inimicus caledonicus,fec,>10000,vuln,NA
katsuwonus pelamis,fec,>10000,vuln,NA
kaupichthys brachychirus,fec,>10000,vuln,NA
krefftichthys anderssoni,fec,100-1000,vuln,NA
laeops cypho,fec,>10000,vuln,NA
laeops guentheri,fec,>10000,vuln,NA
laeops kitaharae,fec,>10000,vuln,NA
lampadena pontifex,fec,100-1000,vuln,NA
lampanyctus jordani,fec,100-1000,vuln,NA
lepidotrigla kishinouyi,fec,>10000,vuln,NA
lepidotrigla omanensis,fec,>10000,vuln,NA
lepidotrigla venusta,fec,>10000,vuln,NA
leviprora inops,fec,>10000,vuln,NA
liparis liparis,fec,>10000,vuln,NA
luciobrotula lineata,fec,50-100,vuln,NA
lutjanus carponotatus,fec,>10000,vuln,NA
lutjanus sebae,fec,>10000,vuln,NA
lyopsetta exilis,fec,>10000,vuln,NA
macroramphosus scolopax,fec,100-1000,vuln,NA
meuschenia scaber,fec,>10000,vuln,NA
minous dempsterae,fec,>10000,vuln,NA
minous quincarinatus,fec,>10000,vuln,NA
molva dypterygia,fec,>10000,vuln,NA
monomitopus agassizii,fec,50-100,vuln,NA
monopenchelys acuta,fec,>10000,vuln,NA
moringua edwardsi,fec,>10000,vuln,NA
mulloidichthys dentatus,fec,>10000,vuln,NA
myctophum lychnobium,fec,100-1000,vuln,NA
myctophum spinosum,fec,100-1000,vuln,NA
myoxocephalus tuberculatus,fec,>10000,vuln,NA
nannobrachium gibbsi,fec,100-1000,vuln,NA
naso vlamingii,fec,1000-10000,vuln,NA
nectamia annularis,fec,1000-10000,vuln,NA
nectamia fusca,fec,1000-10000,vuln,NA
nectamia zebrina,fec,1000-10000,vuln,NA
neobythites bimaculatus,fec,50-100,vuln,NA
neobythites franzi,fec,50-100,vuln,NA
neomerinthe erostris,fec,>10000,vuln,NA
neomerinthe hemingwayi,fec,>10000,vuln,NA
nessorhamphus danae,fec,>10000,vuln,NA
notolabrus celidotus,fec,1000-10000,vuln,NA
notopogon macrosolen,fec,100-1000,vuln,NA
ocosia possi,fec,>10000,vuln,NA
omobranchus anolius,fec,100-1000,vuln,NA
omobranchus fasciolatus,fec,100-1000,vuln,NA
omobranchus rotundiceps,fec,100-1000,vuln,NA
oncorhynchus nerka,fec,>10000,vuln,NA
ophichthus altipennis,fec,>10000,vuln,NA
ophichthus melanoporus,fec,>10000,vuln,NA
ophidion fulvum,fec,50-100,vuln,NA
ostorhinchus compressus,fec,1000-10000,vuln,NA
ostorhinchus doederleini,fec,100-1000,vuln,NA
ostorhinchus fleurieu,fec,1000-10000,vuln,NA
ostorhinchus margaritophorus,fec,1000-10000,vuln,NA
ostorhinchus neotes,fec,1000-10000,vuln,NA
ostorhinchus notatus,fec,1000-10000,vuln,NA
ostorhinchus rubrimacula,fec,1000-10000,vuln,NA
ostorhinchus sealei,fec,1000-10000,vuln,NA
ostorhinchus semilineatus,fec,1000-10000,vuln,NA
ostorhinchus wassinki,fec,1000-10000,vuln,NA
pagrus auratus,fec,>10000,vuln,NA
parablennius parvicornis,fec,100-1000,vuln,NA
parablennius yatabei,fec,100-1000,vuln,NA
parablennius zvonimiri,fec,100-1000,vuln,NA
paracentropogon vespa,fec,>10000,vuln,NA
paralichthodes algoensis,fec,>10000,vuln,NA
paralichthys aestuarius,fec,>10000,vuln,NA
paralichthys dentatus,fec,>10000,vuln,NA
paralichthys fernandezianus,fec,>10000,vuln,NA
paraliparis atramentatus,fec,>10000,vuln,NA
paraliparis atrolabiatus,fec,>10000,vuln,NA
paraliparis copei,fec,>10000,vuln,NA
paraliparis kreffti,fec,>10000,vuln,NA
paraliparis megalopus,fec,>10000,vuln,NA
paraliparis obliquosus,fec,>10000,vuln,NA
paraliparis operculosus,fec,>10000,vuln,NA
paraliparis orcadensis,fec,>10000,vuln,NA
paraliparis plagiostomus,fec,>10000,vuln,NA
paraliparis tompkinsae,fec,>10000,vuln,NA
parapercis colias,fec,1000-10000,vuln,NA
parenchelyurus hepburni,fec,100-1000,vuln,NA
parma microlepis,fec,>10000,vuln,NA
parupeneus crassilabris,fec,>10000,vuln,NA
parupeneus multifasciatus,fec,>10000,vuln,NA
parupeneus posteli,fec,>10000,vuln,NA
paxton concilians,fec,1000-10000,vuln,NA
pegusa triophthalma,fec,>10000,vuln,NA
pelotretis flavilatus,fec,>10000,vuln,NA
percis matsuii,fec,>10000,vuln,NA
peristedion amblygenys,fec,>10000,vuln,NA
petrotyx sanguineus,fec,50-100,vuln,NA
phycodurus eques,fec,100-1000,vuln,NA
platichthys flesus,fec,>10000,vuln,NA
platycephalus indicus,fec,>10000,vuln,NA
plectrogenium nanum,fec,>10000,vuln,NA
plectropomus leopardus,fec,>10000,vuln,NA
poecilopsetta albomaculata,fec,>10000,vuln,NA
pomacentrus amboinensis,fec,>10000,vuln,NA
pomacentrus coelestis,fec,>10000,vuln,NA
pontinus macrocephalus,fec,>10000,vuln,NA
porichthys oculellus,fec,100-1000,vuln,NA
porichthys oculofrenum,fec,100-1000,vuln,NA
porocephalichthys dasyrhynchus,fec,50-100,vuln,NA
praealticus dayi,fec,100-1000,vuln,NA
prognatholiparis ptychomandibularis,fec,>10000,vuln,NA
protomyctophum luciferum,fec,100-1000,vuln,NA
psednos andriashevi,fec,>10000,vuln,NA
psednos harteli,fec,>10000,vuln,NA
psettina hainanensis,fec,>10000,vuln,NA
pterois lunulata,fec,>10000,vuln,NA
pterygotrigla hemisticta,fec,>10000,vuln,NA
pycnocraspedum squamipinne,fec,50-100,vuln,NA
pyramodon lindas,fec,50-100,vuln,NA
rexea solandri,fec,>10000,vuln,NA
rhabdosargus sarba,fec,>10000,vuln,NA
rhinomuraena quaesita,fec,>10000,vuln,NA
rhombosolea plebeia,fec,>10000,vuln,NA
ricuzenius nudithorax,fec,>10000,vuln,NA
salarias ceramensis,fec,100-1000,vuln,NA
salarias fasciatus,fec,100-1000,vuln,NA
salarias sinuosus,fec,100-1000,vuln,NA
samariscus filipectoralis,fec,>10000,vuln,NA
samariscus huysmani,fec,>10000,vuln,NA
saurenchelys fierasfer,fec,>10000,vuln,NA
saurenchelys meteori,fec,>10000,vuln,NA
scarus schlegeli,fec,1000-10000,vuln,NA
scorpaena azorica,fec,>10000,vuln,NA
scorpaena hatizyoensis,fec,>10000,vuln,NA
scorpaenodes hirsutus,fec,>10000,vuln,NA
scorpaenodes quadrispinosus,fec,>10000,vuln,NA
scorpaenopsis altirostris,fec,>10000,vuln,NA
sebastes cortezi,fec,>10000,vuln,NA
sebastes diploproa,fec,1000-10000,vuln,NA
sebastes koreanus,fec,>10000,vuln,NA
sebastes mentella,fec,>10000,vuln,NA
sebastes nivosus,fec,>10000,vuln,NA
sebastes peduncularis,fec,>10000,vuln,NA
serrivomer lanceolatoides,fec,>10000,vuln,NA
simenchelys parasitica,fec,1000-10000,vuln,NA
siokunichthys nigrolineatus,fec,1000-10000,vuln,NA
skythrenchelys zabra,fec,>10000,vuln,NA
spratelloides delicatulus,fec,100-1000,vuln,NA
stelgistrum beringianum,fec,>10000,vuln,NA
stygnobrotula latebricola,fec,50-100,vuln,NA
sympterichthys politus,fec,100-1000,vuln,NA
synaphobranchus affinis,fec,1000-10000,vuln,NA
synaphobranchus kaupii,fec,1000-10000,vuln,NA
synaphobranchus oregoni,fec,1000-10000,vuln,NA
synclidopus macleayanus,fec,>10000,vuln,NA
syngnathus floridae,fec,1000-10000,vuln,NA
taeniamia buruensis,fec,1000-10000,vuln,NA
tetraroge barbata,fec,>10000,vuln,NA
thalassobathia pelagica,fec,50-100,vuln,NA
thunnus maccoyii,fec,>10000,vuln,NA
trachinotus goodei,fec,>10000,vuln,NA
trachinotus rhodopus,fec,>10000,vuln,NA
triglops forficatus,fec,>10000,vuln,NA
uropterygius fuscoguttatus,fec,>10000,vuln,NA
uropterygius wheeleri,fec,>10000,vuln,NA
vanacampus vercoi,fec,1000-10000,vuln,NA
venefica tentaculata,fec,>10000,vuln,NA
xenomystax trucidans,fec,>10000,vuln,NA
xestochilus nebulosus,fec,>10000,vuln,NA
zanclorhynchus spinifer,fec,>10000,vuln,NA
zebrias crossolepis,fec,>10000,vuln,NA
zesticelus bathybius,fec,>10000,vuln,NA
balaena mysticetus,fec,<1,vuln,NA
balaenoptera acutorostrata,fec,<1,vuln,NA
balaenoptera bonaerensis,fec,<1,vuln,NA
balaenoptera borealis,fec,<1,vuln,NA
balaenoptera brydei,fec,<1,vuln,NA
balaenoptera edeni,fec,<1,vuln,NA
balaenoptera musculus,fec,<1,vuln,NA
balaenoptera physalus,fec,<1,vuln,NA
berardius bairdii,fec,<1,vuln,NA
caperea marginata,fec,<1,vuln,NA
cephalorhynchus hectori,fec,<1,vuln,NA
delphinapterus leucas,fec,<1,vuln,NA
dugong dugon,fec,<1,vuln,NA
enhydra lutris,fec,<1,vuln,NA
eschrichtius robustus,fec,<1,vuln,NA
eubalaena australis,fec,<1,vuln,NA
eubalaena glacialis,fec,<1,vuln,NA
eubalaena japonica,fec,<1,vuln,NA
feresa attenuata,fec,<1,vuln,NA
grampus griseus,fec,<1,vuln,NA
hyperoodon ampullatus,fec,<1,vuln,NA
indopacetus pacificus,fec,<1,vuln,NA
kogia breviceps,fec,<1,vuln,NA
lagenodelphis hosei,fec,<1,vuln,NA
lagenorhynchus acutus,fec,<1,vuln,NA
lissodelphis borealis,fec,<1,vuln,NA
megaptera novaeangliae,fec,<1,vuln,NA
mesoplodon bidens,fec,<1,vuln,NA
mesoplodon densirostris,fec,<1,vuln,NA
mesoplodon mirus,fec,<1,vuln,NA
mesoplodon stejnegeri,fec,<1,vuln,NA
monodon monoceros,fec,<1,vuln,NA
odobenus rosmarus,fec,<1,vuln,NA
orcinus orca,fec,<1,vuln,NA
peponocephala electra,fec,<1,vuln,NA
phocoena sinus,fec,<1,vuln,NA
physeter macrocephalus,fec,<1,vuln,NA
pseudorca crassidens,fec,<1,vuln,NA
stenella clymene,fec,<1,vuln,NA
stenella frontalis,fec,<1,vuln,NA
steno bredanensis,fec,<1,vuln,NA
trichechus manatus,fec,<1,vuln,NA
trichechus senegalensis,fec,<1,vuln,NA
tursiops truncatus,fec,<1,vuln,NA
ursus maritimus,fec,<1,vuln,NA
ziphius cavirostris,fec,<1,vuln,NA
acesta excavata,fec,>10000,vuln,NA
adamussium colbecki,fec,>10000,vuln,NA
aeolidia papillosa,fec,>10000,vuln,NA
anadara trapezia,fec,>10000,vuln,NA
aplysia californica,fec,>10000,vuln,NA
aplysia vaccaria,fec,>10000,vuln,NA
argopecten irradians,fec,>10000,vuln,NA
austrocochlea porcata,fec,>10000,vuln,NA
bankia setacea,fec,>10000,vuln,NA
cadlina luteomarginata,fec,>10000,vuln,NA
calliostoma ligatum,fec,>10000,vuln,NA
cellana tramoserica,fec,>10000,vuln,NA
cerastoderma edule,fec,>10000,vuln,NA
crassostrea virginica,fec,>10000,vuln,NA
haliotis coccoradiata,fec,>10000,vuln,NA
haliotis kamtschatkana,fec,>10000,vuln,NA
haliotis rubra,fec,>10000,vuln,NA
lottia scutum,fec,>10000,vuln,NA
lunella undulata,fec,>10000,vuln,NA
magallana gigas,fec,>10000,vuln,NA
magallana hongkongensis,fec,>10000,vuln,NA
mercenaria mercenaria,fec,>10000,vuln,NA
mimachlamys asperrima,fec,>10000,vuln,NA
mytilus californianus,fec,>10000,vuln,NA
mytilus edulis,fec,>10000,vuln,NA
mytilus galloprovincialis,fec,>10000,vuln,NA
mytilus trossulus,fec,>10000,vuln,NA
ostrea angasi,fec,>10000,vuln,NA
ostrea edulis,fec,>10000,vuln,NA
ostrea lurida,fec,>10000,vuln,NA
panopea generosa,fec,>10000,vuln,NA
pecten fumatus,fec,>10000,vuln,NA
pecten maximus,fec,>10000,vuln,NA
pinctada imbricata,fec,>10000,vuln,NA
pinctada maxima,fec,>10000,vuln,NA
pinna bicolor,fec,>10000,vuln,NA
plebidonax deltoides,fec,>10000,vuln,NA
rochia nilotica,fec,>10000,vuln,NA
saccostrea glomerata,fec,>10000,vuln,NA
siliqua patula,fec,>10000,vuln,NA
tegula funebralis,fec,>10000,vuln,NA
tenguella marginalba,fec,>10000,vuln,NA
trichomya hirsuta,fec,>10000,vuln,NA
tridacna gigas,fec,>10000,vuln,NA
tridacna maxima,fec,>10000,vuln,NA
turbo militaris,fec,>10000,vuln,NA
amblyrhynchus cristatus,fec,1-2,vuln,NA
amblyrhynchus cristatus,fec,2-5,vuln,NA
amblyrhynchus cristatus,fec,5-10,vuln,NA
caretta caretta,fec,100-1000,vuln,NA
chelonia mydas,fec,100-1000,vuln,NA
crocodylus acutus,fec,20-50,vuln,NA
crocodylus porosus,fec,20-50,vuln,NA
dermochelys coriacea,fec,100-1000,vuln,NA
eretmochelys imbricata,fec,100-1000,vuln,NA
lepidochelys kempii,fec,100-1000,vuln,NA
lepidochelys olivacea,fec,100-1000,vuln,NA
natator depressa,fec,50-100,vuln,NA
abralia astrolineata,fec,>10000,vuln,NA
abralia armata,fec,>10000,vuln,NA
abralia multihamata,fec,>10000,vuln,NA
abralia renschi,fec,>10000,vuln,NA
abralia spaercki,fec,>10000,vuln,NA
abralia steindachneri,fec,>10000,vuln,NA
abralia veranyi,fec,>10000,vuln,NA
abralia astrosticta,fec,>10000,vuln,NA
abralia dubia,fec,>10000,vuln,NA
abralia fasciolata,fec,>10000,vuln,NA
abralia marisarabica,fec,>10000,vuln,NA
abralia andamanica,fec,>10000,vuln,NA
abralia heminuchalis,fec,>10000,vuln,NA
abralia robsoni,fec,>10000,vuln,NA
abralia siedleckyi,fec,>10000,vuln,NA
abralia trigonura,fec,>10000,vuln,NA
abralia grimpei,fec,>10000,vuln,NA
abralia omiae,fec,>10000,vuln,NA
abralia redfieldi,fec,>10000,vuln,NA
abralia similis,fec,>10000,vuln,NA
abraliopsis gilchristi,fec,1000-10000,vuln,NA
abraliopsis tui,fec,1000-10000,vuln,NA
abraliopsis hoylei,fec,1000-10000,vuln,NA
abraliopsis morisii,fec,1000-10000,vuln,NA
abraliopsis pacificus,fec,1000-10000,vuln,NA
abraliopsis felis,fec,1000-10000,vuln,NA
abraliopsis lineata,fec,1000-10000,vuln,NA
abraliopsis affinis,fec,1000-10000,vuln,NA
abraliopsis atlantica,fec,1000-10000,vuln,NA
abraliopsis chuni,fec,1000-10000,vuln,NA
abraliopsis falco,fec,1000-10000,vuln,NA
allonautilus scrobiculatus,fec,50-100,vuln,NA
alloteuthis africana,fec,1000-10000,vuln,NA
alloteuthis media,fec,1000-10000,vuln,NA
alloteuthis subulata,fec,1000-10000,vuln,NA
amphorateuthis alveatus,fec,100-1000,vuln,NA
argonauta argo,fec,100-1000,vuln,NA
argonauta hians,fec,100-1000,vuln,NA
argonauta nodosus,fec,100-1000,vuln,NA
argonauta nouryi,fec,100-1000,vuln,NA
argonauta oweri,fec,100-1000,vuln,NA
argonauta cornuta,fec,100-1000,vuln,NA
asperoteuthis acanthoderma,fec,>10000,vuln,NA
asperoteuthis lui,fec,>10000,vuln,NA
asperoteuthis mangoldae,fec,>10000,vuln,NA
austrorossia antillensis,fec,100-1000,vuln,NA
austrorossia australis,fec,100-1000,vuln,NA
austrorossia bipapillata,fec,100-1000,vuln,NA
austrorossia enigmatica,fec,100-1000,vuln,NA
austrorossia mastigophora,fec,100-1000,vuln,NA
berryteuthis anonychus,fec,1000-10000,vuln,NA
berryteuthis magister,fec,1000-10000,vuln,NA
brachioteuthis beanii,fec,>10000,vuln,NA
brachioteuthis behnii,fec,>10000,vuln,NA
brachioteuthis bowmani,fec,>10000,vuln,NA
brachioteuthis linkovskyi,fec,>10000,vuln,NA
brachioteuthis picta,fec,>10000,vuln,NA
brachioteuthis riisei,fec,>10000,vuln,NA
chiroteuthis calyx,fec,>10000,vuln,NA
chiroteuthis imperator,fec,>10000,vuln,NA
chiroteuthis joubini,fec,>10000,vuln,NA
chiroteuthis mega,fec,>10000,vuln,NA
chiroteuthis picteti,fec,>10000,vuln,NA
chiroteuthis spoeli,fec,>10000,vuln,NA
chiroteuthis veranii,fec,>10000,vuln,NA
cycloteuthis akimushkini,fec,>10000,vuln,NA
cycloteuthis sirventi,fec,>10000,vuln,NA
discoteuthis discus,fec,>10000,vuln,NA
discoteuthis laciniosa,fec,>10000,vuln,NA
doryteuthis sanpaulensis,fec,1000-10000,vuln,NA
doryteuthis gahi,fec,1000-10000,vuln,NA
doryteuthis ocula,fec,1000-10000,vuln,NA
doryteuthis opalescens,fec,1000-10000,vuln,NA
doryteuthis pealeii,fec,1000-10000,vuln,NA
doryteuthis surinamensis,fec,1000-10000,vuln,NA
doryteuthis pleii,fec,1000-10000,vuln,NA
doryteuthis roperi,fec,1000-10000,vuln,NA
eledone caparti,fec,100-1000,vuln,NA
eledone cirrhosa,fec,100-1000,vuln,NA
eledone gaucha,fec,100-1000,vuln,NA
eledone massyae,fec,100-1000,vuln,NA
eledone moschata,fec,100-1000,vuln,NA
eledone palari,fec,100-1000,vuln,NA
eledone schultzei,fec,100-1000,vuln,NA
enoploteuthis anapsis,fec,>10000,vuln,NA
enoploteuthis chunii,fec,>10000,vuln,NA
enoploteuthis galaxias,fec,>10000,vuln,NA
enoploteuthis higginsi,fec,>10000,vuln,NA
enoploteuthis jonesi,fec,>10000,vuln,NA
enoploteuthis leptura,fec,>10000,vuln,NA
enoploteuthis magnoceani,fec,>10000,vuln,NA
enoploteuthis obliqua,fec,>10000,vuln,NA
enoploteuthis octolineata,fec,>10000,vuln,NA
enoploteuthis reticulata,fec,>10000,vuln,NA
enoploteuthis semilineata,fec,>10000,vuln,NA
euaxoctopus panamensis,fec,>10000,vuln,NA
euaxoctopus pillsburyae,fec,>10000,vuln,NA
euaxoctopus scalenus,fec,>10000,vuln,NA
euprymna albatrossae,fec,100-1000,vuln,NA
euprymna berryi,fec,100-1000,vuln,NA
euprymna brenneri,fec,100-1000,vuln,NA
euprymna hoylei,fec,100-1000,vuln,NA
euprymna hyllebergi,fec,100-1000,vuln,NA
euprymna megaspadicea,fec,100-1000,vuln,NA
euprymna morsei,fec,100-1000,vuln,NA
euprymna penares,fec,100-1000,vuln,NA
euprymna scolopes,fec,100-1000,vuln,NA
euprymna stenodactyla,fec,100-1000,vuln,NA
euprymna tasmanica,fec,100-1000,vuln,NA
galiteuthis armata,fec,>10000,vuln,NA
galiteuthis pacifica,fec,>10000,vuln,NA
galiteuthis phyllura,fec,>10000,vuln,NA
galiteuthis suhmi,fec,>10000,vuln,NA
gonatopsis borealis,fec,100-1000,vuln,NA
gonatopsis japonicus,fec,100-1000,vuln,NA
gonatopsis makko,fec,100-1000,vuln,NA
gonatopsis octopedatus,fec,100-1000,vuln,NA
gonatus antarcticus,fec,1000-10000,vuln,NA
gonatus berryi,fec,1000-10000,vuln,NA
gonatus californiensis,fec,1000-10000,vuln,NA
gonatus fabricii,fec,1000-10000,vuln,NA
gonatus kamtschaticus,fec,1000-10000,vuln,NA
gonatus madokai,fec,1000-10000,vuln,NA
gonatus middendorffi,fec,1000-10000,vuln,NA
gonatus onyx,fec,1000-10000,vuln,NA
gonatus oregonensis,fec,1000-10000,vuln,NA
gonatus pyros,fec,1000-10000,vuln,NA
gonatus steenstrupi,fec,1000-10000,vuln,NA
gonatus ursabrunae,fec,1000-10000,vuln,NA
grimalditeuthis bonplandii,fec,>10000,vuln,NA
haliphron atlanticus,fec,100-1000,vuln,NA
hapalochlaena fasciata,fec,100-1000,vuln,NA
hapalochlaena maculosa,fec,100-1000,vuln,NA
hapalochlaena nierstraszi,fec,100-1000,vuln,NA
helicocranchia joubini,fec,>10000,vuln,NA
helicocranchia papillata,fec,>10000,vuln,NA
helicocranchia pfefferi,fec,>10000,vuln,NA
heteroteuthis atlantis,fec,100-1000,vuln,NA
heteroteuthis dagamensis,fec,100-1000,vuln,NA
heteroteuthis dispar,fec,100-1000,vuln,NA
heteroteuthis hawaiiensis,fec,100-1000,vuln,NA
heteroteuthis nordopacifica,fec,100-1000,vuln,NA
heteroteuthis ryukyuensis,fec,100-1000,vuln,NA
heteroteuthis serventyi,fec,100-1000,vuln,NA
histioteuthis atlantica,fec,>10000,vuln,NA
histioteuthis berryi,fec,>10000,vuln,NA
histioteuthis bonnellii,fec,>10000,vuln,NA
histioteuthis celetaria,fec,>10000,vuln,NA
histioteuthis cerasina,fec,>10000,vuln,NA
histioteuthis corona,fec,>10000,vuln,NA
histioteuthis eltaninae,fec,>10000,vuln,NA
histioteuthis heteropsis,fec,>10000,vuln,NA
histioteuthis inermis,fec,>10000,vuln,NA
histioteuthis macrohista,fec,>10000,vuln,NA
histioteuthis meleagroteuthis,fec,>10000,vuln,NA
histioteuthis miranda,fec,>10000,vuln,NA
histioteuthis oceani,fec,>10000,vuln,NA
histioteuthis pacifica,fec,>10000,vuln,NA
histioteuthis reversa,fec,>10000,vuln,NA
histoctopus discus,fec,100-1000,vuln,NA
histoctopus zipkasae,fec,100-1000,vuln,NA
idiosepius hallami,fec,100-1000,vuln,NA
idiosepius minimus,fec,100-1000,vuln,NA
idiosepius paradoxus,fec,100-1000,vuln,NA
idiosepius picteti,fec,100-1000,vuln,NA
idiosepius pygmaeus,fec,100-1000,vuln,NA
idiosepius thailandicus,fec,100-1000,vuln,NA
illex argentinus,fec,>10000,vuln,NA
illex coindetii,fec,>10000,vuln,NA
illex illecebrosus,fec,>10000,vuln,NA
illex oxygonius,fec,>10000,vuln,NA
iridoteuthis iris,fec,100-1000,vuln,NA
iridoteuthis lophia,fec,100-1000,vuln,NA
iridoteuthis merlini,fec,100-1000,vuln,NA
leachia atlantica,fec,>10000,vuln,NA
leachia cyclura,fec,>10000,vuln,NA
leachia danae,fec,>10000,vuln,NA
leachia dislocata,fec,>10000,vuln,NA
leachia ellipsoptera,fec,>10000,vuln,NA
leachia lemur,fec,>10000,vuln,NA
leachia pacifica,fec,>10000,vuln,NA
leachia reinhardtii,fec,>10000,vuln,NA
leachia rynchophorus,fec,>10000,vuln,NA
liocranchia reinhardtii,fec,>10000,vuln,NA
liocranchia valdiviae,fec,>10000,vuln,NA
loligo forbesii,fec,1000-10000,vuln,NA
loligo reynaudii,fec,1000-10000,vuln,NA
loligo vulgaris,fec,1000-10000,vuln,NA
lolliguncula diomedeae,fec,1000-10000,vuln,NA
lolliguncula argus,fec,1000-10000,vuln,NA
lolliguncula brevis,fec,1000-10000,vuln,NA
lolliguncula panamensis,fec,1000-10000,vuln,NA
lycoteuthis lorigera,fec,>10000,vuln,NA
lycoteuthis springeri,fec,>10000,vuln,NA
macrotritopus defilippi,fec,1000-10000,vuln,NA
magnapinna atlantica,fec,>10000,vuln,NA
magnapinna pacifica,fec,>10000,vuln,NA
magnapinna talismani,fec,>10000,vuln,NA
mastigoteuthis agassizii,fec,>10000,vuln,NA
mastigoteuthis dentata,fec,>10000,vuln,NA
mastigoteuthis flammea,fec,>10000,vuln,NA
mastigoteuthis glaukopis,fec,>10000,vuln,NA
mastigoteuthis grimaldii,fec,>10000,vuln,NA
mastigoteuthis psychrophila,fec,>10000,vuln,NA
mastigoteuthis schmidti,fec,>10000,vuln,NA
megalocranchia fisheri,fec,>10000,vuln,NA
megalocranchia maxima,fec,>10000,vuln,NA
megalocranchia oceanica,fec,>10000,vuln,NA
metasepia pfefferi,fec,100-1000,vuln,NA
metasepia tullbergi,fec,100-1000,vuln,NA
moroteuthopsis ingens,fec,>10000,vuln,NA
moroteuthopsis longimana,fec,>10000,vuln,NA
nectoteuthis pourtalesi,fec,100-1000,vuln,NA
nematolampas regalis,fec,>10000,vuln,NA
nematolampas venezuelensis,fec,>10000,vuln,NA
neorossia caroli,fec,100-1000,vuln,NA
neorossia leptodons,fec,100-1000,vuln,NA
notonykia africanae,fec,>10000,vuln,NA
notonykia nesisi,fec,>10000,vuln,NA
nototodarus gouldi,fec,>10000,vuln,NA
nototodarus sloanii,fec,>10000,vuln,NA
octopoteuthis danae,fec,>10000,vuln,NA
octopoteuthis deletron,fec,>10000,vuln,NA
octopoteuthis indica,fec,>10000,vuln,NA
octopoteuthis megaptera,fec,>10000,vuln,NA
octopoteuthis nielseni,fec,>10000,vuln,NA
octopoteuthis rugosa,fec,>10000,vuln,NA
octopoteuthis sicula,fec,>10000,vuln,NA
ocythoe tuberculata,fec,100-1000,vuln,NA
onychoteuthis aequimanus,fec,>10000,vuln,NA
onychoteuthis banksii,fec,>10000,vuln,NA
onychoteuthis bergii,fec,>10000,vuln,NA
onychoteuthis borealijaponica,fec,>10000,vuln,NA
onychoteuthis compacta,fec,>10000,vuln,NA
onychoteuthis horstkottei,fec,>10000,vuln,NA
onychoteuthis lacrima,fec,>10000,vuln,NA
onychoteuthis meridiopacifica,fec,>10000,vuln,NA
onychoteuthis mollis,fec,>10000,vuln,NA
onychoteuthis prolata,fec,>10000,vuln,NA
onykia aequatorialis,fec,>10000,vuln,NA
onykia carriboea,fec,>10000,vuln,NA
onykia indica,fec,>10000,vuln,NA
onykia loennbergii,fec,>10000,vuln,NA
onykia robsoni,fec,>10000,vuln,NA
onykia robusta,fec,>10000,vuln,NA
ornithoteuthis antillarum,fec,>10000,vuln,NA
ornithoteuthis volatilis,fec,>10000,vuln,NA
paroctopus cthulu,fec,100-1000,vuln,NA
paroctopus digueti,fec,100-1000,vuln,NA
paroctopus mercatoris,fec,100-1000,vuln,NA
pholidoteuthis adami,fec,>10000,vuln,NA
pholidoteuthis massyae,fec,>10000,vuln,NA
pickfordiateuthis bayeri,fec,100-1000,vuln,NA
pickfordiateuthis vossi,fec,100-1000,vuln,NA
planctoteuthis danae,fec,>10000,vuln,NA
planctoteuthis exopthalmica,fec,>10000,vuln,NA
planctoteuthis levimana,fec,>10000,vuln,NA
planctoteuthis lippula,fec,>10000,vuln,NA
planctoteuthis oligobessa,fec,>10000,vuln,NA
promachoteuthis megaptera,fec,>10000,vuln,NA
promachoteuthis sloani,fec,>10000,vuln,NA
promachoteuthis sulcus,fec,>10000,vuln,NA
pteroctopus hoylei,fec,100-1000,vuln,NA
pteroctopus schmidti,fec,100-1000,vuln,NA
pteroctopus tetracirrhus,fec,100-1000,vuln,NA
pterygioteuthis gemmata,fec,>10000,vuln,NA
pterygioteuthis giardi,fec,>10000,vuln,NA
pterygioteuthis hoylei,fec,>10000,vuln,NA
pterygioteuthis microlampas,fec,>10000,vuln,NA
pyroteuthis addolux,fec,>10000,vuln,NA
pyroteuthis margaritifera,fec,>10000,vuln,NA
pyroteuthis serrata,fec,>10000,vuln,NA
rondeletiola capensis,fec,100-1000,vuln,NA
rondeletiola minor,fec,100-1000,vuln,NA
rossia brachyura,fec,100-1000,vuln,NA
rossia bullisi,fec,100-1000,vuln,NA
rossia glaucopis,fec,100-1000,vuln,NA
rossia macrosoma,fec,100-1000,vuln,NA
rossia megaptera,fec,100-1000,vuln,NA
rossia moelleri,fec,100-1000,vuln,NA
rossia mollicella,fec,100-1000,vuln,NA
rossia pacifica,fec,100-1000,vuln,NA
rossia palpebrosa,fec,100-1000,vuln,NA
rossia tortugaensis,fec,100-1000,vuln,NA
scaeurgus jumeau,fec,1000-10000,vuln,NA
scaeurgus nesisi,fec,1000-10000,vuln,NA
scaeurgus patagiatus,fec,1000-10000,vuln,NA
scaeurgus tuber,fec,1000-10000,vuln,NA
scaeurgus unicirrhus,fec,1000-10000,vuln,NA
semirossia equalis,fec,100-1000,vuln,NA
semirossia patagonica,fec,100-1000,vuln,NA
semirossia tenera,fec,100-1000,vuln,NA
sepia aculeata,fec,100-1000,vuln,NA
sepia acuminata,fec,100-1000,vuln,NA
